"X","Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.rr6o","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Emo","Spreadsheet..LHS_Lab","Spreadsheet..RHS_Lab","Spreadsheet..rand","Spreadsheet..Win","Spreadsheet..Win2","Spreadsheet..Win3","Spreadsheet..randF","Manipulation..Spreadsheet","Store..MoneyLow","Store..MoneyHigh","Store..MoneyReward","Store..Loss","csum_t","Random_ID"
1,6,1701886241819,"06/12/2023 18:10:41",1701886241819,0,"06/12/2023 18:10:41",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",1,"Rating","Screen 1","poh9ia",1,"response",83,3133.484,3950.219,3958.95700004768,3133.484,3950.219,3958.95700004768,1,3133.484,825.473000047683,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3958.95700004768,"MDPRF69845"
2,8,1701886245032,"06/12/2023 18:10:45",1701886245032,0,"06/12/2023 18:10:45",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",2,"Rating","Screen 1","poh9ia",1,"response",11,2350.007,3216.811,3221.93800009537,2350.007,3216.811,3221.93800009537,1,2350.007,871.931000095366,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7180.89500014305,"MDPRF69845"
3,10,1701886248615,"06/12/2023 18:10:48",1701886248615,0,"06/12/2023 18:10:48",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",3,"Rating","Screen 1","poh9ia",1,"response",39,2883.219,3566.315,3582.934,2883.219,3566.315,3582.934,1,2883.219,699.715,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10763.829000143,"MDPRF69845"
4,13,1701886256586,"06/12/2023 18:10:56",1701886256586,0,"06/12/2023 18:10:56",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",4,"Rating","Screen 1","poh9ia",1,"response",81,2333.285,2983.549,2992.618,2333.285,2983.549,2992.618,1,2333.285,659.332999999999,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",2,NA,NA,NA,NA,NA,NA,NA,0.25,NA,13756.447000143,"MDPRF69845"
5,15,1701886258402,"06/12/2023 18:10:58",1701886258402,0,"06/12/2023 18:10:58",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",5,"Rating","Screen 1","poh9ia",1,"response",6,1149.804,1816.694,1825.86899995232,1149.804,1816.694,1825.86899995232,1,1149.804,676.064999952316,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",2,NA,NA,NA,NA,NA,NA,NA,0.25,NA,15582.3160000954,"MDPRF69845"
6,17,1701886261010,"06/12/2023 18:11:01",1701886261010,0,"06/12/2023 18:11:01",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",6,"Rating","Screen 1","poh9ia",1,"response",31,1799.814,2599.957,2616.56800000001,1799.814,2599.957,2616.56800000001,1,1799.814,816.754000000008,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",2,NA,NA,NA,NA,NA,NA,NA,0.25,NA,18198.8840000954,"MDPRF69845"
7,20,1701886295794,"06/12/2023 18:11:35",1701886295794,0,"06/12/2023 18:11:35",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",7,"Rating","Screen 1","poh9ia",1,"response",12,2966.46000000001,3816.731,3833.17700009537,2966.46000000001,3816.731,3833.17700009537,1,2966.46000000001,866.717000095363,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",3,NA,NA,NA,NA,NA,NA,NA,0.25,NA,22032.0610001907,"MDPRF69845"
8,22,1701886298190,"06/12/2023 18:11:38",1701886298190,0,"06/12/2023 18:11:38",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",8,"Rating","Screen 1","poh9ia",1,"response",56,1683.16500000001,2399.992,2412.44600009537,1683.16500000001,2399.992,2412.44600009537,1,1683.16500000001,729.281000095361,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",3,NA,NA,NA,NA,NA,NA,NA,0.25,NA,24444.5070002861,"MDPRF69845"
9,24,1701886300338,"06/12/2023 18:11:40",1701886300338,0,"06/12/2023 18:11:40",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",9,"Rating","Screen 1","poh9ia",1,"response",75,1599.883,2150.193,2160.65400014305,1599.883,2150.193,2160.65400014305,1,1599.883,560.771000143053,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",3,NA,NA,NA,NA,NA,NA,NA,0.25,NA,26605.1610004292,"MDPRF69845"
10,27,1701886334178,"06/12/2023 18:12:14",1701886334178,0,"06/12/2023 18:12:14",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",10,"Rating","Screen 1","poh9ia",1,"response",10,2266.59899999999,2866.44899999999,2882.91699999999,2266.59899999999,2866.44899999999,2882.91699999999,1,2266.59899999999,616.317999999999,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",4,NA,NA,NA,NA,NA,NA,NA,0.25,NA,29488.0780004292,"MDPRF69845"
11,29,1701886336570,"06/12/2023 18:12:16",1701886336570,0,"06/12/2023 18:12:16",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",11,"Rating","Screen 1","poh9ia",1,"response",74,1750.07400000001,2400,2408.64499995232,1750.07400000001,2400,2408.64499995232,1,1750.07400000001,658.57099995231,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",4,NA,NA,NA,NA,NA,NA,NA,0.25,NA,31896.7230003815,"MDPRF69845"
