"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.rr6o","Multiple.Choice.Grid.object.3.I.had.no.motivation.to.get.started.on.things","Multiple.Choice.Grid.object.3.I.had.no.motivation.to.get.started.on.things..Quantised","Multiple.Choice.Grid.object.3.Nothing.made.me.feel.excited","Multiple.Choice.Grid.object.3.Nothing.made.me.feel.excited.Quantised","Multiple.Choice.Grid.object.3.I.should.have.been.enjoying.things..but.I.couldn.t","Multiple.Choice.Grid.object.3.I.should.have.been.enjoying.things..but.I.couldn.t.Quantised","Multiple.Choice.Grid.object.3.I.felt.detached.from.other.people","Multiple.Choice.Grid.object.3.I.felt.detached.from.other.people..Quantised","Multiple.Choice.Grid.object.3.I.did.not.look.forward.to.anything","Multiple.Choice.Grid.object.3.I.did.not.look.forward.to.anything..Quantised","Multiple.Choice.Grid.object.3.Nothing.felt.fun.or.enjoyable","Multiple.Choice.Grid.object.3.Nothing.felt.fun.or.enjoyable.Quantised","Multiple.Choice.Grid.object.3.I.couldn.t.see.myself.enjoying.things.in.the.future","Multiple.Choice.Grid.object.3.I.couldn.t.see.myself.enjoying.things.in.the.future.Quantised","Multiple.Choice.Grid.object.3.I.felt.enthusiastic","Multiple.Choice.Grid.object.3.I.felt.enthusiastic..Quantised","Multiple.Choice.Grid.object.3.I.did.not.want.to.do.anything","Multiple.Choice.Grid.object.3.I.did.not.want.to.do.anything..Quantised","Multiple.Choice.Grid.object.3.I.pretended.things.excited.me..but.actually.I.found.them.boring","Multiple.Choice.Grid.object.3.I.pretended.things.excited.me..but.actually.I.found.them.boring.Quantised","Multiple.Choice.Grid.object.3.I.felt.connected.to.the.world.around.me","Multiple.Choice.Grid.object.3.I.felt.connected.to.the.world.around.me.Quantised","Multiple.Choice.Grid.object.3.I.did.not.feel.any.emotion","Multiple.Choice.Grid.object.3.I.did.not.feel.any.emotion..Quantised","Multiple.Choice.Grid.object.3.Everything.felt.like.a.lot.of.effort.to.do","Multiple.Choice.Grid.object.3.Everything.felt.like.a.lot.of.effort.to.do.Quantised","Multiple.Choice.Grid.object.3.I.felt.like.my.life.had.meaning.and.purpose","Multiple.Choice.Grid.object.3.I.felt.like.my.life.had.meaning.and.purpose.Quantised","Random_ID"
"1",1701884143860,"06/12/2023 17:35:43",1701884143860,0,"06/12/2023 17:35:43",152734,15,"questionnaire-nsch",NA,33495359,9908979,NA,"complete",NA,"6570b052226bc4134f504bf1","computer","Desktop or Laptop","Mac OS 10.15.6","Safari 14.0.1","1440x900","1440x735",NA,NA,0,"ASA (Clone)",1,"In","ABLCKDJEIFHG",NA,"In",4,"Sometimes","2","Often","3","Sometimes","2","Often","3","Sometimes","2","Sometimes","2","Never","1","Sometimes","2","Never","1","Never","1","Sometimes","2","Sometimes","2","Sometimes","2","Always","4","MDPRF73724"
"1",1701884966791,"06/12/2023 17:49:26",1701884966791,0,"06/12/2023 17:49:26",152734,15,"questionnaire-nsch",NA,33496113,9909115,NA,"complete",NA,"6570b28ad89c24d6e0e1b333","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1504x1003","750x836",NA,NA,0,"ASA (Clone)",1,"In","BCADLEKFJGIH",NA,"In",2,"Often","3","Sometimes","2","Sometimes","2","Often","3","Often","3","Often","3","Sometimes","2","Sometimes","2","Often","3","Often","3","Often","3","Sometimes","2","Sometimes","2","Often","3","MDPRF55461"
"1",1701885287059,"06/12/2023 17:54:47",1701885287059,0,"06/12/2023 17:54:47",152734,15,"questionnaire-nsch",NA,33496353,9909113,NA,"complete",NA,"6570b276b0270d43e0a78002","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x919",NA,NA,0,"ASA (Clone)",1,"In","CDBEAFLGKHJI",NA,"In",6,"Often","3","Often","3","Sometimes","2","Always","4","Always","4","Sometimes","2","Often","3","Sometimes","2","Often","3","Always","4","Never","1","Always","4","Always","4","Never","1","MDPRF62430"
"1",1701885351913,"06/12/2023 17:55:51",1701885351913,0,"06/12/2023 17:55:51",152734,15,"questionnaire-nsch",NA,33496405,9909178,NA,"complete",NA,"6570b44377cbe451a261f3d3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x708",NA,NA,0,"ASA (Clone)",1,"In","DECFBGAHLIKJ",NA,"In",5,"Sometimes","2","Sometimes","2","Often","3","Sometimes","2","Often","3","Sometimes","2","Sometimes","2","Never","1","Never","1","Sometimes","2","Sometimes","2","Always","4","Sometimes","2","Often","3","MDPRF82002"
"1",1701886009299,"06/12/2023 18:06:49",1701886009299,0,"06/12/2023 18:06:49",152734,15,"questionnaire-nsch",NA,33496883,9909224,NA,"complete",NA,"6570b480798caed9bcc7dd50","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1707x821",NA,NA,0,"ASA (Clone)",1,"In","EFDGCHBIAJLK",NA,"In",1,"Often","3","Often","3","Sometimes","2","Often","3","Often","3","Often","3","Sometimes","2","Never","1","Always","4","Always","4","Never","1","Always","4","Always","4","Never","1","MDPRF02309"
"1",1701886036369,"06/12/2023 18:07:16",1701857236369,-8,"06/12/2023 02:07:16",152734,15,"questionnaire-nsch",NA,33496898,9909290,NA,"complete",NA,"6570b78658d63e7508f01427","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.6.1","1440x900","1324x743",NA,NA,0,"ASA (Clone)",1,"In","KLJAIBHCGDFE",NA,"In",4,"Never","1","Never","1","Never","1","Never","1","Never","1","Never","1","Never","1","Often","3","Never","1","Never","1","Never","1","Never","1","Never","1","Always","4","MDPRF63304"
"1",1701886118395,"06/12/2023 18:08:38",1701886118395,0,"06/12/2023 18:08:38",152734,15,"questionnaire-nsch",NA,33496958,9909299,NA,"complete",NA,"6570b73236251057f2d1a6d7","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1280x720","1232x598",NA,NA,0,"ASA (Clone)",1,"In","JKILHAGBFCED",NA,"In",3,"Sometimes","2","Never","1","Never","1","Sometimes","2","Never","1","Never","1","Never","1","Often","3","Sometimes","2","Sometimes","2","Sometimes","2","Never","1","Sometimes","2","Sometimes","2","MDPRF73880"
"1",1701886124375,"06/12/2023 18:08:44",1701886124375,0,"06/12/2023 18:08:44",152734,15,"questionnaire-nsch",NA,33496966,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"ASA (Clone)",1,"In","GHFIEJDKCLBA",NA,"In",3,"Never","1","Never","1","Sometimes","2","Sometimes","2","Never","1","Never","1","Never","1","Sometimes","2","Sometimes","2","Sometimes","2","Always","4","Never","1","Sometimes","2","Always","4","MDPRF69845"
"1",1701886143256,"06/12/2023 18:09:03",1701886143256,0,"06/12/2023 18:09:03",152734,15,"questionnaire-nsch",NA,33496991,9909256,NA,"complete",NA,"6570b672a5ca4229dd5ea889","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1368x912","1368x755",NA,NA,0,"ASA (Clone)",1,"In","HIGJFKELDACB",NA,"In",5,"Often","3","Often","3","Often","3","Always","4","Sometimes","2","Sometimes","2","Often","3","Never","1","Often","3","Sometimes","2","Never","1","Often","3","Often","3","Sometimes","2","MDPRF86222"
"1",1701886355224,"06/12/2023 18:12:35",1701886355224,0,"06/12/2023 18:12:35",152734,15,"questionnaire-nsch",NA,33497204,9909228,NA,"complete",NA,"6570b5cb9df66f11ec0691fd","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1422x670",NA,NA,0,"ASA (Clone)",1,"In","IJHKGLFAEBDC",NA,"In",4,"Never","1","Never","1","Never","1","Never","1","Never","1","Never","1","Never","1","Often","3","Never","1","Never","1","Often","3","Never","1","Never","1","Often","3","MDPRF89096"
