"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.rr6o","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1701885127511,"06/12/2023 17:52:07",1701885127511,0,"06/12/2023 17:52:07",152734,15,"questionnaire-uu2n",NA,33496223,9909115,NA,"complete",NA,"6570b28ad89c24d6e0e1b333","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1504x1003","750x836",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"MDPRF55461"
"2",1701885151807,"06/12/2023 17:52:31",1701885151807,0,"06/12/2023 17:52:31",152734,15,"questionnaire-uu2n",NA,33496223,9909115,NA,"complete",NA,"6570b28ad89c24d6e0e1b333","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1504x1003","750x836",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",24310.5389998569,24301.681,24310.5389998569,24310.5389998569,24301.681,24310.5389998569,1,24310.5389998569,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"MDPRF55461"
"3",1701885151812,"06/12/2023 17:52:31",1701885151812,0,"06/12/2023 17:52:31",152734,15,"questionnaire-uu2n",NA,33496223,9909115,NA,"complete",NA,"6570b28ad89c24d6e0e1b333","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1504x1003","750x836",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","2",14917.674,24301.681,24318.414,14917.674,24301.681,24318.414,1,14917.674,9400.74,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"MDPRF55461"
"4",1701885151812,"06/12/2023 17:52:31",1701885151812,0,"06/12/2023 17:52:31",152734,15,"questionnaire-uu2n",NA,33496223,9909115,NA,"complete",NA,"6570b28ad89c24d6e0e1b333","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1504x1003","750x836",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","2",20834.746,24301.681,24318.414,20834.746,24301.681,24318.414,1,20834.746,3483.668,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"MDPRF55461"
"5",1701885151813,"06/12/2023 17:52:31",1701885151813,0,"06/12/2023 17:52:31",152734,15,"questionnaire-uu2n",NA,33496223,9909115,NA,"complete",NA,"6570b28ad89c24d6e0e1b333","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1504x1003","750x836",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","6",23684.85,24301.681,24318.414,23684.85,24301.681,24318.414,1,23684.85,633.564000000002,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"MDPRF55461"
"6",1701885166425,"06/12/2023 17:52:46",1701885166425,0,"06/12/2023 17:52:46",152734,15,"questionnaire-uu2n",NA,33496223,9909115,NA,"complete",NA,"6570b28ad89c24d6e0e1b333","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1504x1003","750x836",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",14634.1579998093,14617.733,14634.1579998093,14634.1579998093,14617.733,14634.1579998093,1,14634.1579998093,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"MDPRF55461"
"7",1701885166431,"06/12/2023 17:52:46",1701885166431,0,"06/12/2023 17:52:46",152734,15,"questionnaire-uu2n",NA,33496223,9909115,NA,"complete",NA,"6570b28ad89c24d6e0e1b333","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1504x1003","750x836",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","5",4167.164,14617.733,14634.442,4167.164,14617.733,14634.442,1,4167.164,10467.278,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"MDPRF55461"
"8",1701885166432,"06/12/2023 17:52:46",1701885166432,0,"06/12/2023 17:52:46",152734,15,"questionnaire-uu2n",NA,33496223,9909115,NA,"complete",NA,"6570b28ad89c24d6e0e1b333","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1504x1003","750x836",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","4",5850.368,14617.733,14634.442,5850.368,14617.733,14634.442,1,5850.368,8784.074,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"MDPRF55461"
"9",1701885166433,"06/12/2023 17:52:46",1701885166433,0,"06/12/2023 17:52:46",152734,15,"questionnaire-uu2n",NA,33496223,9909115,NA,"complete",NA,"6570b28ad89c24d6e0e1b333","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1504x1003","750x836",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","6",12584.156,14617.733,14634.442,12584.156,14617.733,14634.442,1,12584.156,2050.28600000001,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"MDPRF55461"
"10",1701885225283,"06/12/2023 17:53:45",1701885225283,0,"06/12/2023 17:53:45",152734,15,"questionnaire-uu2n",NA,33496223,9909115,NA,"complete",NA,"6570b28ad89c24d6e0e1b333","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1504x1003","750x836",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",58870.692,58854.018,58870.692,58870.692,58854.018,58870.692,1,58870.692,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"MDPRF55461"
