"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.rr6o","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations..I.understand.that.such.confidentiality.is.limited.if.evidence.of.wrongdoing.or.potential.harm.is.uncovered..In.such.cases.the.researcher.may.be.obliged.to.contact.relevant.statutory.bodies.agencies...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation..at.the.rate.of..8.per.hour...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.hereby.confirm.that.I.am.aged.18.25..speak.fluent.English..and.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
"1",1701883999079,"06/12/2023 17:33:19",1701883999079,0,"06/12/2023 17:33:19",152734,15,"questionnaire-1tsk",NA,33495164,9908979,NA,"complete",NA,"6570b052226bc4134f504bf1","computer","Desktop or Laptop","Mac OS 10.15.6","Safari 14.0.1","1440x900","1440x735",NA,NA,0,"Consent",11,"In","ABLCKDJEIFHG",NA,"In",4,"1","1","1","1","1","1","1","1","1","1","MDPRF73724"
"1",1701884558154,"06/12/2023 17:42:38",1701884558154,0,"06/12/2023 17:42:38",152734,15,"questionnaire-1tsk",NA,33495775,9909113,NA,"complete",NA,"6570b276b0270d43e0a78002","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x919",NA,NA,0,"Consent",11,"In","CDBEAFLGKHJI",NA,"In",6,"1","1","1","1","1","1","1","1","1","1","MDPRF62430"
"1",1701884573532,"06/12/2023 17:42:53",1701884573532,0,"06/12/2023 17:42:53",152734,15,"questionnaire-1tsk",NA,33495787,9909115,NA,"complete",NA,"6570b28ad89c24d6e0e1b333","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1504x1003","1504x846",NA,NA,0,"Consent",11,"In","BCADLEKFJGIH",NA,"In",2,"1","1","1","1","1","1","1","1","1","1","MDPRF55461"
"1",1701885007091,"06/12/2023 17:50:07",1701885007091,0,"06/12/2023 17:50:07",152734,15,"questionnaire-1tsk",NA,33496142,9909178,NA,"complete",NA,"6570b44377cbe451a261f3d3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x708",NA,NA,0,"Consent",11,"In","DECFBGAHLIKJ",NA,"In",5,"1","1","1","1","1","1","1","1","1","1","MDPRF82002"
"1",1701885370302,"06/12/2023 17:56:10",1701885370302,0,"06/12/2023 17:56:10",152734,15,"questionnaire-1tsk",NA,33496420,9909224,NA,"complete",NA,"6570b480798caed9bcc7dd50","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1707x821",NA,NA,0,"Consent",11,"In","EFDGCHBIAJLK",NA,"In",1,"1","1","1","1","1","1","1","1","1","1","MDPRF02309"
"1",1701885402972,"06/12/2023 17:56:42",1701885402972,0,"06/12/2023 17:56:42",152734,15,"questionnaire-1tsk",NA,33496440,9909228,NA,"complete",NA,"6570b5cb9df66f11ec0691fd","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1422x670",NA,NA,0,"Consent",11,"In","IJHKGLFAEBDC",NA,"In",4,"1","1","1","1","1","1","1","1","1","1","MDPRF89096"
"1",1701885562736,"06/12/2023 17:59:22",1701885562736,0,"06/12/2023 17:59:22",152734,15,"questionnaire-1tsk",NA,33496542,9909247,NA,"complete",NA,"6570b6680ea19e92901e5180","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1068x602",NA,NA,0,"Consent",11,"In","FGEHDICJBKAL",NA,"In",2,"1","1","1","1","1","1","1","1","1","1","MDPRF27041"
"1",1701885602008,"06/12/2023 18:00:02",1701885602008,0,"06/12/2023 18:00:02",152734,15,"questionnaire-1tsk",NA,33496566,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Consent",11,"In","GHFIEJDKCLBA",NA,"In",3,"1","1","1","1","1","1","1","1","1","1","MDPRF69845"
"1",1701885618706,"06/12/2023 18:00:18",1701885618706,0,"06/12/2023 18:00:18",152734,15,"questionnaire-1tsk",NA,33496579,9909256,NA,"complete",NA,"6570b672a5ca4229dd5ea889","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1368x912","1368x755",NA,NA,0,"Consent",11,"In","HIGJFKELDACB",NA,"In",5,"1","1","1","1","1","1","1","1","1","1","MDPRF86222"
"1",1701885887395,"06/12/2023 18:04:47",1701857087395,-8,"06/12/2023 02:04:47",152734,15,"questionnaire-1tsk",NA,33496768,9909290,NA,"complete",NA,"6570b78658d63e7508f01427","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.6.1","1440x900","1324x743",NA,NA,0,"Consent",11,"In","KLJAIBHCGDFE",NA,"In",4,"1","1","1","1","1","1","1","1","1","1","MDPRF63304"
