"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.rr6o","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Emo","Spreadsheet..LHS_Lab","Spreadsheet..RHS_Lab","Spreadsheet..rand","Spreadsheet..Win","Spreadsheet..Win2","Spreadsheet..Win3","Spreadsheet..randF","Manipulation..Spreadsheet","Store..MoneyLow","Store..MoneyHigh","Store..MoneyReward","Store..Loss","Random_ID"
"1",1701886227264,"06/12/2023 18:10:27",1701886227264,0,"06/12/2023 18:10:27",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF69845"
"2",1701886232391,"06/12/2023 18:10:32",1701886232391,0,"06/12/2023 18:10:32",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",1,"Instructions","Screen 1","ddykq7",1,"continue","",5147.73500014305,5133.65,5147.73500014305,5147.73500014305,5133.65,5147.73500014305,1,5147.73500014305,0,0,NA,"Click To Continue","Continue Button",2,"object-18","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF69845"
"3",1701886236501,"06/12/2023 18:10:36",1701886236501,0,"06/12/2023 18:10:36",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",1,"Instructions","Screen 2","dcmmer",2,"continue","",4124.78499995232,4116.521,4124.78499995232,4124.78499995232,4116.521,4124.78499995232,1,4124.78499995232,0,0,NA,"Click To Continue","Continue Button",2,"object-55","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF69845"
"4",1701886237868,"06/12/2023 18:10:37",1701886237868,0,"06/12/2023 18:10:37",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",1,"Instructions","Screen 3","ntxvt6",3,"continue","",1375.16400004768,1366.707,1375.16400004768,1375.16400004768,1366.707,1375.16400004768,1,1375.16400004768,0,0,NA,"Click To Continue","Continue Button",2,"object-59","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF69845"
"5",1701886241817,"06/12/2023 18:10:41",1701886241817,0,"06/12/2023 18:10:41",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",1,"Rating","Screen 1","poh9ia",1,"continue","",3957.55699995232,3950.219,3957.55699995232,3957.55699995232,3950.219,3957.55699995232,1,3957.55699995232,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","happy","unhappy","happy",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF69845"
"6",1701886241819,"06/12/2023 18:10:41",1701886241819,0,"06/12/2023 18:10:41",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",1,"Rating","Screen 1","poh9ia",1,"response","83",3133.484,3950.219,3958.95700004768,3133.484,3950.219,3958.95700004768,1,3133.484,825.473000047683,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF69845"
"7",1701886245031,"06/12/2023 18:10:45",1701886245031,0,"06/12/2023 18:10:45",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",2,"Rating","Screen 1","poh9ia",1,"continue","",3221.038,3216.811,3221.038,3221.038,3216.811,3221.038,1,3221.038,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","frustrated","not frustrated","frustrated",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF69845"
"8",1701886245032,"06/12/2023 18:10:45",1701886245032,0,"06/12/2023 18:10:45",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",2,"Rating","Screen 1","poh9ia",1,"response","11",2350.007,3216.811,3221.93800009537,2350.007,3216.811,3221.93800009537,1,2350.007,871.931000095366,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF69845"
"9",1701886248610,"06/12/2023 18:10:48",1701886248610,0,"06/12/2023 18:10:48",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",3,"Rating","Screen 1","poh9ia",1,"continue","",3582.934,3566.315,3582.934,3582.934,3566.315,3582.934,1,3582.934,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","bored","not bored","bored",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF69845"
"10",1701886248615,"06/12/2023 18:10:48",1701886248615,0,"06/12/2023 18:10:48",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",3,"Rating","Screen 1","poh9ia",1,"response","39",2883.219,3566.315,3582.934,2883.219,3566.315,3582.934,1,2883.219,699.715,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF69845"
