"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.rr6o","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Emo","Spreadsheet..LHS_Lab","Spreadsheet..RHS_Lab","Spreadsheet..rand","Spreadsheet..Win","Spreadsheet..Win2","Spreadsheet..Win3","Spreadsheet..randF","Manipulation..Spreadsheet","Store..MoneyLow","Store..MoneyHigh","Store..MoneyReward","Store..Loss","Random_ID"
"1",1701885454459,"06/12/2023 17:57:34",1701885454459,0,"06/12/2023 17:57:34",152734,15,"task-o66i",NA,33496480,9908979,NA,"complete",NA,"6570b052226bc4134f504bf1","computer","Desktop or Laptop","Mac OS 10.15.6","Safari 14.0.1","1440x900","1440x820",NA,NA,0,"Rest + Money + Mood rating",33,"In","ABLCKDJEIFHG",NA,"In",4,"Spreadsheet4",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF73724"
"2",1701885461184,"06/12/2023 17:57:41",1701885461184,0,"06/12/2023 17:57:41",152734,15,"task-o66i",NA,33496480,9908979,NA,"complete",NA,"6570b052226bc4134f504bf1","computer","Desktop or Laptop","Mac OS 10.15.6","Safari 14.0.1","1440x900","1440x820",NA,NA,0,"Rest + Money + Mood rating",33,"In","ABLCKDJEIFHG",NA,"In",4,"Spreadsheet4",1,"Instructions","Screen 1","ddykq7",1,"continue","",7498,7488,7498,7498,7488,7498,1,7498,0,0,NA,"Click To Continue","Continue Button",2,"object-18","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF73724"
"3",1701885464886,"06/12/2023 17:57:44",1701885464886,0,"06/12/2023 17:57:44",152734,15,"task-o66i",NA,33496480,9908979,NA,"complete",NA,"6570b052226bc4134f504bf1","computer","Desktop or Laptop","Mac OS 10.15.6","Safari 14.0.1","1440x900","1440x820",NA,NA,0,"Rest + Money + Mood rating",33,"In","ABLCKDJEIFHG",NA,"In",4,"Spreadsheet4",1,"Instructions","Screen 2","dcmmer",2,"continue","",3713,3700,3713,3713,3700,3713,1,3713,0,0,NA,"Click To Continue","Continue Button",2,"object-55","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF73724"
"4",1701885467227,"06/12/2023 17:57:47",1701885467227,0,"06/12/2023 17:57:47",152734,15,"task-o66i",NA,33496480,9908979,NA,"complete",NA,"6570b052226bc4134f504bf1","computer","Desktop or Laptop","Mac OS 10.15.6","Safari 14.0.1","1440x900","1440x820",NA,NA,0,"Rest + Money + Mood rating",33,"In","ABLCKDJEIFHG",NA,"In",4,"Spreadsheet4",1,"Instructions","Screen 3","ntxvt6",3,"continue","",2349,2333,2349,2349,2333,2349,1,2349,0,0,NA,"Click To Continue","Continue Button",2,"object-59","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF73724"
"5",1701885470767,"06/12/2023 17:57:50",1701885470767,0,"06/12/2023 17:57:50",152734,15,"task-o66i",NA,33496480,9908979,NA,"complete",NA,"6570b052226bc4134f504bf1","computer","Desktop or Laptop","Mac OS 10.15.6","Safari 14.0.1","1440x900","1440x820",NA,NA,0,"Rest + Money + Mood rating",33,"In","ABLCKDJEIFHG",NA,"In",4,"Spreadsheet4",1,"Rating","Screen 1","poh9ia",1,"continue","",3549,3533,3549,3549,3533,3549,1,3549,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","bored","not bored","bored",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF73724"
"6",1701885470767,"06/12/2023 17:57:50",1701885470767,0,"06/12/2023 17:57:50",152734,15,"task-o66i",NA,33496480,9908979,NA,"complete",NA,"6570b052226bc4134f504bf1","computer","Desktop or Laptop","Mac OS 10.15.6","Safari 14.0.1","1440x900","1440x820",NA,NA,0,"Rest + Money + Mood rating",33,"In","ABLCKDJEIFHG",NA,"In",4,"Spreadsheet4",1,"Rating","Screen 1","poh9ia",1,"response","62",1883,3533,3549,1883,3533,3549,1,1883,1666,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF73724"
"7",1701885473888,"06/12/2023 17:57:53",1701885473888,0,"06/12/2023 17:57:53",152734,15,"task-o66i",NA,33496480,9908979,NA,"complete",NA,"6570b052226bc4134f504bf1","computer","Desktop or Laptop","Mac OS 10.15.6","Safari 14.0.1","1440x900","1440x820",NA,NA,0,"Rest + Money + Mood rating",33,"In","ABLCKDJEIFHG",NA,"In",4,"Spreadsheet4",2,"Rating","Screen 1","poh9ia",1,"continue","",3150,3134,3150,3150,3134,3150,1,3150,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","frustrated","not frustrated","frustrated",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF73724"
"8",1701885473889,"06/12/2023 17:57:53",1701885473889,0,"06/12/2023 17:57:53",152734,15,"task-o66i",NA,33496480,9908979,NA,"complete",NA,"6570b052226bc4134f504bf1","computer","Desktop or Laptop","Mac OS 10.15.6","Safari 14.0.1","1440x900","1440x820",NA,NA,0,"Rest + Money + Mood rating",33,"In","ABLCKDJEIFHG",NA,"In",4,"Spreadsheet4",2,"Rating","Screen 1","poh9ia",1,"response","34",2084,3134,3151,2084,3134,3151,1,2084,1067,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF73724"
"9",1701885478643,"06/12/2023 17:57:58",1701885478643,0,"06/12/2023 17:57:58",152734,15,"task-o66i",NA,33496480,9908979,NA,"complete",NA,"6570b052226bc4134f504bf1","computer","Desktop or Laptop","Mac OS 10.15.6","Safari 14.0.1","1440x900","1440x820",NA,NA,0,"Rest + Money + Mood rating",33,"In","ABLCKDJEIFHG",NA,"In",4,"Spreadsheet4",3,"Rating","Screen 1","poh9ia",1,"continue","",4764,4749,4764,4764,4749,4764,1,4764,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","happy","unhappy","happy",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF73724"
"10",1701885478646,"06/12/2023 17:57:58",1701885478646,0,"06/12/2023 17:57:58",152734,15,"task-o66i",NA,33496480,9908979,NA,"complete",NA,"6570b052226bc4134f504bf1","computer","Desktop or Laptop","Mac OS 10.15.6","Safari 14.0.1","1440x900","1440x820",NA,NA,0,"Rest + Money + Mood rating",33,"In","ABLCKDJEIFHG",NA,"In",4,"Spreadsheet4",3,"Rating","Screen 1","poh9ia",1,"response","65",3383,4749,4764,3383,4749,4764,1,3383,1381,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF73724"
