"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Emo","Spreadsheet..LHS_Lab","Spreadsheet..RHS_Lab","Spreadsheet..rand","Spreadsheet..Win","Spreadsheet..Win2","Spreadsheet..Win3","Spreadsheet..randF","Manipulation..Spreadsheet","Store..MoneyLow","Store..MoneyHigh","Store..MoneyReward","Store..Loss","Random_ID"
"1",1701951575561,"07/12/2023 12:19:35",1701951575561,0,"07/12/2023 12:19:35",152734,16,"task-nxrg",NA,33514633,9922638,NA,"complete",NA,"6571b65c0e93731c3ef24841","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x955",NA,NA,0,"Rest + Money + Mood rating",34,"In","BCADLEKFJGIH",NA,"In","Spreadsheet6",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF71538"
"2",1701951837549,"07/12/2023 12:23:57",1701951837549,0,"07/12/2023 12:23:57",152734,16,"task-nxrg",NA,33514633,9922638,NA,"complete",NA,"6571b65c0e93731c3ef24841","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x955",NA,NA,0,"Rest + Money + Mood rating",34,"In","BCADLEKFJGIH",NA,"In","Spreadsheet6",1,"Instructions","Screen 1","ddykq7",1,"continue","",261994.600000003,261990.2,261994.600000003,261994.600000003,261990.2,261994.600000003,1,261994.600000003,0,0,NA,"Click To Continue","Continue Button",2,"object-18","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF71538"
"3",1701951838880,"07/12/2023 12:23:58",1701951838880,0,"07/12/2023 12:23:58",152734,16,"task-nxrg",NA,33514633,9922638,NA,"complete",NA,"6571b65c0e93731c3ef24841","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x955",NA,NA,0,"Rest + Money + Mood rating",34,"In","BCADLEKFJGIH",NA,"In","Spreadsheet6",1,"Instructions","Screen 2","dcmmer",2,"continue","",1335.40000000299,1334.70000000001,1335.40000000299,1335.40000000299,1334.70000000001,1335.40000000299,1,1335.40000000299,0,0,NA,"Click To Continue","Continue Button",2,"object-55","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF71538"
"4",1701951840004,"07/12/2023 12:24:00",1701951840004,0,"07/12/2023 12:24:00",152734,16,"task-nxrg",NA,33514633,9922638,NA,"complete",NA,"6571b65c0e93731c3ef24841","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x955",NA,NA,0,"Rest + Money + Mood rating",34,"In","BCADLEKFJGIH",NA,"In","Spreadsheet6",1,"Instructions","Screen 3","ntxvt6",3,"continue","",1124.79999999702,1119.20000000001,1124.79999999702,1124.79999999702,1119.20000000001,1124.79999999702,1,1124.79999999702,0,0,NA,"Click To Continue","Continue Button",2,"object-59","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF71538"
"5",1701951843299,"07/12/2023 12:24:03",1701951843299,0,"07/12/2023 12:24:03",152734,16,"task-nxrg",NA,33514633,9922638,NA,"complete",NA,"6571b65c0e93731c3ef24841","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x955",NA,NA,0,"Rest + Money + Mood rating",34,"In","BCADLEKFJGIH",NA,"In","Spreadsheet6",1,"Rating","Screen 1","poh9ia",1,"continue","",3299.39999999403,3295.09999999998,3299.39999999403,3299.39999999403,3295.09999999998,3299.39999999403,1,3299.39999999403,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","frustrated","not frustrated","frustrated",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF71538"
"6",1701951843299,"07/12/2023 12:24:03",1701951843299,0,"07/12/2023 12:24:03",152734,16,"task-nxrg",NA,33514633,9922638,NA,"complete",NA,"6571b65c0e93731c3ef24841","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x955",NA,NA,0,"Rest + Money + Mood rating",34,"In","BCADLEKFJGIH",NA,"In","Spreadsheet6",1,"Rating","Screen 1","poh9ia",1,"response","15",1334.79999999999,3295.09999999998,3300.00000000297,1334.79999999999,3295.09999999998,3300.00000000297,1,1334.79999999999,1965.20000000298,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF71538"
"7",1701951845672,"07/12/2023 12:24:05",1701951845672,0,"07/12/2023 12:24:05",152734,16,"task-nxrg",NA,33514633,9922638,NA,"complete",NA,"6571b65c0e93731c3ef24841","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x955",NA,NA,0,"Rest + Money + Mood rating",34,"In","BCADLEKFJGIH",NA,"In","Spreadsheet6",2,"Rating","Screen 1","poh9ia",1,"continue","",2378.60000000597,2377.60000000003,2378.60000000597,2378.60000000597,2377.60000000003,2378.60000000597,1,2378.60000000597,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","bored","not bored","bored",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF71538"
"8",1701951845673,"07/12/2023 12:24:05",1701951845673,0,"07/12/2023 12:24:05",152734,16,"task-nxrg",NA,33514633,9922638,NA,"complete",NA,"6571b65c0e93731c3ef24841","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x955",NA,NA,0,"Rest + Money + Mood rating",34,"In","BCADLEKFJGIH",NA,"In","Spreadsheet6",2,"Rating","Screen 1","poh9ia",1,"response","10",1738,2377.60000000003,2378.79999999405,1738,2377.60000000003,2378.79999999405,1,1738,640.799999994051,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF71538"
"9",1701951847858,"07/12/2023 12:24:07",1701951847858,0,"07/12/2023 12:24:07",152734,16,"task-nxrg",NA,33514633,9922638,NA,"complete",NA,"6571b65c0e93731c3ef24841","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x955",NA,NA,0,"Rest + Money + Mood rating",34,"In","BCADLEKFJGIH",NA,"In","Spreadsheet6",3,"Rating","Screen 1","poh9ia",1,"continue","",2186.80000000296,2182.69999999995,2186.80000000296,2186.80000000296,2182.69999999995,2186.80000000296,1,2186.80000000296,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","happy","unhappy","happy",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF71538"
"10",1701951847860,"07/12/2023 12:24:07",1701951847860,0,"07/12/2023 12:24:07",152734,16,"task-nxrg",NA,33514633,9922638,NA,"complete",NA,"6571b65c0e93731c3ef24841","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x955",NA,NA,0,"Rest + Money + Mood rating",34,"In","BCADLEKFJGIH",NA,"In","Spreadsheet6",3,"Rating","Screen 1","poh9ia",1,"response","84",1682.19999999995,2182.69999999995,2188.19999999402,1682.19999999995,2182.69999999995,2188.19999999402,1,1682.19999999995,505.999999994063,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF71538"
"11",1701951852853,"07/12/2023 12:24:12",1701951852853,0,"07/12/2023 12:24:12",152734,16,"task-nxrg",NA,33514633,9922638,NA,"complete",NA,"6571b65c0e93731c3ef24841","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x955",NA,NA,0,"Rest + Money + Mood rating",34,"In","BCADLEKFJGIH",NA,"In","Spreadsheet6",1,"FortuneH","Screen 1","aigyx5",1,"timedOut","",4998.600000003,4998.40000000002,4998.600000003,4998.600000003,4998.40000000002,4998.600000003,1,4998.600000003,0,0,NA,"Time Limit","screen",0,"screen","FortuneH","","","",NA,NA,3.03,NA,3,NA,NA,3.03,NA,NA,"MDPRF71538"
"12",1701951855111,"07/12/2023 12:24:15",1701951855111,0,"07/12/2023 12:24:15",152734,16,"task-nxrg",NA,33514633,9922638,NA,"complete",NA,"6571b65c0e93731c3ef24841","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x955",NA,NA,0,"Rest + Money + Mood rating",34,"In","BCADLEKFJGIH",NA,"In","Spreadsheet6",4,"Rating","Screen 1","poh9ia",1,"continue","",2258.29999999702,2252.29999999999,2258.29999999702,2258.29999999702,2252.29999999999,2258.29999999702,1,2258.29999999702,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","bored","not bored","bored",2,NA,NA,NA,NA,NA,NA,3.03,NA,NA,"MDPRF71538"
"13",1701951855111,"07/12/2023 12:24:15",1701951855111,0,"07/12/2023 12:24:15",152734,16,"task-nxrg",NA,33514633,9922638,NA,"complete",NA,"6571b65c0e93731c3ef24841","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x955",NA,NA,0,"Rest + Money + Mood rating",34,"In","BCADLEKFJGIH",NA,"In","Spreadsheet6",4,"Rating","Screen 1","poh9ia",1,"response","1",1522.40000000002,2252.29999999999,2258.5,1522.40000000002,2252.29999999999,2258.5,1,1522.40000000002,736.099999999977,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",2,NA,NA,NA,NA,NA,NA,3.03,NA,NA,"MDPRF71538"
