"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","Slider_LH.object.2.Value","Random_ID"
"1",1701951485356,"07/12/2023 12:18:05",1701951485356,0,"07/12/2023 12:18:05",152734,16,"questionnaire-txxf",NA,33514567,9922638,NA,"complete",NA,"6571b65c0e93731c3ef24841","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x955",NA,NA,0,"Life Happiness",2,"In","BCADLEKFJGIH",NA,"In","44","MDPRF71538"
"1",1701951488494,"07/12/2023 12:18:08",1701951488494,0,"07/12/2023 12:18:08",152734,16,"questionnaire-txxf",NA,33514568,9922651,NA,"complete",NA,"6571b69f19e8d207432c1368","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x707",NA,NA,0,"Life Happiness",2,"In","CDBEAFLGKHJI",NA,"In","54","MDPRF12467"
"1",1701951838437,"07/12/2023 12:23:58",1701951838437,0,"07/12/2023 12:23:58",152734,16,"questionnaire-txxf",NA,33514806,9922687,NA,"complete",NA,"6571b6759ff002b50521cc3b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1285x605","1280x605",NA,NA,0,"Life Happiness",2,"In","DECFBGAHLIKJ",NA,"In","-70","MDPRF73934"
"1",1701951989332,"07/12/2023 12:26:29",1701951989332,0,"07/12/2023 12:26:29",152734,16,"questionnaire-txxf",NA,33514945,9922727,NA,"complete",NA,"6571b8c68b25e8ab178d995f","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x783",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJLK",NA,"In","13","MDPRF44703"
"1",1701952049942,"07/12/2023 12:27:29",1701952049942,0,"07/12/2023 12:27:29",152734,16,"questionnaire-txxf",NA,33514985,9922635,NA,"complete",NA,"6571b64971deefe0f6a6b775","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1123x632","1123x481",NA,NA,0,"Life Happiness",2,"In","ABLCKDJEIFHG",NA,"In","37","MDPRF46587"
"1",1701952083497,"07/12/2023 12:28:03",1701952083497,0,"07/12/2023 12:28:03",152734,16,"questionnaire-txxf",NA,33514992,9922775,NA,"complete",NA,"6571b84619b0d83fd5d24760","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","2560x1440","2560x1313",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKAL",NA,"In","29","MDPRF65573"
"1",1701952387572,"07/12/2023 12:33:07",1701952387572,0,"07/12/2023 12:33:07",152734,16,"questionnaire-txxf",NA,33515185,9922813,NA,"complete",NA,"6571bae8b39543f9d04ef958","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1366x768","1366x644",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCLBA",NA,"In","66","MDPRF72836"
"1",1701953011732,"07/12/2023 12:43:31",1701953011732,0,"07/12/2023 12:43:31",152734,16,"questionnaire-txxf",NA,33515628,9922888,NA,"live",NA,"6571bc9d1ea2dfd675c43a4d","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1536x864","1536x740",NA,NA,0,"Life Happiness",2,"In","IJHKGLFAEBDC",NA,"In","86","MDPRF80741"
"1",1701953045503,"07/12/2023 12:44:05",1701953045503,0,"07/12/2023 12:44:05",152734,16,"questionnaire-txxf",NA,33515654,9922862,NA,"complete",NA,"6571bc5b6be4a1b0f2c49204","computer","Desktop or Laptop","Chromium OS 14816.131.0","Chrome 103.0.0.0","1366x768","1366x649",NA,NA,0,"Life Happiness",2,"In","HIGJFKELDACB",NA,"In","-39","MDPRF30660"
"1",1701956777881,"07/12/2023 13:46:17",1701956777881,0,"07/12/2023 13:46:17",152734,16,"questionnaire-txxf",NA,33517682,9923458,NA,"complete",NA,"6571cb4bdeac88baee068bc7","computer","Desktop or Laptop","Windows 10","Firefox 120.0","1600x900","1600x766",NA,NA,0,"Life Happiness",2,"In","JKILHAGBFCED",NA,"In","60","MDPRF43489"
