"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.rr6o","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations..I.understand.that.such.confidentiality.is.limited.if.evidence.of.wrongdoing.or.potential.harm.is.uncovered..In.such.cases.the.researcher.may.be.obliged.to.contact.relevant.statutory.bodies.agencies...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation..at.the.rate.of..8.per.hour...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.hereby.confirm.that.I.am.aged.18.25..speak.fluent.English..and.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
"1",1700754778927,"23/11/2023 15:52:58",1700754778927,0,"23/11/2023 15:52:58",152734,7,"questionnaire-1tsk",NA,33166021,9820294,NA,"rejected - time limit reached",NA,"655f7538c10c0e2709fa6d00","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1200","842x1082",NA,NA,0,"Consent",11,"In","ABLCKDJEIFHG",NA,"In",3,"1","1","1","1","1","1","1","1","1","1","MDPRF11898"
"1",1700755042804,"23/11/2023 15:57:22",1700755042804,0,"23/11/2023 15:57:22",152734,7,"questionnaire-1tsk",NA,33166155,9820339,NA,"rejected - time limit reached",NA,"655f75bfa480aa0149f7bb90","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.69","1280x720","1232x594",NA,NA,0,"Consent",11,"In","BCADLEKFJGIH",NA,"In",4,"1","1","1","1","1","1","1","1","1","1","MDPRF16716"
"1",1700755743797,"23/11/2023 16:09:03",1700755743797,0,"23/11/2023 16:09:03",152734,7,"questionnaire-1tsk",NA,33166445,9820453,NA,"rejected - time limit reached",NA,"655f78fa490309aa27ba14b4","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x593",NA,NA,0,"Consent",11,"In","CDBEAFLGKHJI",NA,"In",1,"1","1","1","1","1","1","1","1","1","1","MDPRF19699"
"1",1700756072368,"23/11/2023 16:14:32",1700756072368,0,"23/11/2023 16:14:32",152734,7,"questionnaire-1tsk",NA,33166586,9820510,NA,"rejected - time limit reached",NA,"655f7a4f2a94cd085a122ad7","computer","Desktop or Laptop","Mac OS 10.15.7","Opera 102.0.0.0","1280x800","1226x685",NA,NA,0,"Consent",11,"In","DECFBGAHLIKJ",NA,"In",3,"1","1","1","1","1","1","1","1","1","1","MDPRF16028"
"1",1700756091906,"23/11/2023 16:14:51",1700756091906,0,"23/11/2023 16:14:51",152734,7,"questionnaire-1tsk",NA,33166593,9820513,NA,"rejected - time limit reached",NA,"655f7a7011ced56ce4d7f520","computer","Desktop or Laptop","Windows 10","Firefox 119.0","1920x1080","1920x955",NA,NA,0,"Consent",11,"In","HIGJFKELDACB",NA,"In",4,"1","1","1","1","1","1","1","1","1","1","MDPRF93300"
"1",1700756205479,"23/11/2023 16:16:45",1700756205479,0,"23/11/2023 16:16:45",152734,7,"questionnaire-1tsk",NA,33166642,9820530,NA,"rejected - time limit reached",NA,"655f7accd0f835342f1bfbaf","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x955",NA,NA,0,"Consent",11,"In","EFDGCHBIAJLK",NA,"In",2,"1","1","1","1","1","1","1","1","1","1","MDPRF51004"
"1",1700756325557,"23/11/2023 16:18:45",1700756325557,0,"23/11/2023 16:18:45",152734,7,"questionnaire-1tsk",NA,33166686,9820544,NA,"rejected - time limit reached",NA,"655f7b5c9d2a85b02c5642bf","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Consent",11,"In","FGEHDICJBKAL",NA,"In",5,"1","1","1","1","1","1","1","1","1","1","MDPRF45887"
"1",1700756405960,"23/11/2023 16:20:05",1700756405960,0,"23/11/2023 16:20:05",152734,7,"questionnaire-1tsk",NA,33166717,9820558,NA,"rejected - time limit reached",NA,"655f7baa175f84ab15d9de27","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1536x864","1528x750",NA,NA,0,"Consent",11,"In","GHFIEJDKCLBA",NA,"In",6,"1","1","1","1","1","1","1","1","1","1","MDPRF13926"
"1",1700756437850,"23/11/2023 16:20:37",1700734837850,-6,"23/11/2023 04:20:37",152734,7,"questionnaire-1tsk",NA,33166736,9820562,NA,"rejected - time limit reached",NA,"655f7bc4df8a36494422cf56","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x713",NA,NA,0,"Consent",11,"In","IJHKGLFAEBDC",NA,"In",6,"1","1","1","1","1","1","1","1","1","1","MDPRF64809"
"1",1700756481881,"23/11/2023 16:21:21",1700756481881,0,"23/11/2023 16:21:21",152734,7,"questionnaire-1tsk",NA,33166765,9820571,NA,"rejected - time limit reached",NA,"655f7bf4cf8aa35058101177","computer","Desktop or Laptop","Windows 10","Edge 112.0.1722.48","1536x864","1479x746",NA,NA,0,"Consent",11,"In","JKILHAGBFCED",NA,"In",6,"1","1","1","1","1","1","1","1","1","1","MDPRF34905"
