"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.rr6o","Slider_LH.object.2.Value","Random_ID"
"1",1700755311159,"23/11/2023 16:01:51",1700755311159,0,"23/11/2023 16:01:51",152734,7,"questionnaire-txxf",NA,33166267,9820294,NA,"rejected - time limit reached",NA,"655f7538c10c0e2709fa6d00","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1200","842x1082",NA,NA,0,"Life Happiness",2,"In","ABLCKDJEIFHG",NA,"In",3,"48","MDPRF11898"
"1",1700756070401,"23/11/2023 16:14:30",1700756070401,0,"23/11/2023 16:14:30",152734,7,"questionnaire-txxf",NA,33166585,9820339,NA,"rejected - time limit reached",NA,"655f75bfa480aa0149f7bb90","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.69","1280x720","1232x594",NA,NA,0,"Life Happiness",2,"In","BCADLEKFJGIH",NA,"In",4,"99","MDPRF16716"
"1",1700756431807,"23/11/2023 16:20:31",1700756431807,0,"23/11/2023 16:20:31",152734,7,"questionnaire-txxf",NA,33166734,9820558,NA,"rejected - time limit reached",NA,"655f7baa175f84ab15d9de27","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1536x864","1528x750",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCLBA",NA,"In",6,"34","MDPRF13926"
"1",1700756437060,"23/11/2023 16:20:37",1700756437060,0,"23/11/2023 16:20:37",152734,7,"questionnaire-txxf",NA,33166738,9820453,NA,"rejected - time limit reached",NA,"655f78fa490309aa27ba14b4","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x593",NA,NA,0,"Life Happiness",2,"In","CDBEAFLGKHJI",NA,"In",1,"-71","MDPRF19699"
"1",1700756507255,"23/11/2023 16:21:47",1700756507255,0,"23/11/2023 16:21:47",152734,7,"questionnaire-txxf",NA,33166777,9820544,NA,"rejected - time limit reached",NA,"655f7b5c9d2a85b02c5642bf","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKAL",NA,"In",5,"9","MDPRF45887"
"1",1700756542977,"23/11/2023 16:22:22",1700756542977,0,"23/11/2023 16:22:22",152734,7,"questionnaire-txxf",NA,33166791,9820513,NA,"rejected - time limit reached",NA,"655f7a7011ced56ce4d7f520","computer","Desktop or Laptop","Windows 10","Firefox 119.0","1920x1080","1920x955",NA,NA,0,"Life Happiness",2,"In","HIGJFKELDACB",NA,"In",4,"42","MDPRF93300"
"1",1700756583727,"23/11/2023 16:23:03",1700756583727,0,"23/11/2023 16:23:03",152734,7,"questionnaire-txxf",NA,33166812,9820530,NA,"rejected - time limit reached",NA,"655f7accd0f835342f1bfbaf","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x955",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJLK",NA,"In",2,"43","MDPRF51004"
"1",1700756702529,"23/11/2023 16:25:02",1700735102529,-6,"23/11/2023 04:25:02",152734,7,"questionnaire-txxf",NA,33166898,9820562,NA,"rejected - time limit reached",NA,"655f7bc4df8a36494422cf56","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x713",NA,NA,0,"Life Happiness",2,"In","IJHKGLFAEBDC",NA,"In",6,"43","MDPRF64809"
"1",1700756991093,"23/11/2023 16:29:51",1700756991093,0,"23/11/2023 16:29:51",152734,7,"questionnaire-txxf",NA,33167066,9820575,NA,"rejected - time limit reached",NA,"655f7c166e5a84d3091d233c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1675x820",NA,NA,0,"Life Happiness",2,"In","KLJAIBHCGDFE",NA,"In",2,"51","MDPRF47708"
"1",1700757148618,"23/11/2023 16:32:28",1700757148618,0,"23/11/2023 16:32:28",152734,7,"questionnaire-txxf",NA,33167179,9820673,NA,"rejected - time limit reached",NA,"655f7e5457bf9a1d80f7bbca","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1536x707",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCLBA",NA,"In",3,"28","MDPRF74794"
"1",1700757153505,"23/11/2023 16:32:33",1700757153505,0,"23/11/2023 16:32:33",152734,7,"questionnaire-txxf",NA,33167182,9820664,NA,"rejected - time limit reached",NA,"655f7d4c53bc8bdaae61f03d","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1920x1080","1280x637",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKAL",NA,"In",5,"-26","MDPRF51524"
"1",1700757168903,"23/11/2023 16:32:48",1700757168903,0,"23/11/2023 16:32:48",152734,7,"questionnaire-txxf",NA,33167200,9820629,NA,"rejected - time limit reached",NA,"655f7d434e594145ce7d6d24","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1280x832","1280x715",NA,NA,0,"Life Happiness",2,"In","CDBEAFLGKHJI",NA,"In",5,"49","MDPRF91873"
"1",1700757182008,"23/11/2023 16:33:02",1700757182008,0,"23/11/2023 16:33:02",152734,7,"questionnaire-txxf",NA,33167210,9820587,NA,"rejected - time limit reached",NA,"655f7c7d9d26f5c31efdd2ba","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 117.0.0.0","1440x900","1440x782",NA,NA,0,"Life Happiness",2,"In","LAKBJCIDHEGF",NA,"In",1,"44","MDPRF33623"
"1",1700757346449,"23/11/2023 16:35:46",1700757346449,0,"23/11/2023 16:35:46",152734,7,"questionnaire-txxf",NA,33167421,9820605,NA,"rejected - time limit reached",NA,"655f7c21ffed10f65ad158f8","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x603",NA,NA,0,"Life Happiness",2,"In","ABLCKDJEIFHG",NA,"In",3,"53","MDPRF14182"
"1",1700757355974,"23/11/2023 16:35:55",1700757355974,0,"23/11/2023 16:35:55",152734,7,"questionnaire-txxf",NA,33167434,9820625,NA,"rejected - time limit reached",NA,"655f7bfa11ced56ce4d7f577","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 117.0.0.0","1440x900","1440x698",NA,NA,0,"Life Happiness",2,"In","DECFBGAHLIKJ",NA,"In",2,"21","MDPRF52836"
"1",1700757372698,"23/11/2023 16:36:12",1700757372698,0,"23/11/2023 16:36:12",152734,7,"questionnaire-txxf",NA,33167462,9820649,NA,"rejected - time limit reached",NA,"655f7dddb006d3ba2d365e63","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1366x768","1363x609",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJLK",NA,"In",4,"24","MDPRF38237"
"1",1700757380218,"23/11/2023 16:36:20",1700757380218,0,"23/11/2023 16:36:20",152734,7,"questionnaire-txxf",NA,33167469,9820614,NA,"rejected - time limit reached",NA,"655f7cee341aac1418144400","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x800","1280x643",NA,NA,0,"Life Happiness",2,"In","BCADLEKFJGIH",NA,"In",6,"61","MDPRF71080"
"1",1700757394358,"23/11/2023 16:36:34",1700757394358,0,"23/11/2023 16:36:34",152734,7,"questionnaire-txxf",NA,33167485,9820679,NA,"rejected - time limit reached",NA,"655f7e9ad98c15d4e9c05ed5","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1536x738",NA,NA,0,"Life Happiness",2,"In","HIGJFKELDACB",NA,"In",2,"40","MDPRF73709"
"1",1700757434644,"23/11/2023 16:37:14",1700757434644,0,"23/11/2023 16:37:14",152734,7,"questionnaire-txxf",NA,33167542,9820571,NA,"rejected - time limit reached",NA,"655f7bf4cf8aa35058101177","computer","Desktop or Laptop","Windows 10","Edge 112.0.1722.48","1536x864","1479x746",NA,NA,0,"Life Happiness",2,"In","JKILHAGBFCED",NA,"In",6,"-100","MDPRF34905"
"1",1700757720212,"23/11/2023 16:42:00",1700757720212,0,"23/11/2023 16:42:00",152734,7,"questionnaire-txxf",NA,33167915,9820722,NA,"rejected - time limit reached",NA,"655f7f240082ccee9bc092b8","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x610",NA,NA,0,"Life Happiness",2,"In","JKILHAGBFCED",NA,"In",1,"58","MDPRF58963"
"1",1700757764547,"23/11/2023 16:42:44",1700757764547,0,"23/11/2023 16:42:44",152734,7,"questionnaire-txxf",NA,33167960,9820510,NA,"rejected - time limit reached",NA,"655f7a4f2a94cd085a122ad7","computer","Desktop or Laptop","Mac OS 10.15.7","Opera 102.0.0.0","1280x800","1226x685",NA,NA,0,"Life Happiness",2,"In","DECFBGAHLIKJ",NA,"In",3,"21","MDPRF16028"
"1",1700757944903,"23/11/2023 16:45:44",1700757944903,0,"23/11/2023 16:45:44",152734,7,"questionnaire-txxf",NA,33168128,9820752,NA,"rejected - time limit reached",NA,"655f7f63b006d3ba2d365e96","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1474x829","1466x674",NA,NA,0,"Life Happiness",2,"In","KLJAIBHCGDFE",NA,"In",6,"-69","MDPRF63935"
"1",1700758333575,"23/11/2023 16:52:13",1700758333575,0,"23/11/2023 16:52:13",152734,7,"questionnaire-txxf",NA,33168438,9820685,NA,"rejected - time limit reached",NA,"655f7ea4535ac2cc599ed824","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1536x707",NA,NA,0,"Life Happiness",2,"In","LAKBJCIDHEGF",NA,"In",4,"-100","MDPRF34589"
"1",1700758533224,"23/11/2023 16:55:33",1700758533224,0,"23/11/2023 16:55:33",152734,7,"questionnaire-txxf",NA,33168598,9820866,NA,"rejected - time limit reached",NA,"655f7dcba2d9e17d377c212a","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1366x768","1165x587",NA,NA,0,"Life Happiness",2,"In","ABLCKDJEIFHG",NA,"In",5,"62","MDPRF62013"
"1",1700758580080,"23/11/2023 16:56:20",1700758580080,0,"23/11/2023 16:56:20",152734,7,"questionnaire-txxf",NA,33168631,9820908,NA,"rejected - time limit reached",NA,"655f81d30fbda4736850d2c1","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x931",NA,NA,0,"Life Happiness",2,"In","BCADLEKFJGIH",NA,"In",3,"-19","MDPRF18006"
"1",1700758796452,"23/11/2023 16:59:56",1700758796452,0,"23/11/2023 16:59:56",152734,7,"questionnaire-txxf",NA,33168777,9820915,NA,"rejected - time limit reached",NA,"655f821c784084737cfa47f6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1920x1200","1821x983",NA,NA,0,"Life Happiness",2,"In","CDBEAFLGKHJI",NA,"In",2,"84","MDPRF71871"
"1",1700759330386,"23/11/2023 17:08:50",1700759330386,0,"23/11/2023 17:08:50",152734,7,"questionnaire-txxf",NA,33169110,9820756,NA,"rejected - time limit reached",NA,"655f7f89b910b6df06f3c02c","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1920x1080","1912x924",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJLK",NA,"In",4,"71","MDPRF30579"
"1",1700759485307,"23/11/2023 17:11:25",1700759485307,0,"23/11/2023 17:11:25",152734,7,"questionnaire-txxf",NA,33169186,9820987,NA,"rejected - time limit reached",NA,"655f83664c219c2e7e656e36","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x815",NA,NA,0,"Life Happiness",2,"In","DECFBGAHLIKJ",NA,"In",1,"-61","MDPRF77780"
"1",1700764147110,"23/11/2023 18:29:07",1700764147110,0,"23/11/2023 18:29:07",152734,7,"questionnaire-txxf",NA,33171468,9821731,NA,"rejected - time limit reached",NA,"655f996826dab97e2e5df13e","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1536x739",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKAL",NA,"In",5,"-1","MDPRF60784"
"1",1700767498125,"23/11/2023 19:24:58",1700749498125,-5,"23/11/2023 09:24:58",152734,7,"questionnaire-txxf",NA,33172848,9822108,NA,"rejected - time limit reached",NA,"655fa4a184706961654d5d6a","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1475x830","1341x612",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCLBA",NA,"In",3,"32","MDPRF81357"
