"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.rr6o","Multiple.Choice.Grid.object.3.I.had.no.motivation.to.get.started.on.things","Multiple.Choice.Grid.object.3.I.had.no.motivation.to.get.started.on.things..Quantised","Multiple.Choice.Grid.object.3.Nothing.made.me.feel.excited","Multiple.Choice.Grid.object.3.Nothing.made.me.feel.excited.Quantised","Multiple.Choice.Grid.object.3.I.should.have.been.enjoying.things..but.I.couldn.t","Multiple.Choice.Grid.object.3.I.should.have.been.enjoying.things..but.I.couldn.t.Quantised","Multiple.Choice.Grid.object.3.I.felt.detached.from.other.people","Multiple.Choice.Grid.object.3.I.felt.detached.from.other.people..Quantised","Multiple.Choice.Grid.object.3.I.did.not.look.forward.to.anything","Multiple.Choice.Grid.object.3.I.did.not.look.forward.to.anything..Quantised","Multiple.Choice.Grid.object.3.Nothing.felt.fun.or.enjoyable","Multiple.Choice.Grid.object.3.Nothing.felt.fun.or.enjoyable.Quantised","Multiple.Choice.Grid.object.3.I.couldn.t.see.myself.enjoying.things.in.the.future","Multiple.Choice.Grid.object.3.I.couldn.t.see.myself.enjoying.things.in.the.future.Quantised","Multiple.Choice.Grid.object.3.I.felt.enthusiastic","Multiple.Choice.Grid.object.3.I.felt.enthusiastic..Quantised","Multiple.Choice.Grid.object.3.I.did.not.want.to.do.anything","Multiple.Choice.Grid.object.3.I.did.not.want.to.do.anything..Quantised","Multiple.Choice.Grid.object.3.I.pretended.things.excited.me..but.actually.I.found.them.boring","Multiple.Choice.Grid.object.3.I.pretended.things.excited.me..but.actually.I.found.them.boring.Quantised","Multiple.Choice.Grid.object.3.I.felt.connected.to.the.world.around.me","Multiple.Choice.Grid.object.3.I.felt.connected.to.the.world.around.me.Quantised","Multiple.Choice.Grid.object.3.I.did.not.feel.any.emotion","Multiple.Choice.Grid.object.3.I.did.not.feel.any.emotion..Quantised","Multiple.Choice.Grid.object.3.Everything.felt.like.a.lot.of.effort.to.do","Multiple.Choice.Grid.object.3.Everything.felt.like.a.lot.of.effort.to.do.Quantised","Multiple.Choice.Grid.object.3.I.felt.like.my.life.had.meaning.and.purpose","Multiple.Choice.Grid.object.3.I.felt.like.my.life.had.meaning.and.purpose.Quantised","Random_ID"
"1",1700754862089,"23/11/2023 15:54:22",1700754862089,0,"23/11/2023 15:54:22",152734,7,"questionnaire-nsch",NA,33166057,9820294,NA,"rejected - time limit reached",NA,"655f7538c10c0e2709fa6d00","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1200","842x1082",NA,NA,0,"ASA (Clone)",1,"In","ABLCKDJEIFHG",NA,"In",3,"Often","3","Sometimes","2","Never","1","Sometimes","2","Never","1","Never","1","Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","Never","1","Never","1","Often","3","MDPRF11898"
"1",1700755682828,"23/11/2023 16:08:02",1700755682828,0,"23/11/2023 16:08:02",152734,7,"questionnaire-nsch",NA,33166407,9820339,NA,"rejected - time limit reached",NA,"655f75bfa480aa0149f7bb90","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.69","1280x720","1232x594",NA,NA,0,"ASA (Clone)",1,"In","BCADLEKFJGIH",NA,"In",4,"Sometimes","2","Never","1","Sometimes","2","Sometimes","2","Never","1","Never","1","Often","3","Sometimes","2","Never","1","Sometimes","2","Sometimes","2","Never","1","Never","1","Often","3","MDPRF16716"
"1",1700756356516,"23/11/2023 16:19:16",1700756356516,0,"23/11/2023 16:19:16",152734,7,"questionnaire-nsch",NA,33166695,9820453,NA,"rejected - time limit reached",NA,"655f78fa490309aa27ba14b4","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x593",NA,NA,0,"ASA (Clone)",1,"In","CDBEAFLGKHJI",NA,"In",1,"Often","3","Sometimes","2","Often","3","Often","3","Always","4","Often","3","Often","3","Sometimes","2","Often","3","Often","3","Sometimes","2","Never","1","Often","3","Sometimes","2","MDPRF19699"
"1",1700756581259,"23/11/2023 16:23:01",1700756581259,0,"23/11/2023 16:23:01",152734,7,"questionnaire-nsch",NA,33166809,9820575,NA,"rejected - time limit reached",NA,"655f7c166e5a84d3091d233c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1675x820",NA,NA,0,"ASA (Clone)",1,"In","KLJAIBHCGDFE",NA,"In",2,"Sometimes","2","Never","1","Sometimes","2","Sometimes","2","Never","1","Never","1","Never","1","Often","3","Sometimes","2","Sometimes","2","Sometimes","2","Never","1","Sometimes","2","Always","4","MDPRF47708"
"1",1700756713137,"23/11/2023 16:25:13",1700735113137,-6,"23/11/2023 04:25:13",152734,7,"questionnaire-nsch",NA,33166907,9820562,NA,"rejected - time limit reached",NA,"655f7bc4df8a36494422cf56","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x713",NA,NA,0,"ASA (Clone)",1,"In","IJHKGLFAEBDC",NA,"In",6,"Sometimes","2","Often","3","Often","3","Always","4","Often","3","Often","3","Sometimes","2","Often","3","Sometimes","2","Often","3","Sometimes","2","Often","3","Often","3","Always","4","MDPRF64809"
"1",1700756730137,"23/11/2023 16:25:30",1700756730137,0,"23/11/2023 16:25:30",152734,7,"questionnaire-nsch",NA,33166925,9820587,NA,"rejected - time limit reached",NA,"655f7c7d9d26f5c31efdd2ba","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 117.0.0.0","1440x900","1440x782",NA,NA,0,"ASA (Clone)",1,"In","LAKBJCIDHEGF",NA,"In",1,"Sometimes","2","Sometimes","2","Often","3","Often","3","Often","3","Sometimes","2","Always","4","Sometimes","2","Sometimes","2","Never","1","Never","1","Never","1","Often","3","Sometimes","2","MDPRF33623"
"1",1700756759226,"23/11/2023 16:25:59",1700756759226,0,"23/11/2023 16:25:59",152734,7,"questionnaire-nsch",NA,33166949,9820571,NA,"rejected - time limit reached",NA,"655f7bf4cf8aa35058101177","computer","Desktop or Laptop","Windows 10","Edge 112.0.1722.48","1536x864","1479x746",NA,NA,0,"ASA (Clone)",1,"In","JKILHAGBFCED",NA,"In",6,"Often","3","Often","3","Often","3","Always","4","Always","4","Always","4","Always","4","Never","1","Often","3","Sometimes","2","Never","1","Sometimes","2","Always","4","Never","1","MDPRF34905"
"1",1700756852214,"23/11/2023 16:27:32",1700756852214,0,"23/11/2023 16:27:32",152734,7,"questionnaire-nsch",NA,33166995,9820605,NA,"rejected - time limit reached",NA,"655f7c21ffed10f65ad158f8","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x603",NA,NA,0,"ASA (Clone)",1,"In","ABLCKDJEIFHG",NA,"In",3,"Sometimes","2","Never","1","Never","1","Never","1","Never","1","Never","1","Sometimes","2","Often","3","Sometimes","2","Never","1","Often","3","Never","1","Often","3","Sometimes","2","MDPRF14182"
"1",1700756891614,"23/11/2023 16:28:11",1700756891614,0,"23/11/2023 16:28:11",152734,7,"questionnaire-nsch",NA,33167019,9820513,NA,"rejected - time limit reached",NA,"655f7a7011ced56ce4d7f520","computer","Desktop or Laptop","Windows 10","Firefox 119.0","1920x1080","1920x955",NA,NA,0,"ASA (Clone)",1,"In","HIGJFKELDACB",NA,"In",4,"Sometimes","2","Often","3","Always","4","Sometimes","2","Sometimes","2","Never","1","Often","3","Often","3","Always","4","Always","4","Sometimes","2","Often","3","Sometimes","2","Never","1","MDPRF93300"
"1",1700756950989,"23/11/2023 16:29:10",1700756950989,0,"23/11/2023 16:29:10",152734,7,"questionnaire-nsch",NA,33167046,9820558,NA,"rejected - time limit reached",NA,"655f7baa175f84ab15d9de27","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1536x864","1528x750",NA,NA,0,"ASA (Clone)",1,"In","GHFIEJDKCLBA",NA,"In",6,"Often","3","Often","3","Sometimes","2","Often","3","Often","3","Sometimes","2","Never","1","Sometimes","2","Often","3","Sometimes","2","Often","3","Never","1","Always","4","Sometimes","2","MDPRF13926"
"1",1700756996881,"23/11/2023 16:29:56",1700756996881,0,"23/11/2023 16:29:56",152734,7,"questionnaire-nsch",NA,33167069,9820530,NA,"rejected - time limit reached",NA,"655f7accd0f835342f1bfbaf","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x955",NA,NA,0,"ASA (Clone)",1,"In","EFDGCHBIAJLK",NA,"In",2,"Sometimes","2","Never","1","Never","1","Never","1","Never","1","Never","1","Never","1","Sometimes","2","Sometimes","2","Never","1","Always","4","Never","1","Sometimes","2","Never","1","MDPRF51004"
"1",1700757100633,"23/11/2023 16:31:40",1700757100633,0,"23/11/2023 16:31:40",152734,7,"questionnaire-nsch",NA,33167141,9820614,NA,"rejected - time limit reached",NA,"655f7cee341aac1418144400","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x800","1280x643",NA,NA,0,"ASA (Clone)",1,"In","BCADLEKFJGIH",NA,"In",6,"Never","1","Never","1","Never","1","Sometimes","2","Never","1","Never","1","Never","1","Often","3","Sometimes","2","Never","1","Often","3","Never","1","Sometimes","2","Often","3","MDPRF71080"
"1",1700757110154,"23/11/2023 16:31:50",1700757110154,0,"23/11/2023 16:31:50",152734,7,"questionnaire-nsch",NA,33167150,9820544,NA,"rejected - time limit reached",NA,"655f7b5c9d2a85b02c5642bf","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"ASA (Clone)",1,"In","FGEHDICJBKAL",NA,"In",5,"Sometimes","2","Never","1","Never","1","Never","1","Never","1","Never","1","Never","1","Sometimes","2","Never","1","Never","1","Sometimes","2","Never","1","Never","1","Often","3","MDPRF45887"
"1",1700757132664,"23/11/2023 16:32:12",1700757132664,0,"23/11/2023 16:32:12",152734,7,"questionnaire-nsch",NA,33167167,9820629,NA,"rejected - time limit reached",NA,"655f7d434e594145ce7d6d24","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1280x832","1280x715",NA,NA,0,"ASA (Clone)",1,"In","CDBEAFLGKHJI",NA,"In",5,"Sometimes","2","Sometimes","2","Never","1","Never","1","Never","1","Never","1","Never","1","Never","1","Never","1","Never","1","Never","1","Never","1","Never","1","Never","1","MDPRF91873"
"1",1700757417915,"23/11/2023 16:36:57",1700757417915,0,"23/11/2023 16:36:57",152734,7,"questionnaire-nsch",NA,33167517,9820685,NA,"rejected - time limit reached",NA,"655f7ea4535ac2cc599ed824","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1536x707",NA,NA,0,"ASA (Clone)",1,"In","LAKBJCIDHEGF",NA,"In",4,"Often","3","Often","3","Often","3","Always","4","Sometimes","2","Often","3","Always","4","Sometimes","2","Never","1","Often","3","Sometimes","2","Never","1","Always","4","Sometimes","2","MDPRF34589"
"1",1700757438334,"23/11/2023 16:37:18",1700757438334,0,"23/11/2023 16:37:18",152734,7,"questionnaire-nsch",NA,33167548,9820752,NA,"rejected - time limit reached",NA,"655f7f63b006d3ba2d365e96","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1474x829","1466x674",NA,NA,0,"ASA (Clone)",1,"In","KLJAIBHCGDFE",NA,"In",6,"Always","4","Often","3","Often","3","Always","4","Often","3","Often","3","Always","4","Never","1","Often","3","Always","4","Never","1","Never","1","Always","4","Never","1","MDPRF63935"
"1",1700757446773,"23/11/2023 16:37:26",1700757446773,0,"23/11/2023 16:37:26",152734,7,"questionnaire-nsch",NA,33167559,9820722,NA,"rejected - time limit reached",NA,"655f7f240082ccee9bc092b8","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x610",NA,NA,0,"ASA (Clone)",1,"In","JKILHAGBFCED",NA,"In",1,"Sometimes","2","Sometimes","2","Never","1","Never","1","Never","1","Never","1","Sometimes","2","Often","3","Sometimes","2","Never","1","Always","4","Never","1","Never","1","Always","4","MDPRF58963"
"1",1700757486032,"23/11/2023 16:38:06",1700757486032,0,"23/11/2023 16:38:06",152734,7,"questionnaire-nsch",NA,33167613,9820625,NA,"rejected - time limit reached",NA,"655f7bfa11ced56ce4d7f577","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 117.0.0.0","1440x900","1440x698",NA,NA,0,"ASA (Clone)",1,"In","DECFBGAHLIKJ",NA,"In",2,"Sometimes","2","Sometimes","2","Sometimes","2","Never","1","Never","1","Never","1","Never","1","Often","3","Sometimes","2","Sometimes","2","Often","3","Never","1","Sometimes","2","Often","3","MDPRF52836"
