"","Status","Custom.study.tncs.accepted.at","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Random_ID"
"1","APPROVED","Not Applicable","2024-02-14T17:06:30.690000Z","2024-02-14T18:12:49.538000Z","2024-02-15T10:19:52.945000Z","2024-02-14T18:12:50.044360Z",3979,"C1FKYHSS",183,"English","21","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Unemployed (and job seeking)","MDPRF09500"
"2","APPROVED","Not Applicable","2024-02-14T17:08:56.041000Z","2024-02-14T18:03:35.034000Z","2024-02-15T10:17:22.477000Z","2024-02-14T18:03:35.682514Z",3279,"C1FKYHSS",1101,"English","26","Male","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","Full-Time","MDPRF01065"
"3","APPROVED","Not Applicable","2024-02-14T17:08:30.595000Z","2024-02-14T17:55:10.767000Z","2024-02-15T10:19:53.358000Z","2024-02-14T17:55:11.403848Z",2801,"C1FKYHSS",332,"English","21","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","MDPRF23119"
"4","APPROVED","Not Applicable","2024-02-14T17:10:44.105000Z","2024-02-14T17:51:36.383000Z","2024-02-15T10:17:22.817000Z","2024-02-14T17:51:36.962169Z",2453,"C1FKYHSS",16,"English, French","24","Male","White","France","United Kingdom","France","French","Yes","Unemployed (and job seeking)","MDPRF64836"
"5","APPROVED","Not Applicable","2024-02-14T17:11:16.486000Z","2024-02-14T18:33:00.907000Z","2024-02-15T10:17:23.018000Z","2024-02-14T18:33:01.476956Z",4905,"C1FKYHSS",1144,"English","24","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","MDPRF02797"
"6","APPROVED","Not Applicable","2024-02-14T17:12:40.205000Z","2024-02-14T18:09:17.721000Z","2024-02-15T10:17:23.215000Z","2024-02-14T18:09:18.415032Z",3398,"C1FKYHSS",128,"English, Polish","21","Male","White","Poland","United Kingdom","Poland","Polish","Yes","Not in paid work (e.g. homemaker', 'retired or disabled)","MDPRF54374"
"7","APPROVED","Not Applicable","2024-02-14T17:12:47.683000Z","2024-02-14T17:48:52.265000Z","2024-02-15T10:19:53.573000Z","2024-02-14T17:48:52.830472Z",2165,"C1FKYHSS",127,"English","25","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","MDPRF10666"
"8","APPROVED","Not Applicable","2024-02-14T17:14:56.051000Z","2024-02-14T17:51:53.207000Z","2024-02-15T10:10:56.325000Z","2024-02-14T17:51:53.745333Z",2218,"C1FKYHSS",370,"English, Urdu","25","Male","Asian","United Arab Emirates","United Kingdom","Canada","Urdu","Yes","Not in paid work (e.g. homemaker', 'retired or disabled)","MDPRF41746"
"9","APPROVED","Not Applicable","2024-02-14T17:15:21.088000Z","2024-02-14T17:56:42.253000Z","2024-02-15T10:19:53.779000Z","2024-02-14T17:56:43.129250Z",2482,"C1FKYHSS",9,"English, Hindi, Pashto, Urdu","18","Male","Asian","Pakistan","United Kingdom","Pakistan","English","Yes","Other","MDPRF56705"
"10","APPROVED","Not Applicable","2024-02-14T17:15:44.778000Z","2024-02-14T17:50:37.088000Z","2024-02-15T10:08:14.199000Z","2024-02-14T17:50:37.996848Z",2093,"C1FKYHSS",208,"English","25","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Other","MDPRF62405"
