"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.vjic","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
"1",1707930101413,"14/02/2024 17:01:41",1707930101413,0,"14/02/2024 17:01:41",163173,5,"questionnaire-qxhw",NA,35148754,10387172,NA,"complete",NA,"65ccedc52a3ceca2b3cf12bd","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Attention Check 2",2,"In","ABLCKDJEIFHG",NA,"In",3,"1-0","1","MDPRF13138"
"1",1707929980177,"14/02/2024 16:59:40",1707929980177,0,"14/02/2024 16:59:40",163173,5,"questionnaire-qxhw",NA,35148579,10387256,NA,"complete",NA,"65ccef2df33e7edc2ba99fc6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"Attention Check 2",2,"In","BCADLEKFJGIH",NA,"In",2,"1-0","1","MDPRF63569"
"1",1707930789269,"14/02/2024 17:13:09",1707930789269,0,"14/02/2024 17:13:09",163173,5,"questionnaire-qxhw",NA,35149667,10387416,NA,"complete",NA,"65ccf21a22345f20629be59e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1470x956","1470x765",NA,NA,0,"Attention Check 2",2,"In","FGEHDICJBKAL",NA,"In",4,"1-0","1","MDPRF99152"
"1",1707930817714,"14/02/2024 17:13:37",1707930817714,0,"14/02/2024 17:13:37",163173,5,"questionnaire-qxhw",NA,35149707,10387373,NA,"complete",NA,"65ccf14d7ceb9cd7d4dfa1ae","computer","Desktop or Laptop","Chromium OS 14816.131.0","Chrome 103.0.0.0","1536x864","1536x714",NA,NA,0,"Attention Check 2",2,"In","EFDGCHBIAJLK",NA,"In",1,"1-0","1","MDPRF79833"
"1",1707930901797,"14/02/2024 17:15:01",1707930901797,0,"14/02/2024 17:15:01",163173,5,"questionnaire-qxhw",NA,35149794,10387326,NA,"complete",NA,"65ccf0a22a3ceca2b3cf1375","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x703",NA,NA,0,"Attention Check 2",2,"In","CDBEAFLGKHJI",NA,"In",4,"1-0","1","MDPRF73191"
"1",1707931055997,"14/02/2024 17:17:35",1707931055997,0,"14/02/2024 17:17:35",163173,5,"questionnaire-qxhw",NA,35149993,10387405,NA,"complete",NA,"65ccf1d0bc4382242747e329","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x641",NA,NA,0,"Attention Check 2",2,"In","GHFIEJDKCLBA",NA,"In",1,"1-0","1","MDPRF47263"
"1",1707931075922,"14/02/2024 17:17:55",1707931075922,0,"14/02/2024 17:17:55",163173,5,"questionnaire-qxhw",NA,35150019,10387342,NA,"complete",NA,"65ccf0d7a3af9ad5691c1ee2","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"Attention Check 2",2,"In","DECFBGAHLIKJ",NA,"In",2,"1-0","1","MDPRF12765"
"1",1707931306232,"14/02/2024 17:21:46",1707931306232,0,"14/02/2024 17:21:46",163173,5,"questionnaire-qxhw",NA,35150294,10387466,NA,"complete",NA,"65ccf2f9b0efb42d0625139b","computer","Desktop or Laptop","Windows 10","Opera 106.0.0.0","1920x1080","1879x970",NA,NA,0,"Attention Check 2",2,"In","HIGJFKELDACB",NA,"In",3,"1-0","1","MDPRF09500"
"1",1707931328399,"14/02/2024 17:22:08",1707931328399,0,"14/02/2024 17:22:08",163173,5,"questionnaire-qxhw",NA,35150325,10387477,NA,"complete",NA,"65ccf353b2a96acb3c9be840","computer","Desktop or Laptop","Windows 10","Edge 121.0.0.0","1280x720","1272x598",NA,NA,0,"Attention Check 2",2,"In","IJHKGLFAEBDC",NA,"In",3,"1-0","1","MDPRF36184"
"1",1707931386293,"14/02/2024 17:23:06",1707931386293,0,"14/02/2024 17:23:06",163173,5,"questionnaire-qxhw",NA,35150412,10387501,NA,"complete",NA,"65ccf3b1079131ffd5cbe632","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x815",NA,NA,0,"Attention Check 2",2,"In","KLJAIBHCGDFE",NA,"In",1,"1-0","1","MDPRF88213"
"1",1707931399792,"14/02/2024 17:23:19",1707913399792,-5,"14/02/2024 07:23:19",163173,5,"questionnaire-qxhw",NA,35150425,10387506,NA,"complete",NA,"65ccf3d9e62215312acf18ac","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1422x790",NA,NA,0,"Attention Check 2",2,"In","ABLCKDJEIFHG",NA,"In",4,"1-0","1","MDPRF13097"
"1",1707931478866,"14/02/2024 17:24:38",1707931478866,0,"14/02/2024 17:24:38",163173,5,"questionnaire-qxhw",NA,35150531,10387499,NA,"complete",NA,"65ccf3430ed0fd86d10054a7","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","956x943",NA,NA,0,"Attention Check 2",2,"In","JKILHAGBFCED",NA,"In",1,"1-0","1","MDPRF01065"
"1",1707931614507,"14/02/2024 17:26:54",1707931614507,0,"14/02/2024 17:26:54",163173,5,"questionnaire-qxhw",NA,35150707,10387524,NA,"complete",NA,"65ccf40ac163c204f747e289","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Attention Check 2",2,"In","BCADLEKFJGIH",NA,"In",2,"1-0","1","MDPRF64836"
"1",1707931620028,"14/02/2024 17:27:00",1707931620028,0,"14/02/2024 17:27:00",163173,5,"questionnaire-qxhw",NA,35150719,10387491,NA,"complete",NA,"65ccf38b7c8fa41cb1d4ae4d","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x585",NA,NA,0,"Attention Check 2",2,"In","LAKBJCIDHEGF",NA,"In",4,"1-0","1","MDPRF23119"
"1",1707932320881,"14/02/2024 17:38:40",1707932320881,0,"14/02/2024 17:38:40",163173,5,"questionnaire-qxhw",NA,35151639,10387555,NA,"complete",NA,"65ccf482e1bae130ba2a80c2","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x800","1280x673",NA,NA,0,"Attention Check 2",2,"In","EFDGCHBIAJLK",NA,"In",4,"1-0","1","MDPRF54374"
"1",1707932887086,"14/02/2024 17:48:07",1707932887086,0,"14/02/2024 17:48:07",163173,5,"questionnaire-qxhw",NA,35152189,10387526,NA,"complete",NA,"65ccf4349dae843a0d0f9880","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1920x1080","1703x844",NA,NA,0,"Attention Check 2",2,"In","DECFBGAHLIKJ",NA,"In",2,"1-0","1","MDPRF02797"
"1",1707931392550,"14/02/2024 17:23:12",1707931392550,0,"14/02/2024 17:23:12",163173,5,"questionnaire-qxhw",NA,35150421,10387626,NA,"complete",NA,"65ccf540792c7d5ae6024ccb","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","2048x926",NA,NA,0,"Attention Check 2",2,"In","HIGJFKELDACB",NA,"In",2,"1-0","1","MDPRF62405"
