"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.vjic","Slider_LH.object.2.Value","Random_ID"
"1",1707930076448,"14/02/2024 17:01:16",1707930076448,0,"14/02/2024 17:01:16",163173,5,"questionnaire-txxf",NA,35148715,10387172,NA,"complete",NA,"65ccedc52a3ceca2b3cf12bd","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Life Happiness",2,"In","ABLCKDJEIFHG",NA,"In",3,"-64","MDPRF13138"
"1",1707929861666,"14/02/2024 16:57:41",1707929861666,0,"14/02/2024 16:57:41",163173,5,"questionnaire-txxf",NA,35148405,10387256,NA,"complete",NA,"65ccef2df33e7edc2ba99fc6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"Life Happiness",2,"In","BCADLEKFJGIH",NA,"In",2,"-18","MDPRF63569"
"1",1707930215617,"14/02/2024 17:03:35",1707930215617,0,"14/02/2024 17:03:35",163173,5,"questionnaire-txxf",NA,35148934,10387405,NA,"complete",NA,"65ccf1d0bc4382242747e329","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x641",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCLBA",NA,"In",1,"13","MDPRF47263"
"1",1707930256353,"14/02/2024 17:04:16",1707930256353,0,"14/02/2024 17:04:16",163173,5,"questionnaire-txxf",NA,35148983,10387416,NA,"complete",NA,"65ccf21a22345f20629be59e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1470x956","1470x765",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKAL",NA,"In",4,"-42","MDPRF99152"
"1",1707930378597,"14/02/2024 17:06:18",1707930378597,0,"14/02/2024 17:06:18",163173,5,"questionnaire-txxf",NA,35149153,10387373,NA,"complete",NA,"65ccf14d7ceb9cd7d4dfa1ae","computer","Desktop or Laptop","Chromium OS 14816.131.0","Chrome 103.0.0.0","1536x864","1536x714",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJLK",NA,"In",1,"-56","MDPRF79833"
"1",1707930552967,"14/02/2024 17:09:12",1707930552967,0,"14/02/2024 17:09:12",163173,5,"questionnaire-txxf",NA,35149370,10387466,NA,"complete",NA,"65ccf2f9b0efb42d0625139b","computer","Desktop or Laptop","Windows 10","Opera 106.0.0.0","1920x1080","1879x970",NA,NA,0,"Life Happiness",2,"In","HIGJFKELDACB",NA,"In",3,"-100","MDPRF09500"
"1",1707930576291,"14/02/2024 17:09:36",1707930576291,0,"14/02/2024 17:09:36",163173,5,"questionnaire-txxf",NA,35149394,10387326,NA,"complete",NA,"65ccf0a22a3ceca2b3cf1375","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x703",NA,NA,0,"Life Happiness",2,"In","CDBEAFLGKHJI",NA,"In",4,"3","MDPRF73191"
"1",1707930612800,"14/02/2024 17:10:12",1707930612800,0,"14/02/2024 17:10:12",163173,5,"questionnaire-txxf",NA,35149435,10387342,NA,"complete",NA,"65ccf0d7a3af9ad5691c1ee2","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"Life Happiness",2,"In","DECFBGAHLIKJ",NA,"In",2,"-65","MDPRF12765"
"1",1707930725753,"14/02/2024 17:12:05",1707930725753,0,"14/02/2024 17:12:05",163173,5,"questionnaire-txxf",NA,35149579,10387477,NA,"complete",NA,"65ccf353b2a96acb3c9be840","computer","Desktop or Laptop","Windows 10","Edge 121.0.0.0","1280x720","1272x598",NA,NA,0,"Life Happiness",2,"In","IJHKGLFAEBDC",NA,"In",3,"-37","MDPRF36184"
"1",1707930904602,"14/02/2024 17:15:04",1707930904602,0,"14/02/2024 17:15:04",163173,5,"questionnaire-txxf",NA,35149805,10387564,NA,"complete",NA,"65ccf48b8a8e9c826f9c5ecf","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x929",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKAL",NA,"In",4,"-60","MDPRF10666"
