"","Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.vjic","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Emo","Spreadsheet..LHS_Lab","Spreadsheet..RHS_Lab","Spreadsheet..rand","Spreadsheet..NoWin","Spreadsheet..Win","Spreadsheet..randF","Manipulation..Spreadsheet","Store..MoneyLow","Store..MoneyHigh","Store..MoneyReward","Store..Loss","Store..MoneyMed","Random_ID"
"1",1,1707929986961,"14/02/2024 16:59:46",1707929986961,0,"14/02/2024 16:59:46",163173,5,"task-e8t8",NA,35148592,10387256,NA,"complete",NA,"65ccef2df33e7edc2ba99fc6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","BCADLEKFJGIH",NA,"In",2,"SpreadsheetM_2B","SpreadsheetM_2B",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF63569"
"2",2,1707929991679,"14/02/2024 16:59:51",1707929991679,0,"14/02/2024 16:59:51",163173,5,"task-e8t8",NA,35148592,10387256,NA,"complete",NA,"65ccef2df33e7edc2ba99fc6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","BCADLEKFJGIH",NA,"In",2,"SpreadsheetM_2B","SpreadsheetM_2B",1,"Instructions","Screen 1","ddykq7",1,"continue","",4732.10000000019,4728.2,4732.10000000019,4732.10000000019,4728.2,4732.10000000019,1,4732.10000000019,0,0,NA,"Click To Continue","Continue Button",2,"object-18","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF63569"
"3",3,1707929994202,"14/02/2024 16:59:54",1707929994202,0,"14/02/2024 16:59:54",163173,5,"task-e8t8",NA,35148592,10387256,NA,"complete",NA,"65ccef2df33e7edc2ba99fc6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","BCADLEKFJGIH",NA,"In",2,"SpreadsheetM_2B","SpreadsheetM_2B",1,"Instructions","Screen 2","dcmmer",2,"continue","",2526.80000000009,2523.6,2526.80000000009,2526.80000000009,2523.6,2526.80000000009,1,2526.80000000009,0,0,NA,"Click To Continue","Continue Button",2,"object-55","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF63569"
"4",4,1707929995625,"14/02/2024 16:59:55",1707929995625,0,"14/02/2024 16:59:55",163173,5,"task-e8t8",NA,35148592,10387256,NA,"complete",NA,"65ccef2df33e7edc2ba99fc6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","BCADLEKFJGIH",NA,"In",2,"SpreadsheetM_2B","SpreadsheetM_2B",1,"Instructions","Screen 3","ntxvt6",3,"continue","",1426.80000000019,1421.3,1426.80000000019,1426.80000000019,1421.3,1426.80000000019,1,1426.80000000019,0,0,NA,"Click To Continue","Continue Button",2,"object-59","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF63569"
"5",5,1707929999237,"14/02/2024 16:59:59",1707929999237,0,"14/02/2024 16:59:59",163173,5,"task-e8t8",NA,35148592,10387256,NA,"complete",NA,"65ccef2df33e7edc2ba99fc6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","BCADLEKFJGIH",NA,"In",2,"SpreadsheetM_2B","SpreadsheetM_2B",1,"Rating","Screen 1","poh9ia",1,"continue","",3616.70000000014,3609,3616.70000000014,3616.70000000014,3609,3616.70000000014,1,3616.70000000014,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","happy","unhappy","happy",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF63569"
"6",6,1707929999242,"14/02/2024 16:59:59",1707929999242,0,"14/02/2024 16:59:59",163173,5,"task-e8t8",NA,35148592,10387256,NA,"complete",NA,"65ccef2df33e7edc2ba99fc6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","BCADLEKFJGIH",NA,"In",2,"SpreadsheetM_2B","SpreadsheetM_2B",1,"Rating","Screen 1","poh9ia",1,"response","43",2506.7,3609,3621.90000000009,2506.7,3609,3621.90000000009,1,2506.7,1115.20000000009,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF63569"
"7",7,1707930003000,"14/02/2024 17:00:03",1707930003000,0,"14/02/2024 17:00:03",163173,5,"task-e8t8",NA,35148592,10387256,NA,"complete",NA,"65ccef2df33e7edc2ba99fc6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","BCADLEKFJGIH",NA,"In",2,"SpreadsheetM_2B","SpreadsheetM_2B",2,"Rating","Screen 1","poh9ia",1,"continue","",3770.8,3760.6,3770.8,3770.8,3760.6,3770.8,1,3770.8,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","bored","not bored","bored",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF63569"
"8",8,1707930003000,"14/02/2024 17:00:03",1707930003000,0,"14/02/2024 17:00:03",163173,5,"task-e8t8",NA,35148592,10387256,NA,"complete",NA,"65ccef2df33e7edc2ba99fc6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","BCADLEKFJGIH",NA,"In",2,"SpreadsheetM_2B","SpreadsheetM_2B",2,"Rating","Screen 1","poh9ia",1,"response","81",2557.4,3760.6,3771.20000000014,2557.4,3760.6,3771.20000000014,1,2557.4,1213.80000000014,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF63569"
"9",9,1707930006962,"14/02/2024 17:00:06",1707930006962,0,"14/02/2024 17:00:06",163173,5,"task-e8t8",NA,35148592,10387256,NA,"complete",NA,"65ccef2df33e7edc2ba99fc6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","BCADLEKFJGIH",NA,"In",2,"SpreadsheetM_2B","SpreadsheetM_2B",3,"Rating","Screen 1","poh9ia",1,"continue","",3972.90000000019,3960.6,3972.90000000019,3972.90000000019,3960.6,3972.90000000019,1,3972.90000000019,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","frustrated","not frustrated","frustrated",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF63569"
"10",10,1707930006963,"14/02/2024 17:00:06",1707930006963,0,"14/02/2024 17:00:06",163173,5,"task-e8t8",NA,35148592,10387256,NA,"complete",NA,"65ccef2df33e7edc2ba99fc6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","BCADLEKFJGIH",NA,"In",2,"SpreadsheetM_2B","SpreadsheetM_2B",3,"Rating","Screen 1","poh9ia",1,"response","0",2924.5,3960.6,3973.40000000019,2924.5,3960.6,3973.40000000019,1,2924.5,1048.90000000019,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF63569"
