"","Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.vjic","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Emo","Spreadsheet..LHS_Lab","Spreadsheet..RHS_Lab","Spreadsheet..rand","Spreadsheet..NoWin","Spreadsheet..Win","Spreadsheet..randF","Manipulation..Spreadsheet","Store..MoneyLow","Store..MoneyHigh","Store..MoneyReward","Store..Loss","Store..MoneyMed","Random_ID"
"1",1,1707930109426,"14/02/2024 17:01:49",1707930109426,0,"14/02/2024 17:01:49",163173,5,"task-ey14",NA,35148769,10387172,NA,"complete",NA,"65ccedc52a3ceca2b3cf12bd","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","ABLCKDJEIFHG",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF13138"
"2",2,1707930112832,"14/02/2024 17:01:52",1707930112832,0,"14/02/2024 17:01:52",163173,5,"task-ey14",NA,35148769,10387172,NA,"complete",NA,"65ccedc52a3ceca2b3cf12bd","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","ABLCKDJEIFHG",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",1,"Instructions","Screen 1","ddykq7",1,"continue","",3416.4,3408.2,3416.4,3416.4,3408.2,3416.4,1,3416.4,0,0,NA,"Click To Continue","Continue Button",2,"object-18","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF13138"
"3",3,1707930115841,"14/02/2024 17:01:55",1707930115841,0,"14/02/2024 17:01:55",163173,5,"task-ey14",NA,35148769,10387172,NA,"complete",NA,"65ccedc52a3ceca2b3cf12bd","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","ABLCKDJEIFHG",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",1,"Instructions","Screen 2","dcmmer",2,"continue","",3018.80000000005,3016.8,3018.80000000005,3018.80000000005,3016.8,3018.80000000005,1,3018.80000000005,0,0,NA,"Click To Continue","Continue Button",2,"object-55","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF13138"
"4",4,1707930119075,"14/02/2024 17:01:59",1707930119075,0,"14/02/2024 17:01:59",163173,5,"task-ey14",NA,35148769,10387172,NA,"complete",NA,"65ccedc52a3ceca2b3cf12bd","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","ABLCKDJEIFHG",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",1,"Instructions","Screen 3","ntxvt6",3,"continue","",3236.09999999991,3233.1,3236.09999999991,3236.09999999991,3233.1,3236.09999999991,1,3236.09999999991,0,0,NA,"Click To Continue","Continue Button",2,"object-59","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF13138"
"5",5,1707930121930,"14/02/2024 17:02:01",1707930121930,0,"14/02/2024 17:02:01",163173,5,"task-ey14",NA,35148769,10387172,NA,"complete",NA,"65ccedc52a3ceca2b3cf12bd","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","ABLCKDJEIFHG",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",1,"Rating","Screen 1","poh9ia",1,"continue","",2857.49999999991,2850,2857.49999999991,2857.49999999991,2850,2857.49999999991,1,2857.49999999991,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","happy","unhappy","happy",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF13138"
"6",6,1707930121932,"14/02/2024 17:02:01",1707930121932,0,"14/02/2024 17:02:01",163173,5,"task-ey14",NA,35148769,10387172,NA,"complete",NA,"65ccedc52a3ceca2b3cf12bd","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","ABLCKDJEIFHG",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",1,"Rating","Screen 1","poh9ia",1,"response","7",2100.1,2850,2858.4,2100.1,2850,2858.4,1,2100.1,758.299999999999,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF13138"
"7",7,1707930124485,"14/02/2024 17:02:04",1707930124485,0,"14/02/2024 17:02:04",163173,5,"task-ey14",NA,35148769,10387172,NA,"complete",NA,"65ccedc52a3ceca2b3cf12bd","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","ABLCKDJEIFHG",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",2,"Rating","Screen 1","poh9ia",1,"continue","",2562.90000000005,2558.3,2562.90000000005,2562.90000000005,2558.3,2562.90000000005,1,2562.90000000005,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","frustrated","not frustrated","frustrated",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF13138"
"8",8,1707930124485,"14/02/2024 17:02:04",1707930124485,0,"14/02/2024 17:02:04",163173,5,"task-ey14",NA,35148769,10387172,NA,"complete",NA,"65ccedc52a3ceca2b3cf12bd","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","ABLCKDJEIFHG",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",2,"Rating","Screen 1","poh9ia",1,"response","86",1999.9,2558.3,2563.1,1999.9,2558.3,2563.1,1,1999.9,563.200000000001,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF13138"
"9",9,1707930127071,"14/02/2024 17:02:07",1707930127071,0,"14/02/2024 17:02:07",163173,5,"task-ey14",NA,35148769,10387172,NA,"complete",NA,"65ccedc52a3ceca2b3cf12bd","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","ABLCKDJEIFHG",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",3,"Rating","Screen 1","poh9ia",1,"continue","",2591.19999999991,2583.1,2591.19999999991,2591.19999999991,2583.1,2591.19999999991,1,2591.19999999991,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","bored","not bored","bored",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF13138"
"10",10,1707930127072,"14/02/2024 17:02:07",1707930127072,0,"14/02/2024 17:02:07",163173,5,"task-ey14",NA,35148769,10387172,NA,"complete",NA,"65ccedc52a3ceca2b3cf12bd","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","ABLCKDJEIFHG",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",3,"Rating","Screen 1","poh9ia",1,"response","65",2066.8,2583.1,2591.39999999986,2066.8,2583.1,2591.39999999986,1,2066.8,524.59999999986,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF13138"
"11",11,1707930132071,"14/02/2024 17:02:12",1707930132071,0,"14/02/2024 17:02:12",163173,5,"task-ey14",NA,35148769,10387172,NA,"complete",NA,"65ccedc52a3ceca2b3cf12bd","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","ABLCKDJEIFHG",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",1,"FortuneH","Screen 1","aigyx5",1,"timedOut","",5006.79999999986,5000.3,5006.79999999986,5006.79999999986,5000.3,5006.79999999986,1,5006.79999999986,0,0,NA,"Time Limit","screen",0,"screen","FortuneH","","","",NA,2.97,NA,1,NA,NA,2.97,NA,NA,NA,"MDPRF13138"
"12",12,1707930136591,"14/02/2024 17:02:16",1707930136591,0,"14/02/2024 17:02:16",163173,5,"task-ey14",NA,35148769,10387172,NA,"complete",NA,"65ccedc52a3ceca2b3cf12bd","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","ABLCKDJEIFHG",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",4,"Rating","Screen 1","poh9ia",1,"continue","",4527.20000000005,4524.6,4527.20000000005,4527.20000000005,4524.6,4527.20000000005,1,4527.20000000005,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","happy","unhappy","happy",2,NA,NA,NA,NA,NA,2.97,NA,NA,NA,"MDPRF13138"
"13",13,1707930136591,"14/02/2024 17:02:16",1707930136591,0,"14/02/2024 17:02:16",163173,5,"task-ey14",NA,35148769,10387172,NA,"complete",NA,"65ccedc52a3ceca2b3cf12bd","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","ABLCKDJEIFHG",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",4,"Rating","Screen 1","poh9ia",1,"response","28",3983.1,4524.6,4527.4,3983.1,4524.6,4527.4,1,3983.1,544.299999999999,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",2,NA,NA,NA,NA,NA,2.97,NA,NA,NA,"MDPRF13138"
"14",14,1707930140181,"14/02/2024 17:02:20",1707930140181,0,"14/02/2024 17:02:20",163173,5,"task-ey14",NA,35148769,10387172,NA,"complete",NA,"65ccedc52a3ceca2b3cf12bd","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","ABLCKDJEIFHG",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",5,"Rating","Screen 1","poh9ia",1,"continue","",3592.69999999991,3591.6,3592.69999999991,3592.69999999991,3591.6,3592.69999999991,1,3592.69999999991,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","frustrated","not frustrated","frustrated",2,NA,NA,NA,NA,NA,2.97,NA,NA,NA,"MDPRF13138"
"15",15,1707930140181,"14/02/2024 17:02:20",1707930140181,0,"14/02/2024 17:02:20",163173,5,"task-ey14",NA,35148769,10387172,NA,"complete",NA,"65ccedc52a3ceca2b3cf12bd","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","ABLCKDJEIFHG",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",5,"Rating","Screen 1","poh9ia",1,"response","99",3033.3,3591.6,3592.99999999995,3033.3,3591.6,3592.99999999995,1,3033.3,559.699999999953,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",2,NA,NA,NA,NA,NA,2.97,NA,NA,NA,"MDPRF13138"
"16",16,1707930142627,"14/02/2024 17:02:22",1707930142627,0,"14/02/2024 17:02:22",163173,5,"task-ey14",NA,35148769,10387172,NA,"complete",NA,"65ccedc52a3ceca2b3cf12bd","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","ABLCKDJEIFHG",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",6,"Rating","Screen 1","poh9ia",1,"continue","",2446.59999999991,2441.6,2446.59999999991,2446.59999999991,2441.6,2446.59999999991,1,2446.59999999991,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","bored","not bored","bored",2,NA,NA,NA,NA,NA,2.97,NA,NA,NA,"MDPRF13138"
"17",17,1707930142628,"14/02/2024 17:02:22",1707930142628,0,"14/02/2024 17:02:22",163173,5,"task-ey14",NA,35148769,10387172,NA,"complete",NA,"65ccedc52a3ceca2b3cf12bd","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","ABLCKDJEIFHG",NA,"In",3,"SpreadsheetH_2B","SpreadsheetH_2B",6,"Rating","Screen 1","poh9ia",1,"response","52",1908.2,2441.6,2448.29999999986,1908.2,2441.6,2448.29999999986,1,1908.2,540.09999999986,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",2,NA,NA,NA,NA,NA,2.97,NA,NA,NA,"MDPRF13138"
