"","Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.vjic","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Emo","Spreadsheet..LHS_Lab","Spreadsheet..RHS_Lab","Spreadsheet..rand","Spreadsheet..NoWin","Spreadsheet..Win","Spreadsheet..randF","Manipulation..Spreadsheet","Store..MoneyLow","Store..MoneyHigh","Store..MoneyReward","Store..Loss","Store..MoneyMed","Random_ID"
"1",1,1707930915361,"14/02/2024 17:15:15",1707930915361,0,"14/02/2024 17:15:15",163173,5,"task-h2kh",NA,35149813,10387326,NA,"complete",NA,"65ccf0a22a3ceca2b3cf1375","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x703",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","CDBEAFLGKHJI",NA,"In",4,"SpreadsheetN_2B","SpreadsheetN_2B",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF73191"
"2",2,1707930921547,"14/02/2024 17:15:21",1707930921547,0,"14/02/2024 17:15:21",163173,5,"task-h2kh",NA,35149813,10387326,NA,"complete",NA,"65ccf0a22a3ceca2b3cf1375","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x703",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","CDBEAFLGKHJI",NA,"In",4,"SpreadsheetN_2B","SpreadsheetN_2B",1,"Instructions","Screen 1","ddykq7",1,"continue","",6231.07,6214.37,6231.07,6231.07,6214.37,6231.07,1,6231.07,0,0,NA,"Click To Continue","Continue Button",2,"object-18","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF73191"
"3",3,1707930981920,"14/02/2024 17:16:21",1707930981920,0,"14/02/2024 17:16:21",163173,5,"task-h2kh",NA,35149813,10387326,NA,"complete",NA,"65ccf0a22a3ceca2b3cf1375","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x703",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","CDBEAFLGKHJI",NA,"In",4,"SpreadsheetN_2B","SpreadsheetN_2B",1,"Instructions","Screen 2","dcmmer",2,"continue","",60391.8000000007,60379.5,60391.8000000007,60391.8000000007,60379.5,60391.8000000007,1,60391.8000000007,0,0,NA,"Click To Continue","Continue Button",2,"object-55","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF73191"
"4",4,1707930984825,"14/02/2024 17:16:24",1707930984825,0,"14/02/2024 17:16:24",163173,5,"task-h2kh",NA,35149813,10387326,NA,"complete",NA,"65ccf0a22a3ceca2b3cf1375","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x703",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","CDBEAFLGKHJI",NA,"In",4,"SpreadsheetN_2B","SpreadsheetN_2B",1,"Instructions","Screen 3","ntxvt6",3,"continue","",2918.5,2916,2918.5,2918.5,2916,2918.5,1,2918.5,0,0,NA,"Click To Continue","Continue Button",2,"object-59","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF73191"
"5",5,1707930987259,"14/02/2024 17:16:27",1707930987259,0,"14/02/2024 17:16:27",163173,5,"task-h2kh",NA,35149813,10387326,NA,"complete",NA,"65ccf0a22a3ceca2b3cf1375","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x703",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","CDBEAFLGKHJI",NA,"In",4,"SpreadsheetN_2B","SpreadsheetN_2B",1,"Rating","Screen 1","poh9ia",1,"continue","",2434.80000000075,2432.2,2434.80000000075,2434.80000000075,2432.2,2434.80000000075,1,2434.80000000075,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","frustrated","not frustrated","frustrated",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF73191"
"6",6,1707930987259,"14/02/2024 17:16:27",1707930987259,0,"14/02/2024 17:16:27",163173,5,"task-h2kh",NA,35149813,10387326,NA,"complete",NA,"65ccf0a22a3ceca2b3cf1375","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x703",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","CDBEAFLGKHJI",NA,"In",4,"SpreadsheetN_2B","SpreadsheetN_2B",1,"Rating","Screen 1","poh9ia",1,"response","80",1682.60000000001,2432.2,2436.10000000149,1682.60000000001,2432.2,2436.10000000149,1,1682.60000000001,753.500000001484,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF73191"
"7",7,1707930990463,"14/02/2024 17:16:30",1707930990463,0,"14/02/2024 17:16:30",163173,5,"task-h2kh",NA,35149813,10387326,NA,"complete",NA,"65ccf0a22a3ceca2b3cf1375","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x703",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","CDBEAFLGKHJI",NA,"In",4,"SpreadsheetN_2B","SpreadsheetN_2B",2,"Rating","Screen 1","poh9ia",1,"continue","",3207.70000000224,3198.90000000001,3207.70000000224,3207.70000000224,3198.90000000001,3207.70000000224,1,3207.70000000224,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","bored","not bored","bored",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF73191"
"8",8,1707930990464,"14/02/2024 17:16:30",1707930990464,0,"14/02/2024 17:16:30",163173,5,"task-h2kh",NA,35149813,10387326,NA,"complete",NA,"65ccf0a22a3ceca2b3cf1375","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x703",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","CDBEAFLGKHJI",NA,"In",4,"SpreadsheetN_2B","SpreadsheetN_2B",2,"Rating","Screen 1","poh9ia",1,"response","77",2532.40000000001,3198.90000000001,3208.50000000298,2532.40000000001,3198.90000000001,3208.50000000298,1,2532.40000000001,676.100000002974,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF73191"
"9",9,1707930993595,"14/02/2024 17:16:33",1707930993595,0,"14/02/2024 17:16:33",163173,5,"task-h2kh",NA,35149813,10387326,NA,"complete",NA,"65ccf0a22a3ceca2b3cf1375","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x703",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","CDBEAFLGKHJI",NA,"In",4,"SpreadsheetN_2B","SpreadsheetN_2B",3,"Rating","Screen 1","poh9ia",1,"continue","",3141.00000000148,3132.29999999999,3141.00000000148,3141.00000000148,3132.29999999999,3141.00000000148,1,3141.00000000148,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","happy","unhappy","happy",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF73191"
"10",10,1707930993600,"14/02/2024 17:16:33",1707930993600,0,"14/02/2024 17:16:33",163173,5,"task-h2kh",NA,35149813,10387326,NA,"complete",NA,"65ccf0a22a3ceca2b3cf1375","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x703",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","CDBEAFLGKHJI",NA,"In",4,"SpreadsheetN_2B","SpreadsheetN_2B",3,"Rating","Screen 1","poh9ia",1,"response","49",1732.7,3132.29999999999,3145.50000000148,1732.7,3132.29999999999,3145.50000000148,1,1732.7,1412.80000000149,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF73191"
