"","Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.vjic","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Emo","Spreadsheet..LHS_Lab","Spreadsheet..RHS_Lab","Spreadsheet..rand","Spreadsheet..NoWin","Spreadsheet..Win","Spreadsheet..randF","Manipulation..Spreadsheet","Store..MoneyLow","Store..MoneyHigh","Store..MoneyReward","Store..Loss","Store..MoneyMed","Random_ID"
"1",1,1707930829373,"14/02/2024 17:13:49",1707930829373,0,"14/02/2024 17:13:49",163173,5,"task-wwtl",NA,35149720,10387373,NA,"complete",NA,"65ccf14d7ceb9cd7d4dfa1ae","computer","Desktop or Laptop","Chromium OS 14816.131.0","Chrome 103.0.0.0","1536x864","1536x714",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","EFDGCHBIAJLK",NA,"In",1,"SpreadsheetL_2B","SpreadsheetL_2B",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF79833"
"2",2,1707930839101,"14/02/2024 17:13:59",1707930839101,0,"14/02/2024 17:13:59",163173,5,"task-wwtl",NA,35149720,10387373,NA,"complete",NA,"65ccf14d7ceb9cd7d4dfa1ae","computer","Desktop or Laptop","Chromium OS 14816.131.0","Chrome 103.0.0.0","1536x864","1536x714",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","EFDGCHBIAJLK",NA,"In",1,"SpreadsheetL_2B","SpreadsheetL_2B",1,"Instructions","Screen 1","ddykq7",1,"continue","",9748.749,9732.085,9748.749,9748.749,9732.085,9748.749,1,9748.749,0,0,NA,"Click To Continue","Continue Button",2,"object-18","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF79833"
"3",3,1707930843364,"14/02/2024 17:14:03",1707930843364,0,"14/02/2024 17:14:03",163173,5,"task-wwtl",NA,35149720,10387373,NA,"complete",NA,"65ccf14d7ceb9cd7d4dfa1ae","computer","Desktop or Laptop","Chromium OS 14816.131.0","Chrome 103.0.0.0","1536x864","1536x714",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","EFDGCHBIAJLK",NA,"In",1,"SpreadsheetL_2B","SpreadsheetL_2B",1,"Instructions","Screen 2","dcmmer",2,"continue","",4282.785,4266.121,4282.785,4282.785,4266.121,4282.785,1,4282.785,0,0,NA,"Click To Continue","Continue Button",2,"object-55","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF79833"
"4",4,1707930845987,"14/02/2024 17:14:05",1707930845987,0,"14/02/2024 17:14:05",163173,5,"task-wwtl",NA,35149720,10387373,NA,"complete",NA,"65ccf14d7ceb9cd7d4dfa1ae","computer","Desktop or Laptop","Chromium OS 14816.131.0","Chrome 103.0.0.0","1536x864","1536x714",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","EFDGCHBIAJLK",NA,"In",1,"SpreadsheetL_2B","SpreadsheetL_2B",1,"Instructions","Screen 3","ntxvt6",3,"continue","",2644.87300000298,2632.985,2644.87300000298,2644.87300000298,2632.985,2644.87300000298,1,2644.87300000298,0,0,NA,"Click To Continue","Continue Button",2,"object-59","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF79833"
"5",5,1707930850607,"14/02/2024 17:14:10",1707930850607,0,"14/02/2024 17:14:10",163173,5,"task-wwtl",NA,35149720,10387373,NA,"complete",NA,"65ccf14d7ceb9cd7d4dfa1ae","computer","Desktop or Laptop","Chromium OS 14816.131.0","Chrome 103.0.0.0","1536x864","1536x714",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","EFDGCHBIAJLK",NA,"In",1,"SpreadsheetL_2B","SpreadsheetL_2B",1,"Rating","Screen 1","poh9ia",1,"continue","",4627.28799999404,4616.081,4627.28799999404,4627.28799999404,4616.081,4627.28799999404,1,4627.28799999404,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","bored","not bored","bored",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF79833"
"6",6,1707930850609,"14/02/2024 17:14:10",1707930850609,0,"14/02/2024 17:14:10",163173,5,"task-wwtl",NA,35149720,10387373,NA,"complete",NA,"65ccf14d7ceb9cd7d4dfa1ae","computer","Desktop or Laptop","Chromium OS 14816.131.0","Chrome 103.0.0.0","1536x864","1536x714",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","EFDGCHBIAJLK",NA,"In",1,"SpreadsheetL_2B","SpreadsheetL_2B",1,"Rating","Screen 1","poh9ia",1,"response","98",2049.689,4616.081,4632.745,2049.689,4616.081,4632.745,1,2049.689,2583.056,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF79833"
"7",7,1707930854431,"14/02/2024 17:14:14",1707930854431,0,"14/02/2024 17:14:14",163173,5,"task-wwtl",NA,35149720,10387373,NA,"complete",NA,"65ccf14d7ceb9cd7d4dfa1ae","computer","Desktop or Laptop","Chromium OS 14816.131.0","Chrome 103.0.0.0","1536x864","1536x714",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","EFDGCHBIAJLK",NA,"In",1,"SpreadsheetL_2B","SpreadsheetL_2B",2,"Rating","Screen 1","poh9ia",1,"continue","",3839.107,3832.843,3839.107,3839.107,3832.843,3839.107,1,3839.107,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","happy","unhappy","happy",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF79833"
"8",8,1707930854442,"14/02/2024 17:14:14",1707930854442,0,"14/02/2024 17:14:14",163173,5,"task-wwtl",NA,35149720,10387373,NA,"complete",NA,"65ccf14d7ceb9cd7d4dfa1ae","computer","Desktop or Laptop","Chromium OS 14816.131.0","Chrome 103.0.0.0","1536x864","1536x714",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","EFDGCHBIAJLK",NA,"In",1,"SpreadsheetL_2B","SpreadsheetL_2B",2,"Rating","Screen 1","poh9ia",1,"response","8",1916.403,3832.843,3849.20699999404,1916.403,3832.843,3849.20699999404,1,1916.403,1932.80399999404,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF79833"
"9",9,1707930860550,"14/02/2024 17:14:20",1707930860550,0,"14/02/2024 17:14:20",163173,5,"task-wwtl",NA,35149720,10387373,NA,"complete",NA,"65ccf14d7ceb9cd7d4dfa1ae","computer","Desktop or Laptop","Chromium OS 14816.131.0","Chrome 103.0.0.0","1536x864","1536x714",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","EFDGCHBIAJLK",NA,"In",1,"SpreadsheetL_2B","SpreadsheetL_2B",3,"Rating","Screen 1","poh9ia",1,"continue","",6125.264,6115.877,6125.264,6125.264,6115.877,6125.264,1,6125.264,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","frustrated","not frustrated","frustrated",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF79833"
"10",10,1707930860552,"14/02/2024 17:14:20",1707930860552,0,"14/02/2024 17:14:20",163173,5,"task-wwtl",NA,35149720,10387373,NA,"complete",NA,"65ccf14d7ceb9cd7d4dfa1ae","computer","Desktop or Laptop","Chromium OS 14816.131.0","Chrome 103.0.0.0","1536x864","1536x714",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","EFDGCHBIAJLK",NA,"In",1,"SpreadsheetL_2B","SpreadsheetL_2B",3,"Rating","Screen 1","poh9ia",1,"response","87",1933.057,6115.877,6127.46400000298,1933.057,6115.877,6127.46400000298,1,1933.057,4194.40700000298,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF79833"
