"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
"1",1698680883485,"30/10/2023 15:48:03",1698680883485,0,"30/10/2023 15:48:03",149691,4,"questionnaire-qxhw",NA,32578521,9641037,NA,"rejected - manual",NA,"653fcd5bced2790d4ad9aab2","computer","Desktop or Laptop","Windows 10","Edge 116.0.1938.62","1397x786","1389x634",NA,NA,0,"Attention Check 2",2,"In","ABLCKDJEIFHG",NA,"In","1-0","1","MDPRF45287"
"1",1698681419568,"30/10/2023 15:56:59",1698681419568,0,"30/10/2023 15:56:59",149691,4,"questionnaire-qxhw",NA,32578791,9641059,NA,"rejected - time limit reached",NA,"653fcdf11650a6b7d05ac7d3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1023x689",NA,NA,0,"Attention Check 2",2,"In","CDBEAFLGKHJI",NA,"In","1-0","1","MDPRF10933"
"1",1698681135045,"30/10/2023 15:52:15",1698681135045,0,"30/10/2023 15:52:15",149691,4,"questionnaire-qxhw",NA,32578643,9641074,NA,"rejected - time limit reached",NA,"653fce60cd09a4013ad16c4c","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1280x720","1280x571",NA,NA,0,"Attention Check 2",2,"In","DECFBGAHLIKJ",NA,"In","1-0","1","MDPRF03895"
"1",1698681289941,"30/10/2023 15:54:49",1698681289941,0,"30/10/2023 15:54:49",149691,4,"questionnaire-qxhw",NA,32578725,9641086,NA,"rejected - time limit reached",NA,"653fcec88c7b4c248d47a53c","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1366x768","1366x657",NA,NA,0,"Attention Check 2",2,"In","EFDGCHBIAJLK",NA,"In","1-0","1","MDPRF73370"
"1",1698681290092,"30/10/2023 15:54:50",1698681290092,0,"30/10/2023 15:54:50",149691,4,"questionnaire-qxhw",NA,32578727,9641060,NA,"rejected - time limit reached",NA,"653fcd6668bdb96e5e71ff7e","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1920x1080","1920x955",NA,NA,0,"Attention Check 2",2,"In","BCADLEKFJGIH",NA,"In","1-0","1","MDPRF78887"
"1",1698681713095,"30/10/2023 16:01:53",1698681713095,0,"30/10/2023 16:01:53",149691,4,"questionnaire-qxhw",NA,32578923,9641110,NA,"rejected - time limit reached",NA,"653fcfb830b9503ea6848ed6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1440x783",NA,NA,0,"Attention Check 2",2,"In","GHFIEJDKCLBA",NA,"In","1-0","1","MDPRF30844"
"1",1698682586544,"30/10/2023 16:16:26",1698682586544,0,"30/10/2023 16:16:26",149691,4,"questionnaire-qxhw",NA,32579501,9641065,NA,"complete",NA,"653fce302916cc1b2847a58a","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1920x1080","1920x955",NA,NA,0,"Attention Check 2",2,"In","FGEHDICJBKAL",NA,"In","1","2","MDPRF96180"
"1",1698681565361,"30/10/2023 15:59:25",1698681565361,0,"30/10/2023 15:59:25",149691,4,"questionnaire-qxhw",NA,32578861,9641117,NA,"rejected - time limit reached",NA,"653fcf2b7bd560dad25174f7","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1920x1080","1920x963",NA,NA,0,"Attention Check 2",2,"In","HIGJFKELDACB",NA,"In","1-0","1","MDPRF06491"
"1",1698681592847,"30/10/2023 15:59:52",1698681592847,0,"30/10/2023 15:59:52",149691,4,"questionnaire-qxhw",NA,32578878,9641138,NA,"rejected - time limit reached",NA,"653fd05aadcae8ca019955ca","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 17.0","1440x900","1263x710",NA,NA,0,"Attention Check 2",2,"In","IJHKGLFAEBDC",NA,"In","1-0","1","MDPRF31218"
"1",1698681833969,"30/10/2023 16:03:53",1698681833969,0,"30/10/2023 16:03:53",149691,4,"questionnaire-qxhw",NA,32578999,9641185,NA,"rejected - time limit reached",NA,"653fd0c50e53526368b3a58c","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1536x960","2304x1250",NA,NA,0,"Attention Check 2",2,"In","CDBEAFLGKHJI",NA,"In","1-0","1","MDPRF88491"
"1",1698682016283,"30/10/2023 16:06:56",1698682016283,0,"30/10/2023 16:06:56",149691,4,"questionnaire-qxhw",NA,32579128,9641174,NA,"rejected - time limit reached",NA,"653fd1c4767713c52c8eeed6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1440x815",NA,NA,0,"Attention Check 2",2,"In","ABLCKDJEIFHG",NA,"In","1-0","1","MDPRF22558"
"1",1698682031291,"30/10/2023 16:07:11",1698682031291,0,"30/10/2023 16:07:11",149691,4,"questionnaire-qxhw",NA,32579147,9641147,NA,"rejected - time limit reached",NA,"653fd086f182125c80892582","computer","Desktop or Laptop","Windows 10","Edge 117.0.2045.60","1366x768","1358x654",NA,NA,0,"Attention Check 2",2,"In","JKILHAGBFCED",NA,"In","1-0","1","MDPRF98849"
"1",1698682084208,"30/10/2023 16:08:04",1698682084208,0,"30/10/2023 16:08:04",149691,4,"questionnaire-qxhw",NA,32579184,9641183,NA,"rejected - time limit reached",NA,"653fd2112f30f5dd8f7a5bb6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 115.0.0.0","1440x900","1440x815",NA,NA,0,"Attention Check 2",2,"In","BCADLEKFJGIH",NA,"In","1-0","1","MDPRF11599"
"1",1698682165461,"30/10/2023 16:09:25",1698682165461,0,"30/10/2023 16:09:25",149691,4,"questionnaire-qxhw",NA,32579243,9641169,NA,"rejected - time limit reached",NA,"653fd174549d4a415d2b04b4","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 17.0","1440x900","1440x820",NA,NA,0,"Attention Check 2",2,"In","LAKBJCIDHEGF",NA,"In","1-0","1","MDPRF29232"
