"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1698680711783,"30/10/2023 15:45:11",1698680711783,0,"30/10/2023 15:45:11",149691,4,"questionnaire-uu2n",NA,32578458,9641037,NA,"rejected - manual",NA,"653fcd5bced2790d4ad9aab2","computer","Desktop or Laptop","Windows 10","Edge 116.0.1938.62","1397x786","1389x634",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"In","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"MDPRF45287"
"2",1698680747658,"30/10/2023 15:45:47",1698680747658,0,"30/10/2023 15:45:47",149691,4,"questionnaire-uu2n",NA,32578458,9641037,NA,"rejected - manual",NA,"653fcd5bced2790d4ad9aab2","computer","Desktop or Laptop","Windows 10","Edge 116.0.1938.62","1397x786","1389x634",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"In","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",35921.157,35904.52,35921.157,35921.157,35904.52,35921.157,1,35921.157,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"MDPRF45287"
"3",1698680747665,"30/10/2023 15:45:47",1698680747665,0,"30/10/2023 15:45:47",149691,4,"questionnaire-uu2n",NA,32578458,9641037,NA,"rejected - manual",NA,"653fcd5bced2790d4ad9aab2","computer","Desktop or Laptop","Windows 10","Edge 116.0.1938.62","1397x786","1389x634",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"In","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","5",21492.752,35904.52,35921.157,21492.752,35904.52,35921.157,1,21492.752,14428.405,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"MDPRF45287"
"4",1698680747667,"30/10/2023 15:45:47",1698680747667,0,"30/10/2023 15:45:47",149691,4,"questionnaire-uu2n",NA,32578458,9641037,NA,"rejected - manual",NA,"653fcd5bced2790d4ad9aab2","computer","Desktop or Laptop","Windows 10","Edge 116.0.1938.62","1397x786","1389x634",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"In","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","6",30856.256,35904.52,35921.157,30856.256,35904.52,35921.157,1,30856.256,5064.901,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"MDPRF45287"
"5",1698680747668,"30/10/2023 15:45:47",1698680747668,0,"30/10/2023 15:45:47",149691,4,"questionnaire-uu2n",NA,32578458,9641037,NA,"rejected - manual",NA,"653fcd5bced2790d4ad9aab2","computer","Desktop or Laptop","Windows 10","Edge 116.0.1938.62","1397x786","1389x634",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"In","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","3",35288.056,35904.52,35921.157,35288.056,35904.52,35921.157,1,35288.056,633.101000000002,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"MDPRF45287"
"6",1698680769120,"30/10/2023 15:46:09",1698680769120,0,"30/10/2023 15:46:09",149691,4,"questionnaire-uu2n",NA,32578458,9641037,NA,"rejected - manual",NA,"653fcd5bced2790d4ad9aab2","computer","Desktop or Laptop","Windows 10","Edge 116.0.1938.62","1397x786","1389x634",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"In","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",21480.7899998093,21476.055,21480.7899998093,21480.7899998093,21476.055,21480.7899998093,1,21480.7899998093,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"MDPRF45287"
"7",1698680769133,"30/10/2023 15:46:09",1698680769133,0,"30/10/2023 15:46:09",149691,4,"questionnaire-uu2n",NA,32578458,9641037,NA,"rejected - manual",NA,"653fcd5bced2790d4ad9aab2","computer","Desktop or Laptop","Windows 10","Edge 116.0.1938.62","1397x786","1389x634",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"In","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","7",7814.017,21476.055,21492.68,7814.017,21476.055,21492.68,1,7814.017,13678.663,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"MDPRF45287"
"8",1698680769135,"30/10/2023 15:46:09",1698680769135,0,"30/10/2023 15:46:09",149691,4,"questionnaire-uu2n",NA,32578458,9641037,NA,"rejected - manual",NA,"653fcd5bced2790d4ad9aab2","computer","Desktop or Laptop","Windows 10","Edge 116.0.1938.62","1397x786","1389x634",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"In","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","3",10863.027,21476.055,21492.68,10863.027,21476.055,21492.68,1,10863.027,10629.653,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"MDPRF45287"
"9",1698680769137,"30/10/2023 15:46:09",1698680769137,0,"30/10/2023 15:46:09",149691,4,"questionnaire-uu2n",NA,32578458,9641037,NA,"rejected - manual",NA,"653fcd5bced2790d4ad9aab2","computer","Desktop or Laptop","Windows 10","Edge 116.0.1938.62","1397x786","1389x634",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"In","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","4",20043.252,21476.055,21492.68,20043.252,21476.055,21492.68,1,20043.252,1449.428,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"MDPRF45287"
"10",1698680779380,"30/10/2023 15:46:19",1698680779380,0,"30/10/2023 15:46:19",149691,4,"questionnaire-uu2n",NA,32578458,9641037,NA,"rejected - manual",NA,"653fcd5bced2790d4ad9aab2","computer","Desktop or Laptop","Windows 10","Edge 116.0.1938.62","1397x786","1389x634",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"In","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",10263.218,10246.579,10263.218,10263.218,10246.579,10263.218,1,10263.218,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"MDPRF45287"
"11",1698680779389,"30/10/2023 15:46:19",1698680779389,0,"30/10/2023 15:46:19",149691,4,"questionnaire-uu2n",NA,32578458,9641037,NA,"rejected - manual",NA,"653fcd5bced2790d4ad9aab2","computer","Desktop or Laptop","Windows 10","Edge 116.0.1938.62","1397x786","1389x634",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"In","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","0",4032.019,10246.579,10263.218,4032.019,10246.579,10263.218,1,4032.019,6231.19899999999,0,NA,"Rating Scale","Rating Scale",2,"object-53","BIQ",NA,"MDPRF45287"
"12",1698680779391,"30/10/2023 15:46:19",1698680779391,0,"30/10/2023 15:46:19",149691,4,"questionnaire-uu2n",NA,32578458,9641037,NA,"rejected - manual",NA,"653fcd5bced2790d4ad9aab2","computer","Desktop or Laptop","Windows 10","Edge 116.0.1938.62","1397x786","1389x634",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"In","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","2",6864.384,10246.579,10263.218,6864.384,10246.579,10263.218,1,6864.384,3398.83399999999,0,NA,"Rating Scale","Rating Scale",9,"object-60","BIQ",NA,"MDPRF45287"
"13",1698680779393,"30/10/2023 15:46:19",1698680779393,0,"30/10/2023 15:46:19",149691,4,"questionnaire-uu2n",NA,32578458,9641037,NA,"rejected - manual",NA,"653fcd5bced2790d4ad9aab2","computer","Desktop or Laptop","Windows 10","Edge 116.0.1938.62","1397x786","1389x634",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"In","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","4",8946.959,10246.579,10263.218,8946.959,10246.579,10263.218,1,8946.959,1316.25899999999,0,NA,"Rating Scale","Rating Scale",16,"object-67","BIQ",NA,"MDPRF45287"
"14",1698680779403,"30/10/2023 15:46:19",1698680779403,0,"30/10/2023 15:46:19",149691,4,"questionnaire-uu2n",NA,32578458,9641037,NA,"rejected - manual",NA,"653fcd5bced2790d4ad9aab2","computer","Desktop or Laptop","Windows 10","Edge 116.0.1938.62","1397x786","1389x634",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"In","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"MDPRF45287"
"1",1698680893616,"30/10/2023 15:48:13",1698680893616,0,"30/10/2023 15:48:13",149691,4,"questionnaire-uu2n",NA,32578525,9641059,NA,"rejected - time limit reached",NA,"653fcdf11650a6b7d05ac7d3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1023x689",NA,NA,0,"BIQ (Charlotte)",2,"In","CDBEAFLGKHJI",NA,"In","Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"MDPRF10933"
"2",1698680918434,"30/10/2023 15:48:38",1698680918434,0,"30/10/2023 15:48:38",149691,4,"questionnaire-uu2n",NA,32578525,9641059,NA,"rejected - time limit reached",NA,"653fcdf11650a6b7d05ac7d3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1023x689",NA,NA,0,"BIQ (Charlotte)",2,"In","CDBEAFLGKHJI",NA,"In","Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",24825.4620000007,24816.188,24825.4620000007,24825.4620000007,24816.188,24825.4620000007,1,24825.4620000007,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"MDPRF10933"
