"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely.and.anonymously...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.confirm.that.I.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
"1",1698680184083,"30/10/2023 15:36:24",1698680184083,0,"30/10/2023 15:36:24",149691,4,"questionnaire-1tsk",NA,32578259,9641037,NA,"rejected - manual",NA,"653fcd5bced2790d4ad9aab2","computer","Desktop or Laptop","Windows 10","Edge 116.0.1938.62","1397x786","1389x634",NA,NA,0,"Consent",10,"In","ABLCKDJEIFHG",NA,"In","1","1","1","1","1","1","1","1","1","1","MDPRF45287"
"1",1698680332494,"30/10/2023 15:38:52",1698680332494,0,"30/10/2023 15:38:52",149691,4,"questionnaire-1tsk",NA,32578304,9641059,NA,"rejected - time limit reached",NA,"653fcdf11650a6b7d05ac7d3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1023x689",NA,NA,0,"Consent",10,"In","CDBEAFLGKHJI",NA,"In","1","1","1","1","1","1","1","1","1","1","MDPRF10933"
"1",1698680339541,"30/10/2023 15:38:59",1698680339541,0,"30/10/2023 15:38:59",149691,4,"questionnaire-1tsk",NA,32578306,9641060,NA,"rejected - time limit reached",NA,"653fcd6668bdb96e5e71ff7e","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1920x1080","1920x955",NA,NA,0,"Consent",10,"In","BCADLEKFJGIH",NA,"In","1","1","1","1","1","1","1","1","1","1","MDPRF78887"
"1",1698680380273,"30/10/2023 15:39:40",1698680380273,0,"30/10/2023 15:39:40",149691,4,"questionnaire-1tsk",NA,32578322,9641065,NA,"complete",NA,"653fce302916cc1b2847a58a","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1920x1080","1920x955",NA,NA,0,"Consent",10,"In","FGEHDICJBKAL",NA,"In","1","1","1","1","1","1","1","1","1","1","MDPRF96180"
"1",1698680435636,"30/10/2023 15:40:35",1698680435636,0,"30/10/2023 15:40:35",149691,4,"questionnaire-1tsk",NA,32578343,9641074,NA,"rejected - time limit reached",NA,"653fce60cd09a4013ad16c4c","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1280x720","1280x571",NA,NA,0,"Consent",10,"In","DECFBGAHLIKJ",NA,"In","1","1","1","1","1","1","1","1","1","1","MDPRF03895"
"1",1698680541303,"30/10/2023 15:42:21",1698680541303,0,"30/10/2023 15:42:21",149691,4,"questionnaire-1tsk",NA,32578385,9641086,NA,"rejected - time limit reached",NA,"653fcec88c7b4c248d47a53c","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1366x768","1366x657",NA,NA,0,"Consent",10,"In","EFDGCHBIAJLK",NA,"In","1","1","1","1","1","1","1","1","1","1","MDPRF73370"
"1",1698680774671,"30/10/2023 15:46:14",1698680774671,0,"30/10/2023 15:46:14",149691,4,"questionnaire-1tsk",NA,32578473,9641110,NA,"rejected - time limit reached",NA,"653fcfb830b9503ea6848ed6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1440x783",NA,NA,0,"Consent",10,"In","GHFIEJDKCLBA",NA,"In","1","1","1","1","1","1","1","1","1","1","MDPRF30844"
"1",1698680831426,"30/10/2023 15:47:11",1698680831426,0,"30/10/2023 15:47:11",149691,4,"questionnaire-1tsk",NA,32578493,9641117,NA,"rejected - time limit reached",NA,"653fcf2b7bd560dad25174f7","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1920x1080","1920x963",NA,NA,0,"Consent",10,"In","HIGJFKELDACB",NA,"In","1","1","1","1","1","1","1","1","1","1","MDPRF06491"
"1",1698680953353,"30/10/2023 15:49:13",1698680953353,0,"30/10/2023 15:49:13",149691,4,"questionnaire-1tsk",NA,32578558,9641138,NA,"rejected - time limit reached",NA,"653fd05aadcae8ca019955ca","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 17.0","1440x900","1263x710",NA,NA,0,"Consent",10,"In","IJHKGLFAEBDC",NA,"In","1","1","1","1","1","1","1","1","1","1","MDPRF31218"
"1",1698681029305,"30/10/2023 15:50:29",1698681029305,0,"30/10/2023 15:50:29",149691,4,"questionnaire-1tsk",NA,32578589,9641147,NA,"rejected - time limit reached",NA,"653fd086f182125c80892582","computer","Desktop or Laptop","Windows 10","Edge 117.0.2045.60","1366x768","1358x654",NA,NA,0,"Consent",10,"In","JKILHAGBFCED",NA,"In","1","1","1","1","1","1","1","1","1","1","MDPRF98849"
