"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","Slider_LH.object.2.Value","Random_ID"
"1",1698680862829,"30/10/2023 15:47:42",1698680862829,0,"30/10/2023 15:47:42",149691,4,"questionnaire-txxf",NA,32578507,9641037,NA,"rejected - manual",NA,"653fcd5bced2790d4ad9aab2","computer","Desktop or Laptop","Windows 10","Edge 116.0.1938.62","1397x786","1389x634",NA,NA,0,"Life Happiness",2,"In","ABLCKDJEIFHG",NA,"In","12","MDPRF45287"
"1",1698681121815,"30/10/2023 15:52:01",1698681121815,0,"30/10/2023 15:52:01",149691,4,"questionnaire-txxf",NA,32578638,9641059,NA,"rejected - time limit reached",NA,"653fcdf11650a6b7d05ac7d3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1023x689",NA,NA,0,"Life Happiness",2,"In","CDBEAFLGKHJI",NA,"In","14","MDPRF10933"
"1",1698680804815,"30/10/2023 15:46:44",1698680804815,0,"30/10/2023 15:46:44",149691,4,"questionnaire-txxf",NA,32578485,9641110,NA,"rejected - time limit reached",NA,"653fcfb830b9503ea6848ed6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1440x783",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCLBA",NA,"In","3","MDPRF30844"
"1",1698680840926,"30/10/2023 15:47:20",1698680840926,0,"30/10/2023 15:47:20",149691,4,"questionnaire-txxf",NA,32578497,9641074,NA,"rejected - time limit reached",NA,"653fce60cd09a4013ad16c4c","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1280x720","1280x571",NA,NA,0,"Life Happiness",2,"In","DECFBGAHLIKJ",NA,"In","78","MDPRF03895"
"1",1698680874888,"30/10/2023 15:47:54",1698680874888,0,"30/10/2023 15:47:54",149691,4,"questionnaire-txxf",NA,32578514,9641086,NA,"rejected - time limit reached",NA,"653fcec88c7b4c248d47a53c","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1366x768","1366x657",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJLK",NA,"In","58","MDPRF73370"
"1",1698680965109,"30/10/2023 15:49:25",1698680965109,0,"30/10/2023 15:49:25",149691,4,"questionnaire-txxf",NA,32578565,9641117,NA,"rejected - time limit reached",NA,"653fcf2b7bd560dad25174f7","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1920x1080","1920x963",NA,NA,0,"Life Happiness",2,"In","HIGJFKELDACB",NA,"In","12","MDPRF06491"
"1",1698681158748,"30/10/2023 15:52:38",1698681158748,0,"30/10/2023 15:52:38",149691,4,"questionnaire-txxf",NA,32578664,9641060,NA,"rejected - time limit reached",NA,"653fcd6668bdb96e5e71ff7e","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1920x1080","1920x955",NA,NA,0,"Life Happiness",2,"In","BCADLEKFJGIH",NA,"In","43","MDPRF78887"
"1",1698681220653,"30/10/2023 15:53:40",1698681220653,0,"30/10/2023 15:53:40",149691,4,"questionnaire-txxf",NA,32578687,9641065,NA,"complete",NA,"653fce302916cc1b2847a58a","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1920x1080","1920x955",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKAL",NA,"In","59","MDPRF96180"
"1",1698681164954,"30/10/2023 15:52:44",1698681164954,0,"30/10/2023 15:52:44",149691,4,"questionnaire-txxf",NA,32578665,9641138,NA,"rejected - time limit reached",NA,"653fd05aadcae8ca019955ca","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 17.0","1440x900","1263x710",NA,NA,0,"Life Happiness",2,"In","IJHKGLFAEBDC",NA,"In","24","MDPRF31218"
"1",1698681549638,"30/10/2023 15:59:09",1698681549638,0,"30/10/2023 15:59:09",149691,4,"questionnaire-txxf",NA,32578852,9641147,NA,"rejected - time limit reached",NA,"653fd086f182125c80892582","computer","Desktop or Laptop","Windows 10","Edge 117.0.2045.60","1366x768","1358x654",NA,NA,0,"Life Happiness",2,"In","JKILHAGBFCED",NA,"In","33","MDPRF98849"
"1",1698681713029,"30/10/2023 16:01:53",1698681713029,0,"30/10/2023 16:01:53",149691,4,"questionnaire-txxf",NA,32578922,9641185,NA,"rejected - time limit reached",NA,"653fd0c50e53526368b3a58c","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1536x960","2304x1250",NA,NA,0,"Life Happiness",2,"In","CDBEAFLGKHJI",NA,"In","64","MDPRF88491"
"1",1698681884192,"30/10/2023 16:04:44",1698681884192,0,"30/10/2023 16:04:44",149691,4,"questionnaire-txxf",NA,32579021,9641206,NA,"complete",NA,"653fd2876df56a75520fc51b","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","2195x1235","2195x1116",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKAL",NA,"In","-61","MDPRF70826"
"1",1698681939135,"30/10/2023 16:05:39",1698681939135,0,"30/10/2023 16:05:39",149691,4,"questionnaire-txxf",NA,32579065,9641186,NA,"rejected - time limit reached",NA,"653fd219dbaab2548f7a4fa2","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1366x768","1707x773",NA,NA,0,"Life Happiness",2,"In","DECFBGAHLIKJ",NA,"In","22","MDPRF61059"
"1",1698681955642,"30/10/2023 16:05:55",1698681955642,0,"30/10/2023 16:05:55",149691,4,"questionnaire-txxf",NA,32579079,9641183,NA,"rejected - time limit reached",NA,"653fd2112f30f5dd8f7a5bb6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 115.0.0.0","1440x900","1440x815",NA,NA,0,"Life Happiness",2,"In","BCADLEKFJGIH",NA,"In","62","MDPRF11599"
"1",1698681994277,"30/10/2023 16:06:34",1698681994277,0,"30/10/2023 16:06:34",149691,4,"questionnaire-txxf",NA,32579104,9641174,NA,"rejected - time limit reached",NA,"653fd1c4767713c52c8eeed6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1440x815",NA,NA,0,"Life Happiness",2,"In","ABLCKDJEIFHG",NA,"In","70","MDPRF22558"
"1",1698682059731,"30/10/2023 16:07:39",1698682059731,0,"30/10/2023 16:07:39",149691,4,"questionnaire-txxf",NA,32579179,9641169,NA,"rejected - time limit reached",NA,"653fd174549d4a415d2b04b4","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 17.0","1440x900","1440x820",NA,NA,0,"Life Happiness",2,"In","LAKBJCIDHEGF",NA,"In","88","MDPRF29232"
"1",1698682774232,"30/10/2023 16:19:34",1698682774232,0,"30/10/2023 16:19:34",149691,4,"questionnaire-txxf",NA,32579609,9641199,NA,"complete",NA,"653fd1d2a83d746655fb40b5","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1920x1080","1920x931",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCLBA",NA,"In","29","MDPRF88382"
"1",1698681724612,"30/10/2023 16:02:04",1698681724612,0,"30/10/2023 16:02:04",149691,4,"questionnaire-txxf",NA,32578927,9641213,NA,"complete",NA,"653fd307a616c979ca367f46","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","3440x1440","1743x1321",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCLBA",NA,"In","-17","MDPRF55869"
"1",1698681907551,"30/10/2023 16:05:07",1698681907551,0,"30/10/2023 16:05:07",149691,4,"questionnaire-txxf",NA,32579037,9641222,NA,"complete",NA,"653fd386eb70cc08009691e1","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 17.0","1440x900","1440x820",NA,NA,0,"Life Happiness",2,"In","HIGJFKELDACB",NA,"In","7","MDPRF57890"
"1",1698682002767,"30/10/2023 16:06:42",1698682002767,0,"30/10/2023 16:06:42",149691,4,"questionnaire-txxf",NA,32579111,9641208,NA,"complete",NA,"653fd2d0190919264d120b91","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 17.0","1512x982","1512x785",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJLK",NA,"In","39","MDPRF75168"
"1",1698682024878,"30/10/2023 16:07:04",1698682024878,0,"30/10/2023 16:07:04",149691,4,"questionnaire-txxf",NA,32579139,9641216,NA,"complete",NA,"653fd32ede4a37cde68a2f34","computer","Desktop or Laptop","Mac OS 10.11.6","Chrome 103.0.0.0","1280x800","680x626",NA,NA,0,"Life Happiness",2,"In","IJHKGLFAEBDC",NA,"In","100","MDPRF24433"
"1",1698682139289,"30/10/2023 16:08:59",1698682139289,0,"30/10/2023 16:08:59",149691,4,"questionnaire-txxf",NA,32579226,9641227,NA,"complete",NA,"653fd3a130c721ed68d86850","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1280x720","1280x595",NA,NA,0,"Life Happiness",2,"In","JKILHAGBFCED",NA,"In","-20","MDPRF65847"
"1",1698682182267,"30/10/2023 16:09:42",1698682182267,0,"30/10/2023 16:09:42",149691,4,"questionnaire-txxf",NA,32579255,9641232,NA,"complete",NA,"653fd3c6549d4a415d2b04f6","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.69","1280x720","1272x564",NA,NA,0,"Life Happiness",2,"In","KLJAIBHCGDFE",NA,"In","13","MDPRF04349"
"1",1698682264101,"30/10/2023 16:11:04",1698682264101,0,"30/10/2023 16:11:04",149691,4,"questionnaire-txxf",NA,32579296,9641234,NA,"rejected - time limit reached",NA,"653fd3d20c58d450865e48fa","computer","Desktop or Laptop","Windows 10","Firefox 119.0","1920x1080","1920x955",NA,NA,0,"Life Happiness",2,"In","LAKBJCIDHEGF",NA,"In","-18","MDPRF21392"
"1",1698682338474,"30/10/2023 16:12:18",1698682338474,0,"30/10/2023 16:12:18",149691,4,"questionnaire-txxf",NA,32579337,9641292,NA,"complete",NA,"653fd4c2a616c979ca367f8c","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1440x813",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKAL",NA,"In","32","MDPRF07530"
"1",1698682349900,"30/10/2023 16:12:29",1698682349900,0,"30/10/2023 16:12:29",149691,4,"questionnaire-txxf",NA,32579345,9641286,NA,"complete",NA,"653fd4e778c56da551790f20","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1920x1080","1920x931",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJLK",NA,"In","-36","MDPRF37895"
"1",1698682733828,"30/10/2023 16:18:53",1698682733828,0,"30/10/2023 16:18:53",149691,4,"questionnaire-txxf",NA,32579536,9641265,NA,"complete",NA,"653fd4745528909be390ef11","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1536x739",NA,NA,0,"Life Happiness",2,"In","CDBEAFLGKHJI",NA,"In","-41","MDPRF18235"
"1",1698682747696,"30/10/2023 16:19:07",1698682747696,0,"30/10/2023 16:19:07",149691,4,"questionnaire-txxf",NA,32579579,9641251,NA,"complete",NA,"653fd41ffb14fa1dfe793851","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1536x864","1536x726",NA,NA,0,"Life Happiness",2,"In","ABLCKDJEIFHG",NA,"In","-45","MDPRF77468"
"1",1698682781665,"30/10/2023 16:19:41",1698682781665,0,"30/10/2023 16:19:41",149691,4,"questionnaire-txxf",NA,32579613,9641249,NA,"complete",NA,"653fd3d21f19228577243599","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1536x864","1536x747",NA,NA,0,"Life Happiness",2,"In","BCADLEKFJGIH",NA,"In","65","MDPRF62148"
"1",1698683787234,"30/10/2023 16:36:27",1698683787234,0,"30/10/2023 16:36:27",149691,4,"questionnaire-txxf",NA,32579963,9641284,NA,"complete",NA,"653fd4d4a4db64c5f6cf5006","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1920x1080","1920x969",NA,NA,0,"Life Happiness",2,"In","DECFBGAHLIKJ",NA,"In","-100","MDPRF94387"
"1",1698685149654,"30/10/2023 16:59:09",1698685149654,0,"30/10/2023 16:59:09",149691,4,"questionnaire-txxf",NA,32580295,9641276,NA,"complete",NA,"653fd4a62a8481e90cd910e2","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.69","1920x1080","1912x970",NA,NA,0,"Life Happiness",2,"In","HIGJFKELDACB",NA,"In","-22","MDPRF03456"
"1",1698685809904,"30/10/2023 17:10:09",1698685809904,0,"30/10/2023 17:10:09",149691,4,"questionnaire-txxf",NA,32580638,9641609,NA,"complete",NA,"653fe1d8a998974e1e57cea8","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.76","1280x720","1272x564",NA,NA,0,"Life Happiness",2,"In","IJHKGLFAEBDC",NA,"In","18","MDPRF22874"
"1",1698686118897,"30/10/2023 17:15:18",1698686118897,0,"30/10/2023 17:15:18",149691,4,"questionnaire-txxf",NA,32580968,9641659,NA,"complete",NA,"653fe1583fad42cfd2aa4aa6","computer","Desktop or Laptop","Linux x86_64","Chrome 117.0.0.0","1374x623","1366x622",NA,NA,0,"Life Happiness",2,"In","JKILHAGBFCED",NA,"In","-61","MDPRF28732"
"1",1698686798075,"30/10/2023 17:26:38",1698686798075,0,"30/10/2023 17:26:38",149691,4,"questionnaire-txxf",NA,32581383,9641698,NA,"complete",NA,"653fe37a32655cb0128ef133","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1536x864","1536x739",NA,NA,0,"Life Happiness",2,"In","LAKBJCIDHEGF",NA,"In","38","MDPRF51230"
