participant,session,date,expName,psychopyVersion,OS,frameRate,rating_all.response,rating_all.rt,rating_all.tStart,rndRat1.thisRepN,rndRat1.thisTrialN,rndRat1.thisN,rndRat1.thisIndex,rndRat1.ran,Emo,Labs,Labs2,rating_alt.response,rating_alt.rt,AltC.thisRepN,AltC.thisTrialN,AltC.thisN,AltC.thisIndex,AltC.ran,alt_choices,pic_choices,TopAlt_Choice,rndRat2.thisRepN,rndRat2.thisTrialN,rndRat2.thisN,rndRat2.thisIndex,rndRat2.ran,rndRat3.thisRepN,rndRat3.thisTrialN,rndRat3.thisN,rndRat3.thisIndex,rndRat3.ran,trials_FC_H.thisRepN,trials_FC_H.thisTrialN,trials_FC_H.thisN,trials_FC_H.thisIndex,trials_FC_H.ran
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,-1.41015625,4.474,2.0084,0,0,0,0,1,happy,"unhappy, happy","less happy, more happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,-43.96191406,3.3606,2.0013,0,1,1,2,1,bored,"bored, not bored","more bored, less bored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,100,3.1605,2.01,0,2,2,1,1,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-80.65332031,4.5001,0,0,0,0,1,rest (looking at a fixed cross),001.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-41.75878906,2.5025,0,1,1,1,1,stand up,002.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.56933594,1.7335,0,2,2,2,1,stretch,003.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.04296875,1.9683,0,3,3,3,1,make a drink,004.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.16699219,1.8667,0,4,4,4,1,scroll social media,005.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-44.3515625,1.7675,0,5,5,5,1,listen to music,006.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-75.49804688,1.9857,0,6,6,6,1,daydream,007.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.484375,2.3188,0,7,7,7,1,watch a short animation,008.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.583984375,1.4993,0,8,8,8,1,read a novel,009.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-84.35253906,1.6512,0,9,9,9,1,read the news,010.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,scroll social media,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,-0.770507813,2.9659,2.016,NA,NA,NA,NA,NA,happy,"unhappy, happy","less happy, more happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,100,3.2523,2.0021,NA,NA,NA,NA,NA,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,-47.79785156,3.1535,2.0195,NA,NA,NA,NA,NA,bored,"bored, not bored","more bored, less bored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,-2.896484375,3.5473,2.0068,NA,NA,NA,NA,NA,happy,"unhappy, happy","less happy, more happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,100,3.2604,2.0006,NA,NA,NA,NA,NA,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,-88.63574219,3.1931,2.0099,NA,NA,NA,NA,NA,bored,"bored, not bored","more bored, less bored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,2,1,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,100,3.4352,2.0024,NA,NA,NA,NA,NA,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,-83.21191406,3.3039,2.0198,NA,NA,NA,NA,NA,bored,"bored, not bored","more bored, less bored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,2,1,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,0.352539062,2.469,2.0032,NA,NA,NA,NA,NA,happy,"unhappy, happy","less happy, more happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,0,1,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,100,3.2302,2.0029,NA,NA,NA,NA,NA,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,-97.51367188,3.1764,2.0089,NA,NA,NA,NA,NA,bored,"bored, not bored","more bored, less bored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,2,1,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,-2,2.4668,2.0025,NA,NA,NA,NA,NA,happy,"unhappy, happy","less happy, more happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,0,1,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,1
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,-3.227539063,2.6933,2.0044,NA,NA,NA,NA,NA,happy,"unhappy, happy","less happy, more happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,-100,3.0192,2.0022,NA,NA,NA,NA,NA,bored,"bored, not bored","more bored, less bored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,2,1,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,100,3.2356,2.0021,NA,NA,NA,NA,NA,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,1,1,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,0,1
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,78.74023438,3.4199,2.0181,NA,NA,NA,NA,NA,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,-100,3.1523,2.0032,NA,NA,NA,NA,NA,bored,"bored, not bored","more bored, less bored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,2,1,NA,NA,NA,NA,NA
MDPRF33843,6E4BF34B-ED3B-4675-BDB7-2BDA4A503AFB,2023-10-30_12h58.59.784,VExplicitOC_RO,2022.2.5,MacIntel,59.87665409,-16.94921875,2.9192,2.0138,NA,NA,NA,NA,NA,happy,"unhappy, happy","less happy, more happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,0,1,NA,NA,NA,NA,NA
