"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","Slider_LH.object.2.Value","Random_ID"
"1",1718879713645,"20/06/2024 10:35:13",1718883313645,1,"20/06/2024 12:35:13",178265,9,"questionnaire-txxf",NA,38390080,11284191,NA,"complete",NA,"667403e1ca904020b37afd52","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1920x1080","1920x991",NA,NA,0,"Life Happiness",2,"In","ABKCJDIEHFG",NA,"In","-100","MDPRF24387"
"1",1718880106578,"20/06/2024 10:41:46",1718883706578,1,"20/06/2024 12:41:46",178265,9,"questionnaire-txxf",NA,38390217,11284203,NA,"complete",NA,"6674047b76089b80c636e57a","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1440x728",NA,NA,0,"Life Happiness",2,"In","BCADKEJFIGH",NA,"In","-54","MDPRF46030"
"1",1718880553261,"20/06/2024 10:49:13",1718884153261,1,"20/06/2024 12:49:13",178265,9,"questionnaire-txxf",NA,38390368,11284290,NA,"complete",NA,"66740843fa0af119bfab98e8","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x695",NA,NA,0,"Life Happiness",2,"In","DECFBGAHKIJ",NA,"In","12","MDPRF52921"
"1",1718880600300,"20/06/2024 10:50:00",1718884200300,1,"20/06/2024 12:50:00",178265,9,"questionnaire-txxf",NA,38390376,11284302,NA,"complete",NA,"6674085a4457cfdf7f5126e0","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x730",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJK",NA,"In","70","MDPRF66122"
"1",1718881180660,"20/06/2024 10:59:40",1718884780660,1,"20/06/2024 12:59:40",178265,9,"questionnaire-txxf",NA,38390564,11284371,NA,"complete",NA,"66740b4b1029fffa6dbb6cc1","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1920x1080","1920x929",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKA",NA,"In","-35","MDPRF18638"
"1",1718881513178,"20/06/2024 11:05:13",1718885113178,1,"20/06/2024 13:05:13",178265,9,"questionnaire-txxf",NA,38390734,11284406,NA,"complete",NA,"66740c76cf9d41001af51769","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x673",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCAB",NA,"In","35","MDPRF61449"
"1",1718881816131,"20/06/2024 11:10:16",1718885416131,1,"20/06/2024 13:10:16",178265,9,"questionnaire-txxf",NA,38391039,11284422,NA,"complete",NA,"66740caa47003a88c1be0808","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x706",NA,NA,0,"Life Happiness",2,"In","HIGJFKEADBC",NA,"In","46","MDPRF91602"
"1",1718881898598,"20/06/2024 11:11:38",1718885498598,1,"20/06/2024 13:11:38",178265,9,"questionnaire-txxf",NA,38391101,11284440,NA,"complete",NA,"66740d52fbe1c267a3ea8785","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x730",NA,NA,0,"Life Happiness",2,"In","IJHKGAFBECD",NA,"In","63","MDPRF79155"
"1",1718882436793,"20/06/2024 11:20:36",1718886036793,1,"20/06/2024 13:20:36",178265,9,"questionnaire-txxf",NA,38391373,11284495,NA,"complete",NA,"66740e8762222f11ad5f451b","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1920x1080","1064x996",NA,NA,0,"Life Happiness",2,"In","JKIAHBGCFDE",NA,"In","23","MDPRF01588"
"1",1718882587178,"20/06/2024 11:23:07",1718886187178,1,"20/06/2024 13:23:07",178265,9,"questionnaire-txxf",NA,38391450,11284528,NA,"complete",NA,"6674101512be347a05a0a8ea","computer","Desktop or Laptop","Mac OS 10.14.6","Chrome 94.0.4606.81","1440x900","1440x821",NA,NA,0,"Life Happiness",2,"In","BCADKEJFIGH",NA,"In","-23","MDPRF81666"
