"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.k5rb","randomiser.rz7w","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1727694154241,"30/09/2024 11:02:34",1727697754241,1,"30/09/2024 13:02:34",187387,10,"questionnaire-tzdp",NA,40345464,11776168,NA,"complete",NA,"66fa851e2e8bc46115f57fdc","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 128.0.0.0","1706x959","1706x791",NA,NA,0,"Attention Check 1",2,"In","ABKCJDIEHFG",NA,"In","MH_OCT","seq2","1","2","MDPRF93290"
"1",1727694217003,"30/09/2024 11:03:37",1727697817003,1,"30/09/2024 13:03:37",187387,10,"questionnaire-tzdp",NA,40345479,11776160,NA,"complete",NA,"66fa84d61296466d48fd6112","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1920x1080","1920x957",NA,NA,0,"Attention Check 1",2,"In","BCADKEJFIGH",NA,"In","HM_OCT","seq3","1","2","MDPRF54499"
"1",1727694236430,"30/09/2024 11:03:56",1727697836430,1,"30/09/2024 13:03:56",187387,10,"questionnaire-tzdp",NA,40345491,11776175,NA,"complete",NA,"66fa856af673562c5e012b35","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","2560x1440","2560x1271",NA,NA,0,"Attention Check 1",2,"In","CDBEAFKGJHI",NA,"In","HM_OCT","seq4","1","2","MDPRF44142"
"1",1727694915977,"30/09/2024 11:15:15",1727698515977,1,"30/09/2024 13:15:15",187387,10,"questionnaire-tzdp",NA,40345726,11776288,NA,"complete",NA,"66fa88191ca7e364a290870b","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1920x1080","1920x945",NA,NA,0,"Attention Check 1",2,"In","GHFIEJDKCAB",NA,"In","MH_OCT","seq5","1","2","MDPRF65725"
"1",1727695066770,"30/09/2024 11:17:46",1727698666770,1,"30/09/2024 13:17:46",187387,10,"questionnaire-tzdp",NA,40345757,11776295,NA,"complete",NA,"66fa86c40a72d5544488a29e","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1366x768","1366x641",NA,NA,0,"Attention Check 1",2,"In","HIGJFKEADBC",NA,"In","HM_OCT","seq3","1","2","MDPRF06113"
"1",1727695182110,"30/09/2024 11:19:42",1727680782110,-4,"30/09/2024 03:19:42",187387,10,"questionnaire-tzdp",NA,40345804,11776300,NA,"complete",NA,"66fa886cefd68e0fa5547dae","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1536x864","1536x730",NA,NA,0,"Attention Check 1",2,"In","IJHKGAFBECD",NA,"In","MH_OCT","seq5","1","2","MDPRF91204"
"1",1727702141096,"30/09/2024 13:15:41",1727705741096,1,"30/09/2024 15:15:41",187387,10,"questionnaire-tzdp",NA,40347618,11776807,NA,"complete",NA,"66faa460e3fd478ac533a753","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1440x900","1440x778",NA,NA,0,"Attention Check 1",2,"In","KAJBICHDGEF",NA,"In","MH_OCT","seq2","1","2","MDPRF34773"
"1",1727775799340,"01/10/2024 09:43:19",1727779399340,1,"01/10/2024 11:43:19",187387,10,"questionnaire-tzdp",NA,40368107,11781284,NA,"complete",NA,"66fbc3f43022804c38d5a59d","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x778",NA,NA,0,"Attention Check 1",2,"In","ABKCJDIEHFG",NA,"In","MH_OCT","seq1","1","2","MDPRF69504"
"1",1727776181069,"01/10/2024 09:49:41",1727779781069,1,"01/10/2024 11:49:41",187387,10,"questionnaire-tzdp",NA,40368316,11781342,NA,"complete",NA,"66fbc58352a67082b2d5a616","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1536x864","1536x742",NA,NA,0,"Attention Check 1",2,"In","FGEHDICJBKA",NA,"In","HM_OCT","seq5","1","2","MDPRF16980"
"1",1727776266080,"01/10/2024 09:51:06",1727779866080,1,"01/10/2024 11:51:06",187387,10,"questionnaire-tzdp",NA,40368371,11781354,NA,"complete",NA,"66fbc4a04ff324a5862fbda2","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x812",NA,NA,0,"Attention Check 1",2,"In","GHFIEJDKCAB",NA,"In","HM_OCT","seq1","1","2","MDPRF45341"
