"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.k5rb","randomiser.rz7w","Spreadsheet","Spreadsheet.Name","Spreadsheet.Row","Trial.Number","Screen.Number","Screen.Name","Zone.Name","Zone.Type","Reaction.Time","Reaction.Onset","Response.Type","Response","Attempt","Correct","Incorrect","Dishonest","X.Coordinate","Y.Coordinate","Timed.Out","randomise_blocks","randomise_trials","display","animal","ANSWER","Random_ID"
"1",1727694603345,"30/09/2024 11:10:03",1727694603539,1,"30/09/2024 12:10:03",187387,10,"task-9qxs",NA,40345647,11776160,NA,"complete",NA,"66fa84d61296466d48fd6112","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1920x1080","1920x957",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","BCADKEJFIGH",NA,"In","HM_OCT","seq3","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF54499"
"2",1727694609364,"30/09/2024 11:10:09",1727694609600,1,"30/09/2024 12:10:09",187387,10,"task-9qxs",NA,40345647,11776160,NA,"complete",NA,"66fa84d61296466d48fd6112","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1920x1080","1920x957",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","BCADKEJFIGH",NA,"In","HM_OCT","seq3","Spreadsheet1","Spreadsheet1",5,"",1,"Screen 1","Zone2","response_text_entry",5597.5,NA,"Enter Key","Butterfly",1,1,0,0,NA,NA,NA,NA,1,"task","i_butterfly.png","butterfly","MDPRF54499"
"3",1727694611024,"30/09/2024 11:10:11",1727694611251,1,"30/09/2024 12:10:11",187387,10,"task-9qxs",NA,40345647,11776160,NA,"complete",NA,"66fa84d61296466d48fd6112","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1920x1080","1920x957",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","BCADKEJFIGH",NA,"In","HM_OCT","seq3","Spreadsheet1","Spreadsheet1",3,"",1,"Screen 1","Zone2","response_text_entry",1639.20000004768,NA,"Enter Key","cat",1,1,0,0,NA,NA,NA,NA,1,"task","i_cat.png","cat","MDPRF54499"
"4",1727694611106,"30/09/2024 11:10:11",1727694611255,1,"30/09/2024 12:10:11",187387,10,"task-9qxs",NA,40345647,11776160,NA,"complete",NA,"66fa84d61296466d48fd6112","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1920x1080","1920x957",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","BCADKEJFIGH",NA,"In","HM_OCT","seq3","Spreadsheet1","",NA,"END TASK",NA,"","","",7716,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF54499"
"1",1727694726620,"30/09/2024 11:12:06",1727694725563,1,"30/09/2024 12:12:05",187387,10,"task-9qxs",NA,40345679,11776168,NA,"complete",NA,"66fa851e2e8bc46115f57fdc","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 128.0.0.0","1706x959","1706x791",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","ABKCJDIEHFG",NA,"In","MH_OCT","seq2","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF93290"
"2",1727694735034,"30/09/2024 11:12:15",1727694733920,1,"30/09/2024 12:12:13",187387,10,"task-9qxs",NA,40345679,11776168,NA,"complete",NA,"66fa851e2e8bc46115f57fdc","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 128.0.0.0","1706x959","1706x791",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","ABKCJDIEHFG",NA,"In","MH_OCT","seq2","Spreadsheet1","Spreadsheet1",3,"",1,"Screen 1","Zone2","response_text_entry",8033.30000000005,NA,"Enter Key","cat",1,1,0,0,NA,NA,NA,NA,1,"task","i_cat.png","cat","MDPRF93290"
"3",1727694738151,"30/09/2024 11:12:18",1727694737114,1,"30/09/2024 12:12:17",187387,10,"task-9qxs",NA,40345679,11776168,NA,"complete",NA,"66fa851e2e8bc46115f57fdc","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 128.0.0.0","1706x959","1706x791",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","ABKCJDIEHFG",NA,"In","MH_OCT","seq2","Spreadsheet1","Spreadsheet1",4,"",1,"Screen 1","Zone2","response_text_entry",3177.30000000005,NA,"Enter Key","snake",1,1,0,0,NA,NA,NA,NA,1,"task","i_snake.png","snake","MDPRF93290"
"4",1727694738206,"30/09/2024 11:12:18",1727694737117,1,"30/09/2024 12:12:17",187387,10,"task-9qxs",NA,40345679,11776168,NA,"complete",NA,"66fa851e2e8bc46115f57fdc","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 128.0.0.0","1706x959","1706x791",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","ABKCJDIEHFG",NA,"In","MH_OCT","seq2","Spreadsheet1","",NA,"END TASK",NA,"","","",11554,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF93290"
"1",1727694878576,"30/09/2024 11:14:38",1727694885333,1,"30/09/2024 12:14:45",187387,10,"task-9qxs",NA,40345716,11776175,NA,"complete",NA,"66fa856af673562c5e012b35","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","2560x1440","2560x1271",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","CDBEAFKGJHI",NA,"In","HM_OCT","seq4","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF44142"
"2",1727694894211,"30/09/2024 11:14:54",1727694901037,1,"30/09/2024 12:15:01",187387,10,"task-9qxs",NA,40345716,11776175,NA,"complete",NA,"66fa856af673562c5e012b35","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","2560x1440","2560x1271",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","CDBEAFKGJHI",NA,"In","HM_OCT","seq4","Spreadsheet1","Spreadsheet1",2,"",1,"Screen 1","Zone2","response_text_entry",15387.600000143,NA,"Enter Key","duck",1,1,0,0,NA,NA,NA,NA,1,"task","i_duck.png","duck","MDPRF44142"
