"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.k5rb","randomiser.rz7w","Slider_LH.object.2.Value","Random_ID"
"1",1727694468008,"30/09/2024 11:07:48",1727698068008,1,"30/09/2024 13:07:48",187387,10,"questionnaire-txxf",NA,40345605,11776160,NA,"complete",NA,"66fa84d61296466d48fd6112","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1920x1080","1920x957",NA,NA,0,"Life Happiness",2,"In","BCADKEJFIGH",NA,"In","HM_OCT","seq3","-25","MDPRF54499"
"1",1727694480172,"30/09/2024 11:08:00",1727698080172,1,"30/09/2024 13:08:00",187387,10,"questionnaire-txxf",NA,40345608,11776167,NA,"complete",NA,"66fa84a3a793e074fd93de5d","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1680x1050","1680x962",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJK",NA,"In","HM_OCT","seq4","-79","MDPRF98418"
"1",1727695090221,"30/09/2024 11:18:10",1727698690221,1,"30/09/2024 13:18:10",187387,10,"questionnaire-txxf",NA,40345766,11776288,NA,"complete",NA,"66fa88191ca7e364a290870b","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1920x1080","1920x945",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCAB",NA,"In","MH_OCT","seq5","47","MDPRF65725"
"1",1727695723746,"30/09/2024 11:28:43",1727699323746,1,"30/09/2024 13:28:43",187387,10,"questionnaire-txxf",NA,40345968,11776295,NA,"complete",NA,"66fa86c40a72d5544488a29e","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1366x768","1366x641",NA,NA,0,"Life Happiness",2,"In","HIGJFKEADBC",NA,"In","HM_OCT","seq3","-100","MDPRF06113"
"1",1727696523334,"30/09/2024 11:42:03",1727700123334,1,"30/09/2024 13:42:03",187387,10,"questionnaire-txxf",NA,40346157,11776347,NA,"complete",NA,"66fa874687f56a7364b7397d","computer","Desktop or Laptop","Windows 10","Chrome 128.0.0.0","1280x720","1280x559",NA,NA,0,"Life Happiness",2,"In","JKIAHBGCFDE",NA,"In","HM_OCT","seq1","-74","MDPRF36467"
"1",1727776108989,"01/10/2024 09:48:28",1727779708989,1,"01/10/2024 11:48:28",187387,10,"questionnaire-txxf",NA,40368275,11781292,NA,"complete",NA,"66fbc40e4d79b544383e1715","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1920x1080","1920x919",NA,NA,0,"Life Happiness",2,"In","CDBEAFKGJHI",NA,"In","HM_OCT","seq2","-38","MDPRF82071"
"1",1727776190419,"01/10/2024 09:49:50",1727779790419,1,"01/10/2024 11:49:50",187387,10,"questionnaire-txxf",NA,40368321,11781342,NA,"complete",NA,"66fbc58352a67082b2d5a616","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1536x864","1536x742",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKA",NA,"In","HM_OCT","seq5","91","MDPRF16980"
"1",1727776347671,"01/10/2024 09:52:27",1727779947671,1,"01/10/2024 11:52:27",187387,10,"questionnaire-txxf",NA,40368463,11781284,NA,"complete",NA,"66fbc3f43022804c38d5a59d","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x778",NA,NA,0,"Life Happiness",2,"In","ABKCJDIEHFG",NA,"In","MH_OCT","seq1","-63","MDPRF69504"
"1",1727776476277,"01/10/2024 09:54:36",1727780076277,1,"01/10/2024 11:54:36",187387,10,"questionnaire-txxf",NA,40368595,11781354,NA,"complete",NA,"66fbc4a04ff324a5862fbda2","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x812",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCAB",NA,"In","HM_OCT","seq1","-49","MDPRF45341"
"1",1727776709501,"01/10/2024 09:58:29",1727780309501,1,"01/10/2024 11:58:29",187387,10,"questionnaire-txxf",NA,40368775,11781408,NA,"complete",NA,"66fbc6ecdc4444c5e5b76082","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1536x864","1536x742",NA,NA,0,"Life Happiness",2,"In","CDBEAFKGJHI",NA,"In","MH_OCT","seq5","42","MDPRF45254"
