"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.k5rb","randomiser.rz7w","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Emo","Spreadsheet..LHS_Lab","Spreadsheet..RHS_Lab","Spreadsheet..rand_M","Spreadsheet..Answer","Spreadsheet..C_points","Spreadsheet..L_points","Spreadsheet..W_points","Spreadsheet..rand_G","Manipulation..Spreadsheet","Store..Choice","Store..total","Store..total_score","Store..pounds","Store..total_money","Store..partA","Store..MoneyReward","Store..pointsPR","Random_ID"
"1",1727179677990,"24/09/2024 12:07:57",1727183277990,1,"24/09/2024 14:07:57",187387,9,"task-7wst",NA,40225743,11743984,NA,"complete",NA,"66f2a1421a5dd6b70344aa8d","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1544x872","1536x864",NA,NA,0,"Gambling_GBO",12,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq1","Gamble_Rand_Seq1","Gamble_Rand_Seq1",NA,"","","",NA,"info","START SUBSYSTEM base.component.fullscreenSubsystem",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF10753"
"2",1727179677992,"24/09/2024 12:07:57",1727183277992,1,"24/09/2024 14:07:57",187387,9,"task-7wst",NA,40225743,11743984,NA,"complete",NA,"66f2a1421a5dd6b70344aa8d","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1544x872","1536x864",NA,NA,0,"Gambling_GBO",12,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq1","Gamble_Rand_Seq1","Gamble_Rand_Seq1",NA,"","","",NA,"info","SUBSYSTEM READY base.component.fullscreenSubsystem",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF10753"
"3",1727179678011,"24/09/2024 12:07:58",1727183278011,1,"24/09/2024 14:07:58",187387,9,"task-7wst",NA,40225743,11743984,NA,"complete",NA,"66f2a1421a5dd6b70344aa8d","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1544x872","1536x864",NA,NA,0,"Gambling_GBO",12,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq1","Gamble_Rand_Seq1","Gamble_Rand_Seq1",NA,"","","",NA,"info","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF10753"
"4",1727179679188,"24/09/2024 12:07:59",1727183279188,1,"24/09/2024 14:07:59",187387,9,"task-7wst",NA,40225743,11743984,NA,"complete",NA,"66f2a1421a5dd6b70344aa8d","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1544x872","1536x864",NA,NA,0,"Gambling_GBO",12,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq1","Gamble_Rand_Seq1","Gamble_Rand_Seq1",1,"Intro","Screen 1","u1aumm",1,"continue","",1208.676,1198.676,1208.676,1208.676,1198.676,1208.676,1,1208.676,0,0,NA,"Click To Continue","Continue Button",2,"object-37171","Intro","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF10753"
"5",1727179679838,"24/09/2024 12:07:59",1727183279838,1,"24/09/2024 14:07:59",187387,9,"task-7wst",NA,40225743,11743984,NA,"complete",NA,"66f2a1421a5dd6b70344aa8d","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1544x872","1536x864",NA,NA,0,"Gambling_GBO",12,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq1","Gamble_Rand_Seq1","Gamble_Rand_Seq1",1,"Instructions","Screen 1","rfymdc",1,"continue","",660,650,660,660,650,660,1,660,0,0,NA,"Click To Continue","Continue Button",2,"object-3","Instructions","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF10753"
"6",1727179689821,"24/09/2024 12:08:09",1727183289821,1,"24/09/2024 14:08:09",187387,9,"task-7wst",NA,40225743,11743984,NA,"complete",NA,"66f2a1421a5dd6b70344aa8d","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1544x872","1536x864",NA,NA,0,"Gambling_GBO",12,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq1","Gamble_Rand_Seq1","Gamble_Rand_Seq1",1,"Instructions","Screen 2","x2kpu8",2,"continue","",9994,9990,9994,9994,9990,9994,1,9994,0,0,NA,"Click To Continue","Continue Button",2,"object-22021","Instructions","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF10753"
"7",1727179691011,"24/09/2024 12:08:11",1727183291011,1,"24/09/2024 14:08:11",187387,9,"task-7wst",NA,40225743,11743984,NA,"complete",NA,"66f2a1421a5dd6b70344aa8d","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1544x872","1536x864",NA,NA,0,"Gambling_GBO",12,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq1","Gamble_Rand_Seq1","Gamble_Rand_Seq1",1,"Instructions","Screen 3","o6zm7t",3,"continue","",1193,1183,1193,1193,1183,1193,1,1193,0,0,NA,"Click To Continue","Continue Button",2,"object-225","Instructions","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF10753"
"8",1727179692829,"24/09/2024 12:08:12",1727183292829,1,"24/09/2024 14:08:12",187387,9,"task-7wst",NA,40225743,11743984,NA,"complete",NA,"66f2a1421a5dd6b70344aa8d","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1544x872","1536x864",NA,NA,0,"Gambling_GBO",12,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq1","Gamble_Rand_Seq1","Gamble_Rand_Seq1",1,"Instructions","Screen 4","3hq7c2",4,"continue","",1828,1815,1828,1828,1815,1828,1,1828,0,0,NA,"Click To Continue","Continue Button",4,"object-380","Instructions","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF10753"
"9",1727179693665,"24/09/2024 12:08:13",1727183293665,1,"24/09/2024 14:08:13",187387,9,"task-7wst",NA,40225743,11743984,NA,"complete",NA,"66f2a1421a5dd6b70344aa8d","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1544x872","1536x864",NA,NA,0,"Gambling_GBO",12,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq1","Gamble_Rand_Seq1","Gamble_Rand_Seq1",1,"Instructions","Screen 5","5jisqh",5,"continue","",848,832,848,848,832,848,1,848,0,0,NA,"Click To Continue","Continue Button",2,"object-233","Instructions","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF10753"
"10",1727179694312,"24/09/2024 12:08:14",1727183294312,1,"24/09/2024 14:08:14",187387,9,"task-7wst",NA,40225743,11743984,NA,"complete",NA,"66f2a1421a5dd6b70344aa8d","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1544x872","1536x864",NA,NA,0,"Gambling_GBO",12,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq1","Gamble_Rand_Seq1","Gamble_Rand_Seq1",1,"Instructions","Screen 6","13xe5l",6,"continue","",665,650,665,665,650,665,1,665,0,0,NA,"Click To Continue","Continue Button",2,"object-237","Instructions","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF10753"
