,A : bored,B : constraint,D : end,E : end_taper,F : exp_OCT,G : external OCT,H : external_distraction,I : frequency_ratings,J : frustrated,K : happy_asmood,L : insight,N : mind_wander,O : no_choice_frustration,P : positive_extOCT,Q : time_itself,R : unhappy
1 : MDPRF00542,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2 : MDPRF01388,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
3 : MDPRF01522,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4 : MDPRF01788,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5 : MDPRF02416,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
6 : MDPRF02633,2,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0
7 : MDPRF02660,1,0,0,0,0,1,0,1,3,0,0,0,0,0,1,1
8 : MDPRF02924,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1
9 : MDPRF03278,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
10 : MDPRF03327,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
11 : MDPRF03550,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
12 : MDPRF03607,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13 : MDPRF03784,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
14 : MDPRF04264,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
15 : MDPRF06078,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
16 : MDPRF06113,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
17 : MDPRF06488,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
18 : MDPRF06669,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1
19 : MDPRF06775,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
20 : MDPRF06792,2,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0
21 : MDPRF06847,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22 : MDPRF06993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23 : MDPRF07312,2,0,0,1,1,1,0,0,2,0,0,1,0,0,0,0
24 : MDPRF08060,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25 : MDPRF08102,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
26 : MDPRF08202,3,0,0,0,2,0,0,2,3,0,0,1,0,0,0,1
27 : MDPRF08288,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
28 : MDPRF08332,1,0,0,0,2,1,0,0,2,0,0,1,0,0,0,1
29 : MDPRF09785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30 : MDPRF10050,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
31 : MDPRF10707,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0
32 : MDPRF10753,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
33 : MDPRF11032,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34 : MDPRF11139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35 : MDPRF11650,1,0,0,1,0,0,0,1,2,0,0,0,2,0,0,0
36 : MDPRF11912,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,2
37 : MDPRF12149,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0
38 : MDPRF13332,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
39 : MDPRF13638,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
40 : MDPRF13796,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
41 : MDPRF14962,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42 : MDPRF15084,2,0,0,1,1,0,0,1,2,0,0,1,0,0,1,0
43 : MDPRF15820,1,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0
44 : MDPRF15911,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
45 : MDPRF16012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46 : MDPRF16503,1,0,0,0,3,0,0,1,2,0,0,0,0,0,0,1
47 : MDPRF16774,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
48 : MDPRF16980,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49 : MDPRF17549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50 : MDPRF17567,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
51 : MDPRF17673,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52 : MDPRF18230,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
53 : MDPRF18834,1,0,0,0,0,0,0,1,2,0,0,0,0,0,2,1
54 : MDPRF19879,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1
55 : MDPRF20126,1,0,0,1,0,0,0,0,1,0,0,2,0,0,2,1
