"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.k5rb","randomiser.rz7w","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
"1",1730465624858,"01/11/2024 12:53:44",1730465624858,0,"01/11/2024 12:53:44",193496,6,"questionnaire-qxhw",NA,41047440,11986013,NA,"complete",NA,"6724cd3c613e6534e0c95a7e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x812",NA,NA,0,"Attention Check 2",2,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq3","1-0","1","MDPRF05688"
"1",1730466072557,"01/11/2024 13:01:12",1730466072557,0,"01/11/2024 13:01:12",193496,6,"questionnaire-qxhw",NA,41047581,11986016,NA,"complete",NA,"6724cd42a22f88c072cebf93","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1280x720","1280x585",NA,NA,0,"Attention Check 2",2,"In","BCADKEJFIGH",NA,"In","MH_OCT","seq4","1-0","1","MDPRF56321"
"1",1730466145709,"01/11/2024 13:02:25",1730466145709,0,"01/11/2024 13:02:25",193496,6,"questionnaire-qxhw",NA,41047617,11986070,NA,"complete",NA,"6724cfd1b1886425b73159eb","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1470x956","1470x832",NA,NA,0,"Attention Check 2",2,"In","EFDGCHBIAJK",NA,"In","MH_OCT","seq2","1-0","1","MDPRF67412"
"1",1730466173246,"01/11/2024 13:02:53",1730466173246,0,"01/11/2024 13:02:53",193496,6,"questionnaire-qxhw",NA,41047626,11986060,NA,"complete",NA,"6724cde33934138679257f61","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1494x934","1494x793",NA,NA,0,"Attention Check 2",2,"In","DECFBGAHKIJ",NA,"In","HM_OCT","seq1","1-0","1","MDPRF38095"
"1",1730466593158,"01/11/2024 13:09:53",1730466593158,0,"01/11/2024 13:09:53",193496,6,"questionnaire-qxhw",NA,41047851,11986103,NA,"complete",NA,"6724d1189a4ebf6cba59225c","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 130.0.0.0","1440x900","1440x778",NA,NA,0,"Attention Check 2",2,"In","GHFIEJDKCAB",NA,"In","MH_OCT","seq5","1-0","1","MDPRF14083"
"1",1730466712121,"01/11/2024 13:11:52",1730466712121,0,"01/11/2024 13:11:52",193496,6,"questionnaire-qxhw",NA,41047899,11986104,NA,"complete",NA,"6724d0ec75133c29b72581e0","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1920x1080","1920x945",NA,NA,0,"Attention Check 2",2,"In","HIGJFKEADBC",NA,"In","HM_OCT","seq4","1-0","1","MDPRF43235"
"1",1730467043280,"01/11/2024 13:17:23",1730467043280,0,"01/11/2024 13:17:23",193496,6,"questionnaire-qxhw",NA,41048011,11986097,NA,"complete",NA,"6724cf3b223fc85abf2f32a5","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 130.0.0.0","1470x956","1200x721",NA,NA,0,"Attention Check 2",2,"In","FGEHDICJBKA",NA,"In","MH_OCT","seq3","1-0","1","MDPRF46237"
"1",1730473095489,"01/11/2024 14:58:15",1730473095489,0,"01/11/2024 14:58:15",193496,6,"questionnaire-qxhw",NA,41050609,11986932,NA,"complete",NA,"6724e97e14f13b75e32a4dd2","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1600x900","1600x765",NA,NA,0,"Attention Check 2",2,"In","IJHKGAFBECD",NA,"In","MH_OCT","seq5","1-0","1","MDPRF08085"
"1",1730473940071,"01/11/2024 15:12:20",1730473940071,0,"01/11/2024 15:12:20",193496,6,"questionnaire-qxhw",NA,41050889,11987054,NA,"complete",NA,"6724ecfc81ff83b75562fa5b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 127.0.0.0","1470x956","1470x832",NA,NA,0,"Attention Check 2",2,"In","JKIAHBGCFDE",NA,"In","HM_OCT","seq1","1-0","1","MDPRF69892"
"1",1730505121179,"01/11/2024 23:52:01",1730505121179,0,"01/11/2024 23:52:01",193496,6,"questionnaire-qxhw",NA,41059601,11989570,NA,"complete",NA,"6725680c93d312b6ac186a04","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1470x956","1470x832",NA,NA,0,"Attention Check 2",2,"In","KAJBICHDGEF",NA,"In","HM_OCT","seq2","1-0","1","MDPRF83022"
"1",1730560351569,"02/11/2024 15:12:31",1730560351569,0,"02/11/2024 15:12:31",193496,6,"questionnaire-qxhw",NA,41066757,11991274,NA,"complete",NA,"67263faac09c45e34d940bc5","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1920x1080","1920x991",NA,NA,0,"Attention Check 2",2,"In","ABKCJDIEHFG",NA,"In","MH_OCT","seq1","1-0","1","MDPRF48951"
"1",1730560829836,"02/11/2024 15:20:29",1730546429836,-4,"02/11/2024 07:20:29",193496,6,"questionnaire-qxhw",NA,41066901,11991304,NA,"complete",NA,"6726413fccd3ac4b2f62cddd","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1280x720","1280x559",NA,NA,0,"Attention Check 2",2,"In","DECFBGAHKIJ",NA,"In","HM_OCT","seq4","1-0","1","MDPRF75783"
"1",1730560831835,"02/11/2024 15:20:31",1730560831835,0,"02/11/2024 15:20:31",193496,6,"questionnaire-qxhw",NA,41066903,11991308,NA,"complete",NA,"672640b30d21df547cee43bf","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 130.0.0.0","1920x1080","1411x968",NA,NA,0,"Attention Check 2",2,"In","FGEHDICJBKA",NA,"In","HM_OCT","seq5","1-0","1","MDPRF09587"
"1",1730561138997,"02/11/2024 15:25:38",1730561138997,0,"02/11/2024 15:25:38",193496,6,"questionnaire-qxhw",NA,41067022,11991332,NA,"complete",NA,"672642ac40ba1b1c8a02a17f","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1536x864","1536x695",NA,NA,0,"Attention Check 2",2,"In","IJHKGAFBECD",NA,"In","HM_OCT","seq5","1-0","1","MDPRF84283"
"1",1730561169628,"02/11/2024 15:26:09",1730561169628,0,"02/11/2024 15:26:09",193496,6,"questionnaire-qxhw",NA,41067032,11991329,NA,"complete",NA,"6726428b0d21df547cee4456","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1536x864","1536x738",NA,NA,0,"Attention Check 2",2,"In","JKIAHBGCFDE",NA,"In","MH_OCT","seq3","1-0","1","MDPRF55556"
"1",1730561206088,"02/11/2024 15:26:46",1730561206088,0,"02/11/2024 15:26:46",193496,6,"questionnaire-qxhw",NA,41067052,11991336,NA,"complete",NA,"67264337a05950f0df9892f7","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1280x720","1280x585",NA,NA,0,"Attention Check 2",2,"In","KAJBICHDGEF",NA,"In","MH_OCT","seq4","1-0","1","MDPRF94460"
"1",1730561991175,"02/11/2024 15:39:51",1730561991175,0,"02/11/2024 15:39:51",193496,6,"questionnaire-qxhw",NA,41067069,11991286,NA,"complete",NA,"67263fb0077a6f1611a42eb4","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1366x768","911x427",NA,NA,0,"Attention Check 2",2,"In","CDBEAFKGJHI",NA,"In","HM_OCT","seq2","1-0","1","MDPRF59066"
"1",1730561346607,"02/11/2024 15:29:06",1730561346607,0,"02/11/2024 15:29:06",193496,6,"questionnaire-qxhw",NA,41067104,11991307,NA,"complete",NA,"6726419c40ba1b1c8a02a142","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1536x864","1536x730",NA,NA,0,"Attention Check 2",2,"In","EFDGCHBIAJK",NA,"In","HM_OCT","seq3","1-0","1","MDPRF06979"
"1",1730561380747,"02/11/2024 15:29:40",1730561380747,0,"02/11/2024 15:29:40",193496,6,"questionnaire-qxhw",NA,41067120,11991341,NA,"complete",NA,"6726434e779a8f3bff98916c","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 130.0.0.0","1280x832","1280x712",NA,NA,0,"Attention Check 2",2,"In","ABKCJDIEHFG",NA,"In","MH_OCT","seq1","1-0","1","MDPRF37610"
"1",1730561613751,"02/11/2024 15:33:33",1730561613751,0,"02/11/2024 15:33:33",193496,6,"questionnaire-qxhw",NA,41067220,11991355,NA,"complete",NA,"67264261b58f023fb1e41d13","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1707x960","1365x671",NA,NA,0,"Attention Check 2",2,"In","BCADKEJFIGH",NA,"In","MH_OCT","seq1","1-0","1","MDPRF61088"
"1",1730561657187,"02/11/2024 15:34:17",1730561657187,0,"02/11/2024 15:34:17",193496,6,"questionnaire-qxhw",NA,41067248,11991359,NA,"complete",NA,"672644bce37bd6749fce8f33","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1536x864","1536x703",NA,NA,0,"Attention Check 2",2,"In","CDBEAFKGJHI",NA,"In","HM_OCT","seq3","1-0","1","MDPRF78461"
"1",1730561727611,"02/11/2024 15:35:27",1730561727611,0,"02/11/2024 15:35:27",193496,6,"questionnaire-qxhw",NA,41067298,11991376,NA,"complete",NA,"67264599df20e389b865ceef","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1920x1080","1920x919",NA,NA,0,"Attention Check 2",2,"In","HIGJFKEADBC",NA,"In","MH_OCT","seq2","1-0","1","MDPRF83676"
"1",1730561800336,"02/11/2024 15:36:40",1730561800336,0,"02/11/2024 15:36:40",193496,6,"questionnaire-qxhw",NA,41067329,11991364,NA,"complete",NA,"6726450ee40698a3653098fd","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 129.0.0.0","1536x864","766x743",NA,NA,0,"Attention Check 2",2,"In","FGEHDICJBKA",NA,"In","HM_OCT","seq3","1-0","1","MDPRF94776"
"1",1730561868383,"02/11/2024 15:37:48",1730561868383,0,"02/11/2024 15:37:48",193496,6,"questionnaire-qxhw",NA,41067364,11991362,NA,"complete",NA,"67264518e02f6f9fd49979dd","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 127.0.0.0","1280x800","1280x679",NA,NA,0,"Attention Check 2",2,"In","EFDGCHBIAJK",NA,"In","MH_OCT","seq3","1-0","1","MDPRF53839"
