"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.k5rb","randomiser.rz7w","Spreadsheet","Spreadsheet.Name","Spreadsheet.Row","Trial.Number","Screen.Number","Screen.Name","Zone.Name","Zone.Type","Reaction.Time","Reaction.Onset","Response.Type","Response","Attempt","Correct","Incorrect","Dishonest","X.Coordinate","Y.Coordinate","Timed.Out","randomise_blocks","randomise_trials","display","animal","ANSWER","Random_ID"
"1",1730465606735,"01/11/2024 12:53:26",1730465606620,0,"01/11/2024 12:53:26",193496,6,"task-9qxs",NA,41047433,11986013,NA,"complete",NA,"6724cd3c613e6534e0c95a7e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x812",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq3","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF05688"
"2",1730465619297,"01/11/2024 12:53:39",1730465619235,0,"01/11/2024 12:53:39",193496,6,"task-9qxs",NA,41047433,11986013,NA,"complete",NA,"6724cd3c613e6534e0c95a7e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x812",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq3","Spreadsheet1","Spreadsheet1",5,"",1,"Screen 1","Zone2","response_text_entry",11446.599999994,NA,"Enter Key","Butterfly",1,1,0,0,NA,NA,NA,NA,1,"task","i_butterfly.png","butterfly","MDPRF05688"
"3",1730465622412,"01/11/2024 12:53:42",1730465622336,0,"01/11/2024 12:53:42",193496,6,"task-9qxs",NA,41047433,11986013,NA,"complete",NA,"6724cd3c613e6534e0c95a7e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x812",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq3","Spreadsheet1","Spreadsheet1",3,"",1,"Screen 1","Zone2","response_text_entry",3089.5,NA,"Enter Key","Cat",1,1,0,0,NA,NA,NA,NA,1,"task","i_cat.png","cat","MDPRF05688"
"4",1730465622494,"01/11/2024 12:53:42",1730465622340,0,"01/11/2024 12:53:42",193496,6,"task-9qxs",NA,41047433,11986013,NA,"complete",NA,"6724cd3c613e6534e0c95a7e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x812",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq3","Spreadsheet1","",NA,"END TASK",NA,"","","",15720,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF05688"
"1",1730466055825,"01/11/2024 13:00:55",1730466055616,0,"01/11/2024 13:00:55",193496,6,"task-9qxs",NA,41047573,11986016,NA,"complete",NA,"6724cd42a22f88c072cebf93","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1280x720","1280x585",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","BCADKEJFIGH",NA,"In","MH_OCT","seq4","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF56321"
"2",1730466066456,"01/11/2024 13:01:06",1730466066295,0,"01/11/2024 13:01:06",193496,6,"task-9qxs",NA,41047573,11986016,NA,"complete",NA,"6724cd42a22f88c072cebf93","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1280x720","1280x585",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","BCADKEJFIGH",NA,"In","MH_OCT","seq4","Spreadsheet1","Spreadsheet1",4,"",1,"Screen 1","Zone2","response_text_entry",10480.7999999523,NA,"Enter Key","Snake",1,1,0,0,NA,NA,NA,NA,1,"task","i_snake.png","snake","MDPRF56321"
"3",1730466071534,"01/11/2024 13:01:11",1730466071373,0,"01/11/2024 13:01:11",193496,6,"task-9qxs",NA,41047573,11986016,NA,"complete",NA,"6724cd42a22f88c072cebf93","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1280x720","1280x585",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","BCADKEJFIGH",NA,"In","MH_OCT","seq4","Spreadsheet1","Spreadsheet1",6,"",1,"Screen 1","Zone2","response_text_entry",5060.69999992847,NA,"Enter Key","Elephant",1,1,0,0,NA,NA,NA,NA,1,"task","i_elephant.png","elephant","MDPRF56321"
"4",1730466071577,"01/11/2024 13:01:11",1730466071378,0,"01/11/2024 13:01:11",193496,6,"task-9qxs",NA,41047573,11986016,NA,"complete",NA,"6724cd42a22f88c072cebf93","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1280x720","1280x585",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","BCADKEJFIGH",NA,"In","MH_OCT","seq4","Spreadsheet1","",NA,"END TASK",NA,"","","",15762,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF56321"
"1",1730466134284,"01/11/2024 13:02:14",1730466134149,0,"01/11/2024 13:02:14",193496,6,"task-9qxs",NA,41047611,11986070,NA,"complete",NA,"6724cfd1b1886425b73159eb","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1470x956","1470x832",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","EFDGCHBIAJK",NA,"In","MH_OCT","seq2","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF67412"
"2",1730466140929,"01/11/2024 13:02:20",1730466140702,0,"01/11/2024 13:02:20",193496,6,"task-9qxs",NA,41047611,11986070,NA,"complete",NA,"6724cfd1b1886425b73159eb","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1470x956","1470x832",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","EFDGCHBIAJK",NA,"In","MH_OCT","seq2","Spreadsheet1","Spreadsheet1",7,"",1,"Screen 1","Zone2","response_text_entry",6338.70000004768,NA,"Enter Key","sheep",1,1,0,0,NA,NA,NA,NA,1,"task","i_sheep.png","sheep","MDPRF67412"
