"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.k5rb","randomiser.rz7w","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations..I.understand.that.such.confidentiality.is.limited.if.evidence.of.wrongdoing.or.potential.harm.is.uncovered..In.such.cases.the.researcher.may.be.obliged.to.contact.relevant.statutory.bodies.agencies...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation.at.the.rate.of..9.per.hour...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.hereby.confirm.that.I.am.aged.18.25..speak.fluent.English..and.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
"1",1730465105908,"01/11/2024 12:45:05",1730465105908,0,"01/11/2024 12:45:05",193496,6,"questionnaire-1tsk",NA,41047270,11986013,NA,"complete",NA,"6724cd3c613e6534e0c95a7e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x812",NA,NA,0,"Consent",12,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq3","1","1","1","1","1","1","1","1","1","1","MDPRF05688"
"1",1730465158973,"01/11/2024 12:45:58",1730465158973,0,"01/11/2024 12:45:58",193496,6,"questionnaire-1tsk",NA,41047285,11986016,NA,"complete",NA,"6724cd42a22f88c072cebf93","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1280x720","1280x585",NA,NA,0,"Consent",12,"In","BCADKEJFIGH",NA,"In","MH_OCT","seq4","1","1","1","1","1","1","1","1","1","1","MDPRF56321"
"1",1730465583932,"01/11/2024 12:53:03",1730465583932,0,"01/11/2024 12:53:03",193496,6,"questionnaire-1tsk",NA,41047424,11986060,NA,"complete",NA,"6724cde33934138679257f61","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1494x934","1494x793",NA,NA,0,"Consent",12,"In","DECFBGAHKIJ",NA,"In","HM_OCT","seq1","1","1","1","1","1","1","1","1","1","1","MDPRF38095"
"1",1730465780250,"01/11/2024 12:56:20",1730465780250,0,"01/11/2024 12:56:20",193496,6,"questionnaire-1tsk",NA,41047478,11986070,NA,"complete",NA,"6724cfd1b1886425b73159eb","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1470x956","1470x832",NA,NA,0,"Consent",12,"In","EFDGCHBIAJK",NA,"In","MH_OCT","seq2","1","1","1","1","1","1","1","1","1","1","MDPRF67412"
"1",1730466057389,"01/11/2024 13:00:57",1730466057389,0,"01/11/2024 13:00:57",193496,6,"questionnaire-1tsk",NA,41047574,11986097,NA,"complete",NA,"6724cf3b223fc85abf2f32a5","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 130.0.0.0","1470x956","1200x721",NA,NA,0,"Consent",12,"In","FGEHDICJBKA",NA,"In","MH_OCT","seq3","1","1","1","1","1","1","1","1","1","1","MDPRF46237"
"1",1730466096089,"01/11/2024 13:01:36",1730466096089,0,"01/11/2024 13:01:36",193496,6,"questionnaire-1tsk",NA,41047595,11986103,NA,"complete",NA,"6724d1189a4ebf6cba59225c","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 130.0.0.0","1440x900","1440x778",NA,NA,0,"Consent",12,"In","GHFIEJDKCAB",NA,"In","MH_OCT","seq5","1","1","1","1","1","1","1","1","1","1","MDPRF14083"
"1",1730466100247,"01/11/2024 13:01:40",1730466100247,0,"01/11/2024 13:01:40",193496,6,"questionnaire-1tsk",NA,41047598,11986104,NA,"complete",NA,"6724d0ec75133c29b72581e0","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1920x1080","1920x945",NA,NA,0,"Consent",12,"In","HIGJFKEADBC",NA,"In","HM_OCT","seq4","1","1","1","1","1","1","1","1","1","1","MDPRF43235"
"1",1730472370823,"01/11/2024 14:46:10",1730472370823,0,"01/11/2024 14:46:10",193496,6,"questionnaire-1tsk",NA,41050370,11986932,NA,"complete",NA,"6724e97e14f13b75e32a4dd2","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1600x900","1600x765",NA,NA,0,"Consent",12,"In","IJHKGAFBECD",NA,"In","MH_OCT","seq5","1","1","1","1","1","1","1","1","1","1","MDPRF08085"
"1",1730473353671,"01/11/2024 15:02:33",1730473353671,0,"01/11/2024 15:02:33",193496,6,"questionnaire-1tsk",NA,41050697,11987054,NA,"complete",NA,"6724ecfc81ff83b75562fa5b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 127.0.0.0","1470x956","1470x832",NA,NA,0,"Consent",12,"In","JKIAHBGCFDE",NA,"In","HM_OCT","seq1","1","1","1","1","1","1","1","1","1","1","MDPRF69892"
"1",1730504745621,"01/11/2024 23:45:45",1730504745621,0,"01/11/2024 23:45:45",193496,6,"questionnaire-1tsk",NA,41059536,11989570,NA,"complete",NA,"6725680c93d312b6ac186a04","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1470x956","1470x832",NA,NA,0,"Consent",12,"In","KAJBICHDGEF",NA,"In","HM_OCT","seq2","1","1","1","1","1","1","1","1","1","1","MDPRF83022"
