"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.k5rb","randomiser.rz7w","Slider_LH.object.2.Value","Random_ID"
"1",1730465549666,"01/11/2024 12:52:29",1730465549666,0,"01/11/2024 12:52:29",193496,6,"questionnaire-txxf",NA,41047412,11986013,NA,"complete",NA,"6724cd3c613e6534e0c95a7e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x812",NA,NA,0,"Life Happiness",4,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq3","54","MDPRF05688"
"1",1730465744032,"01/11/2024 12:55:44",1730465744032,0,"01/11/2024 12:55:44",193496,6,"questionnaire-txxf",NA,41047471,11986016,NA,"complete",NA,"6724cd42a22f88c072cebf93","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1280x720","1280x585",NA,NA,0,"Life Happiness",4,"In","BCADKEJFIGH",NA,"In","MH_OCT","seq4","59","MDPRF56321"
"1",1730465850703,"01/11/2024 12:57:30",1730465850703,0,"01/11/2024 12:57:30",193496,6,"questionnaire-txxf",NA,41047496,11986070,NA,"complete",NA,"6724cfd1b1886425b73159eb","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1470x956","1470x832",NA,NA,0,"Life Happiness",4,"In","EFDGCHBIAJK",NA,"In","MH_OCT","seq2","85","MDPRF67412"
"1",1730465863459,"01/11/2024 12:57:43",1730465863459,0,"01/11/2024 12:57:43",193496,6,"questionnaire-txxf",NA,41047500,11986060,NA,"complete",NA,"6724cde33934138679257f61","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1494x934","1494x793",NA,NA,0,"Life Happiness",4,"In","DECFBGAHKIJ",NA,"In","HM_OCT","seq1","71","MDPRF38095"
"1",1730466087733,"01/11/2024 13:01:27",1730466087733,0,"01/11/2024 13:01:27",193496,6,"questionnaire-txxf",NA,41047590,11986097,NA,"complete",NA,"6724cf3b223fc85abf2f32a5","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 130.0.0.0","1470x956","1200x721",NA,NA,0,"Life Happiness",4,"In","FGEHDICJBKA",NA,"In","MH_OCT","seq3","38","MDPRF46237"
"1",1730466190514,"01/11/2024 13:03:10",1730466190514,0,"01/11/2024 13:03:10",193496,6,"questionnaire-txxf",NA,41047633,11986103,NA,"complete",NA,"6724d1189a4ebf6cba59225c","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 130.0.0.0","1440x900","1440x778",NA,NA,0,"Life Happiness",4,"In","GHFIEJDKCAB",NA,"In","MH_OCT","seq5","55","MDPRF14083"
"1",1730466311018,"01/11/2024 13:05:11",1730466311018,0,"01/11/2024 13:05:11",193496,6,"questionnaire-txxf",NA,41047692,11986104,NA,"complete",NA,"6724d0ec75133c29b72581e0","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1920x1080","1920x945",NA,NA,0,"Life Happiness",4,"In","HIGJFKEADBC",NA,"In","HM_OCT","seq4","70","MDPRF43235"
"1",1730472862040,"01/11/2024 14:54:22",1730472862040,0,"01/11/2024 14:54:22",193496,6,"questionnaire-txxf",NA,41050535,11986932,NA,"complete",NA,"6724e97e14f13b75e32a4dd2","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1600x900","1600x765",NA,NA,0,"Life Happiness",4,"In","IJHKGAFBECD",NA,"In","MH_OCT","seq5","99","MDPRF08085"
"1",1730473844495,"01/11/2024 15:10:44",1730473844495,0,"01/11/2024 15:10:44",193496,6,"questionnaire-txxf",NA,41050847,11987054,NA,"complete",NA,"6724ecfc81ff83b75562fa5b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 127.0.0.0","1470x956","1470x832",NA,NA,0,"Life Happiness",4,"In","JKIAHBGCFDE",NA,"In","HM_OCT","seq1","27","MDPRF69892"
"1",1730505105091,"01/11/2024 23:51:45",1730505105091,0,"01/11/2024 23:51:45",193496,6,"questionnaire-txxf",NA,41059597,11989570,NA,"complete",NA,"6725680c93d312b6ac186a04","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1470x956","1470x832",NA,NA,0,"Life Happiness",4,"In","KAJBICHDGEF",NA,"In","HM_OCT","seq2","68","MDPRF83022"
