"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","branch.mcuq","Random_ID"
1,1692094647630,"15/08/2023 10:17",1692098247630,1,"15/08/2023 12:17",140895,9,"questionnaire-tzdp",NA,31188381,NA,"complete",NA,"64db50631956f04e7cca00f0","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1260x840","1261x729",NA,NA,0,"Attention Check 1",2,"In","BCADLEKFJGIH",1,2,"In","MDPRF47214"
1,1692102398397,"15/08/2023 12:26",1692105998397,1,"15/08/2023 14:26",140895,9,"questionnaire-tzdp",NA,31190887,NA,"complete",NA,"64db6ea910e8f3ab36e63856","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Attention Check 1",2,"In","CDBEAFLGKHJI",1,2,"In","MDPRF06342"
1,1692103597675,"15/08/2023 12:46",1692107197675,1,"15/08/2023 14:46",140895,9,"questionnaire-tzdp",NA,31191220,NA,"complete",NA,"64db736e721a14d7eac02c62","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1920x1080","1920x931",NA,NA,0,"Attention Check 1",2,"In","DECFBGAHLIKJ",1,2,"In","MDPRF95341"
1,1692105707997,"15/08/2023 13:21",1692109307997,1,"15/08/2023 15:21",140895,9,"questionnaire-tzdp",NA,31192449,NA,"complete",NA,"64db7a1b5e8603d90be71558","computer","Desktop or Laptop","Linux x86_64","Samsung Internet 22.0","412x915","980x1744",NA,NA,0,"Attention Check 1",2,"In","EFDGCHBIAJLK",1,2,"In","MDPRF85444"
1,1692106162753,"15/08/2023 13:29",1692109762753,1,"15/08/2023 15:29",140895,9,"questionnaire-tzdp",NA,31193146,NA,"complete",NA,"64db7d85f63e59df35a8f7d7","computer","Desktop or Laptop","Windows 10","Edge 115.0.1901.203","1280x720","1225x601",NA,NA,0,"Attention Check 1",2,"In","FGEHDICJBKAL",1,2,"In","MDPRF24628"
1,1692108012483,"15/08/2023 14:00",1692111612483,1,"15/08/2023 16:00",140895,9,"questionnaire-tzdp",NA,31199237,NA,"complete",NA,"64db8407f2ee805a5c359f17","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Attention Check 1",2,"In","GHFIEJDKCLBA",1,2,"In","MDPRF10856"
1,1692117589318,"15/08/2023 16:39",1692121189318,1,"15/08/2023 18:39",140895,9,"questionnaire-tzdp",NA,31208414,NA,"complete",NA,"64dbaa214de3d8ec0e732682","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 115.0.0.0","1024x640","1024x523",NA,NA,0,"Attention Check 1",2,"In","IJHKGLFAEBDC",1,2,"In","MDPRF73117"
1,1692118757542,"15/08/2023 16:59",1692122357542,1,"15/08/2023 18:59",140895,9,"questionnaire-tzdp",NA,31208854,NA,"complete",NA,"64dbaecf340918a827e6c102","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x651",NA,NA,0,"Attention Check 1",2,"In","JKILHAGBFCED",1,2,"In","MDPRF94497"
1,1692121186474,"15/08/2023 17:39",1692124786474,1,"15/08/2023 19:39",140895,9,"questionnaire-tzdp",NA,31209884,NA,"complete",NA,"64dbb81fcb35a513fa6f0a35","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x739",NA,NA,0,"Attention Check 1",2,"In","KLJAIBHCGDFE",1,2,"In","MDPRF15709"
1,1692173044433,"16/08/2023 08:04",1692176644433,1,"16/08/2023 10:04",140895,9,"questionnaire-tzdp",NA,31215064,NA,"complete",NA,"64dc82cd5c737d2b99b512a3","computer","Desktop or Laptop","Windows 10","Edge 115.0.1901.203","1920x1080","1872x1001",NA,NA,0,"Attention Check 1",2,"In","LAKBJCIDHEGF",1,2,"In","MDPRF54475"
1,1692271313001,"17/08/2023 11:21",1692274913001,1,"17/08/2023 13:21",140895,11,"questionnaire-tzdp",NA,31230156,NA,"complete",NA,"64de02b7326b177d85d63964","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1920x1080","1920x931",NA,NA,0,"Attention Check 1",2,"In","ABLCKDJEIFHG",1,2,"","MDPRF78720"
1,1692271906890,"17/08/2023 11:31",1692275506890,1,"17/08/2023 13:31",140895,11,"questionnaire-tzdp",NA,31230365,NA,"complete",NA,"64de04fcb7001124abd6392c","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 115.0.0.0","1440x900","1440x783",NA,NA,0,"Attention Check 1",2,"In","BCADLEKFJGIH",1,2,"","MDPRF91978"
1,1692658023698,"21/08/2023 22:47",1692661623698,1,"22/08/2023 00:47",140895,11,"questionnaire-tzdp",NA,31275084,NA,"complete",NA,"64e3e94c705556bd8c2579b1","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1920x1080","1920x931",NA,NA,0,"Attention Check 1",2,"In","GHFIEJDKCLBA",1,2,"","MDPRF28694"
1,1692620350729,"21/08/2023 12:19",1692623950729,1,"21/08/2023 14:19",140895,11,"questionnaire-tzdp",NA,31267072,NA,"complete",NA,"64e35442fc5451919b22bc06","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1536x739",NA,NA,0,"Attention Check 1",2,"In","FGEHDICJBKAL",1,2,"","MDPRF90079"
1,1692601739667,"21/08/2023 07:08",1692605339667,1,"21/08/2023 09:08",140895,11,"questionnaire-tzdp",NA,31264861,NA,"complete",NA,"64e30d0ac2c662ff2bf16f3c","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 115.0.0.0","1440x900","1366x735",NA,NA,0,"Attention Check 1",2,"In","EFDGCHBIAJLK",1,2,"","MDPRF04190"
1,1692486873707,"19/08/2023 23:14",1692490473707,1,"20/08/2023 01:14",140895,11,"questionnaire-tzdp",NA,31259761,NA,"complete",NA,"64e14c8b312d89f6e54938d6","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.5","1440x900","1440x710",NA,NA,0,"Attention Check 1",2,"In","DECFBGAHLIKJ",1,2,"","MDPRF17949"
1,1692454997870,"19/08/2023 14:23",1692458597870,1,"19/08/2023 16:23",140895,11,"questionnaire-tzdp",NA,31255815,NA,"complete",NA,"64e0d026da5528b0f8d9f4e0","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1536x707",NA,NA,0,"Attention Check 1",2,"In","CDBEAFLGKHJI",1,2,"","MDPRF66080"
