"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","Slider_LH.object.2.Value","branch.mcuq","Random_ID"
1,1692095275765,"15/08/2023 10:27",1692098875765,1,"15/08/2023 12:27",140895,9,"questionnaire-txxf",NA,31188544,NA,"complete",NA,"64db50631956f04e7cca00f0","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1260x840","1261x729",NA,NA,0,"Life Happiness",2,"In","BCADLEKFJGIH",70,"In","MDPRF47214"
1,1692102748713,"15/08/2023 12:32",1692106348713,1,"15/08/2023 14:32",140895,9,"questionnaire-txxf",NA,31190961,NA,"complete",NA,"64db6ea910e8f3ab36e63856","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Life Happiness",2,"In","CDBEAFLGKHJI",-20,"In","MDPRF06342"
1,1692104105727,"15/08/2023 12:55",1692107705727,1,"15/08/2023 14:55",140895,9,"questionnaire-txxf",NA,31191339,NA,"complete",NA,"64db736e721a14d7eac02c62","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1920x1080","1920x931",NA,NA,0,"Life Happiness",2,"In","DECFBGAHLIKJ",59,"In","MDPRF95341"
1,1692105878521,"15/08/2023 13:24",1692109478521,1,"15/08/2023 15:24",140895,9,"questionnaire-txxf",NA,31192726,NA,"complete",NA,"64db7a1b5e8603d90be71558","computer","Desktop or Laptop","Linux x86_64","Samsung Internet 22.0","412x915","980x1744",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJLK",-26,"In","MDPRF85444"
1,1692106253900,"15/08/2023 13:30",1692109853900,1,"15/08/2023 15:30",140895,9,"questionnaire-txxf",NA,31193246,NA,"complete",NA,"64db7d85f63e59df35a8f7d7","computer","Desktop or Laptop","Windows 10","Edge 115.0.1901.203","1280x720","1225x601",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKAL",-28,"In","MDPRF24628"
1,1692108022714,"15/08/2023 14:00",1692111622714,1,"15/08/2023 16:00",140895,9,"questionnaire-txxf",NA,31199299,NA,"complete",NA,"64db8407f2ee805a5c359f17","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCLBA",58,"In","MDPRF10856"
1,1692117824841,"15/08/2023 16:43",1692121424841,1,"15/08/2023 18:43",140895,9,"questionnaire-txxf",NA,31208506,NA,"complete",NA,"64dbaa214de3d8ec0e732682","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 115.0.0.0","1024x640","1024x523",NA,NA,0,"Life Happiness",2,"In","IJHKGLFAEBDC",23,"In","MDPRF73117"
1,1692119122563,"15/08/2023 17:05",1692122722563,1,"15/08/2023 19:05",140895,9,"questionnaire-txxf",NA,31208980,NA,"complete",NA,"64dbaecf340918a827e6c102","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x651",NA,NA,0,"Life Happiness",2,"In","JKILHAGBFCED",47,"In","MDPRF94497"
1,1692121459636,"15/08/2023 17:44",1692125059636,1,"15/08/2023 19:44",140895,9,"questionnaire-txxf",NA,31210001,NA,"complete",NA,"64dbb81fcb35a513fa6f0a35","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x739",NA,NA,0,"Life Happiness",2,"In","KLJAIBHCGDFE",-20,"In","MDPRF15709"
1,1692173821344,"16/08/2023 08:17",1692177421344,1,"16/08/2023 10:17",140895,9,"questionnaire-txxf",NA,31215150,NA,"complete",NA,"64dc82cd5c737d2b99b512a3","computer","Desktop or Laptop","Windows 10","Edge 115.0.1901.203","1920x1080","1872x1001",NA,NA,0,"Life Happiness",2,"In","LAKBJCIDHEGF",-53,"In","MDPRF54475"
1,1692272966056,"17/08/2023 11:49",1692276566056,1,"17/08/2023 13:49",140895,11,"questionnaire-txxf",NA,31230632,NA,"complete",NA,"64de02b7326b177d85d63964","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1920x1080","1920x931",NA,NA,0,"Life Happiness",2,"In","ABLCKDJEIFHG",-50,"","MDPRF78720"
1,1692272431999,"17/08/2023 11:40",1692276031999,1,"17/08/2023 13:40",140895,11,"questionnaire-txxf",NA,31230497,NA,"complete",NA,"64de04fcb7001124abd6392c","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 115.0.0.0","1440x900","1440x783",NA,NA,0,"Life Happiness",2,"In","BCADLEKFJGIH",54,"","MDPRF91978"
1,1692658030278,"21/08/2023 22:47",1692661630278,1,"22/08/2023 00:47",140895,11,"questionnaire-txxf",NA,31275085,NA,"complete",NA,"64e3e94c705556bd8c2579b1","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1920x1080","1920x931",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCLBA",-27,"","MDPRF28694"
1,1692620593104,"21/08/2023 12:23",1692624193104,1,"21/08/2023 14:23",140895,11,"questionnaire-txxf",NA,31267103,NA,"complete",NA,"64e35442fc5451919b22bc06","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1536x739",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKAL",76,"","MDPRF90079"
1,1692602011201,"21/08/2023 07:13",1692605611201,1,"21/08/2023 09:13",140895,11,"questionnaire-txxf",NA,31264872,NA,"complete",NA,"64e30d0ac2c662ff2bf16f3c","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 115.0.0.0","1440x900","1366x735",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJLK",58,"","MDPRF04190"
1,1692487478568,"19/08/2023 23:24",1692491078568,1,"20/08/2023 01:24",140895,11,"questionnaire-txxf",NA,31259775,NA,"complete",NA,"64e14c8b312d89f6e54938d6","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.5","1440x900","1440x710",NA,NA,0,"Life Happiness",2,"In","DECFBGAHLIKJ",15,"","MDPRF17949"
