"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others.Quantised","Multiple.Choice.Grid.object.2.Often.lose.temper","Multiple.Choice.Grid.object.2.Often.lose.temper.Quantised","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time.Quantised","Multiple.Choice.Grid.object.2.Angry.most.of.the.time","Multiple.Choice.Grid.object.2.Angry.most.of.the.time.Quantised","Multiple.Choice.Grid.object.2.Get.angry.frequently","Multiple.Choice.Grid.object.2.Get.angry.frequently.Quantised","Multiple.Choice.Grid.object.2.Lose.temper.easily","Multiple.Choice.Grid.object.2.Lose.temper.easily.Quantised","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems.Quantised","Random_ID"
"1",1694023547068,"06/09/2023 18:05:47",1694009147068,-4,"06/09/2023 10:05:47",142246,8,"questionnaire-79c5",NA,31533630,9331540,NA,"complete","mdhysq","30LB5CDZNI9BLS09MR96WYV2B5IZ0X","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"ARI",2,"In","ABKCJDIEHFG",NA,"Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Somewhat true","2","Not true","1","SUPAMT52969"
"1",1694024102760,"06/09/2023 18:15:02",1694009702760,-4,"06/09/2023 10:15:02",142246,8,"questionnaire-79c5",NA,31533895,9331580,NA,"complete","aszmrz","3DI28L7YXGDDHMUVMNZTPTDUSRPE1J","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"ARI",2,"In","BCADKEJFIGH",NA,"Certainly true","3","Somewhat true","2","Certainly true","3","Somewhat true","2","Somewhat true","2","Somewhat true","2","Certainly true","3","SUPAMT58485"
"1",1694045940189,"07/09/2023 00:19:00",1694031540189,-4,"06/09/2023 16:19:00",142246,8,"questionnaire-79c5",NA,31534002,9331600,NA,"complete","zxbeud","3L0KT67Y8KFBHBAGZ7Q7SXSJZIJSY1","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"ARI",2,"In","CDBEAFKGJHI",NA,"Somewhat true","2","Not true","1","Somewhat true","2","Somewhat true","2","Not true","1","Somewhat true","2","Not true","1","SUPAMT04349"
"1",1694029172810,"06/09/2023 19:39:32",1694011172810,-5,"06/09/2023 09:39:32",142246,8,"questionnaire-79c5",NA,31534851,9331688,NA,"complete","wqkjju","3IKZ72A5BAF8171GMLHX4IBX77HNFI","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1707x960","1366x668",NA,NA,0,"ARI",2,"In","EFDGCHBIAJK",NA,"Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPAMT54694"
"1",1694025753747,"06/09/2023 18:42:33",1694011353747,-4,"06/09/2023 10:42:33",142246,8,"questionnaire-79c5",NA,31534959,9331703,NA,"complete","hieajp","3HVVDCPGTKRCWBNVO7VX22O5Z7KTYO","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1517x765",NA,NA,0,"ARI",2,"In","FGEHDICJBKA",NA,"Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPAMT05187"
"1",1694052448196,"07/09/2023 02:07:28",1694038048196,-4,"06/09/2023 18:07:28",142246,8,"questionnaire-79c5",NA,31536830,9332062,NA,"complete","jkjqop","3BV8HQ2ZZ205YVEGCO9OO6EKE2KA6O","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"ARI",2,"In","GHFIEJDKCAB",NA,"Somewhat true","2","Somewhat true","2","Not true","1","Somewhat true","2","Somewhat true","2","Somewhat true","2","Not true","1","SUPAMT57890"
"1",1694043168858,"06/09/2023 23:32:48",1694028768858,-4,"06/09/2023 15:32:48",142246,8,"questionnaire-79c5",NA,31542198,9332792,NA,"complete","ovgzzt","3TS1AR6UQWDJYM9T6E088LP77EKF7F","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1728x1117","1352x878",NA,NA,0,"ARI",2,"In","IJHKGAFBECD",NA,"Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPAMT82251"
"1",1694050628042,"07/09/2023 01:37:08",1694036228042,-4,"06/09/2023 17:37:08",142246,8,"questionnaire-79c5",NA,31544842,9333115,NA,"complete","gaylyz","3NXNZ5RS1GWAXCIG3S0GYP3W3W279N","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x720","1280x603",NA,NA,0,"ARI",2,"In","JKIAHBGCFDE",NA,"Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPAMT39501"
"1",1694121284117,"07/09/2023 21:14:44",1694106884117,-4,"07/09/2023 13:14:44",142246,8,"questionnaire-79c5",NA,31560159,9335361,NA,"complete","oycgnz","3X31TUMD73LRNS4N39MX2O3E1OUL1H","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"ARI",2,"In","KAJBICHDGEF",NA,"Somewhat true","2","Certainly true","3","Somewhat true","2","Certainly true","3","Not true","1","Somewhat true","2","Not true","1","SUPAMT58446"
"1",1694118192656,"07/09/2023 20:23:12",1694103792656,-4,"07/09/2023 12:23:12",142246,8,"questionnaire-79c5",NA,31567489,9337068,NA,"complete","mevyjh","3ZGVPD4G6ZGC11X0KTXGG9X76JLZTJ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"ARI",2,"In","ABKCJDIEHFG",NA,"Somewhat true","2","Somewhat true","2","Certainly true","3","Somewhat true","2","Certainly true","3","Somewhat true","2","Somewhat true","2","SUPAMT28732"
