"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1694024289685,"06/09/2023 18:18:09",1694009889685,-4,"06/09/2023 10:18:09",142246,8,"questionnaire-uu2n",NA,31534019,9331540,NA,"complete","mdhysq","30LB5CDZNI9BLS09MR96WYV2B5IZ0X","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"BIQ (Charlotte)",2,"In","ABKCJDIEHFG",NA,"Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPAMT52969"
"2",1694024346866,"06/09/2023 18:19:06",1694009946866,-4,"06/09/2023 10:19:06",142246,8,"questionnaire-uu2n",NA,31534019,9331540,NA,"complete","mdhysq","30LB5CDZNI9BLS09MR96WYV2B5IZ0X","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"BIQ (Charlotte)",2,"In","ABKCJDIEHFG",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",57187.655,57184.017,57187.655,57187.655,57184.017,57187.655,1,57187.655,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPAMT52969"
"3",1694024346869,"06/09/2023 18:19:06",1694009946869,-4,"06/09/2023 10:19:06",142246,8,"questionnaire-uu2n",NA,31534019,9331540,NA,"complete","mdhysq","30LB5CDZNI9BLS09MR96WYV2B5IZ0X","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"BIQ (Charlotte)",2,"In","ABKCJDIEHFG",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","7",10444.515,57184.017,57196.155,10444.515,57184.017,57196.155,1,10444.515,46751.64,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPAMT52969"
"4",1694024346869,"06/09/2023 18:19:06",1694009946869,-4,"06/09/2023 10:19:06",142246,8,"questionnaire-uu2n",NA,31534019,9331540,NA,"complete","mdhysq","30LB5CDZNI9BLS09MR96WYV2B5IZ0X","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"BIQ (Charlotte)",2,"In","ABKCJDIEHFG",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","7",17616.57,57184.017,57196.5549999762,17616.57,57184.017,57196.5549999762,1,17616.57,39579.9849999762,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPAMT52969"
"5",1694024346869,"06/09/2023 18:19:06",1694009946869,-4,"06/09/2023 10:19:06",142246,8,"questionnaire-uu2n",NA,31534019,9331540,NA,"complete","mdhysq","30LB5CDZNI9BLS09MR96WYV2B5IZ0X","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"BIQ (Charlotte)",2,"In","ABKCJDIEHFG",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","1",27862.843,57184.017,57196.9549999523,27862.843,57184.017,57196.9549999523,1,27862.843,29334.1119999523,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPAMT52969"
"6",1694024532901,"06/09/2023 18:22:12",1694010132901,-4,"06/09/2023 10:22:12",142246,8,"questionnaire-uu2n",NA,31534019,9331540,NA,"complete","mdhysq","30LB5CDZNI9BLS09MR96WYV2B5IZ0X","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"BIQ (Charlotte)",2,"In","ABKCJDIEHFG",NA,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",186044.238000024,186028.952,186044.238000024,186044.238000024,186028.952,186044.238000024,1,186044.238000024,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPAMT52969"
"7",1694024532904,"06/09/2023 18:22:12",1694010132904,-4,"06/09/2023 10:22:12",142246,8,"questionnaire-uu2n",NA,31534019,9331540,NA,"complete","mdhysq","30LB5CDZNI9BLS09MR96WYV2B5IZ0X","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"BIQ (Charlotte)",2,"In","ABKCJDIEHFG",NA,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","8",8443.194,186028.952,186045.618,8443.194,186028.952,186045.618,1,8443.194,177602.424,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPAMT52969"
"8",1694024532904,"06/09/2023 18:22:12",1694010132904,-4,"06/09/2023 10:22:12",142246,8,"questionnaire-uu2n",NA,31534019,9331540,NA,"complete","mdhysq","30LB5CDZNI9BLS09MR96WYV2B5IZ0X","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"BIQ (Charlotte)",2,"In","ABKCJDIEHFG",NA,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","6",178669.149,186028.952,186045.618,178669.149,186028.952,186045.618,1,178669.149,7376.46900000004,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPAMT52969"
"9",1694024532905,"06/09/2023 18:22:12",1694010132905,-4,"06/09/2023 10:22:12",142246,8,"questionnaire-uu2n",NA,31534019,9331540,NA,"complete","mdhysq","30LB5CDZNI9BLS09MR96WYV2B5IZ0X","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"BIQ (Charlotte)",2,"In","ABKCJDIEHFG",NA,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","6",184633.486,186028.952,186045.618,184633.486,186028.952,186045.618,1,184633.486,1412.13200000004,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPAMT52969"
"10",1694024582828,"06/09/2023 18:23:02",1694010182828,-4,"06/09/2023 10:23:02",142246,8,"questionnaire-uu2n",NA,31534019,9331540,NA,"complete","mdhysq","30LB5CDZNI9BLS09MR96WYV2B5IZ0X","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"BIQ (Charlotte)",2,"In","ABKCJDIEHFG",NA,"Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",49942.186,49925.791,49942.186,49942.186,49925.791,49942.186,1,49942.186,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPAMT52969"
