"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","Slider_LH.object.2.Value","Random_ID"
"1",1694024588599,"06/09/2023 18:23:08",1694010188599,-4,"06/09/2023 10:23:08",142246,8,"questionnaire-txxf",NA,31534221,9331540,NA,"complete","mdhysq","30LB5CDZNI9BLS09MR96WYV2B5IZ0X","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Life Happiness",2,"In","ABKCJDIEHFG",NA,"58","SUPAMT52969"
"1",1694024516148,"06/09/2023 18:21:56",1694010116148,-4,"06/09/2023 10:21:56",142246,8,"questionnaire-txxf",NA,31534140,9331580,NA,"complete","aszmrz","3DI28L7YXGDDHMUVMNZTPTDUSRPE1J","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"Life Happiness",2,"In","BCADKEJFIGH",NA,"32","SUPAMT58485"
"1",1694045955401,"07/09/2023 00:19:15",1694031555401,-4,"06/09/2023 16:19:15",142246,8,"questionnaire-txxf",NA,31534016,9331600,NA,"complete","zxbeud","3L0KT67Y8KFBHBAGZ7Q7SXSJZIJSY1","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","CDBEAFKGJHI",NA,"45","SUPAMT04349"
"1",1694028892015,"06/09/2023 19:34:52",1694010892015,-5,"06/09/2023 09:34:52",142246,8,"questionnaire-txxf",NA,31534680,9331688,NA,"complete","wqkjju","3IKZ72A5BAF8171GMLHX4IBX77HNFI","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1707x960","1366x668",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJK",NA,"45","SUPAMT54694"
"1",1694025377109,"06/09/2023 18:36:17",1694010977109,-4,"06/09/2023 10:36:17",142246,8,"questionnaire-txxf",NA,31534731,9331703,NA,"complete","hieajp","3HVVDCPGTKRCWBNVO7VX22O5Z7KTYO","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1517x765",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKA",NA,"-87","SUPAMT05187"
"1",1694052199100,"07/09/2023 02:03:19",1694037799100,-4,"06/09/2023 18:03:19",142246,8,"questionnaire-txxf",NA,31536765,9332062,NA,"complete","jkjqop","3BV8HQ2ZZ205YVEGCO9OO6EKE2KA6O","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCAB",NA,"81","SUPAMT57890"
"1",1694043188632,"06/09/2023 23:33:08",1694028788632,-4,"06/09/2023 15:33:08",142246,8,"questionnaire-txxf",NA,31542207,9332792,NA,"complete","ovgzzt","3TS1AR6UQWDJYM9T6E088LP77EKF7F","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1728x1117","1352x878",NA,NA,0,"Life Happiness",2,"In","IJHKGAFBECD",NA,"-16","SUPAMT82251"
"1",1694050800713,"07/09/2023 01:40:00",1694036400713,-4,"06/09/2023 17:40:00",142246,8,"questionnaire-txxf",NA,31544879,9333115,NA,"complete","gaylyz","3NXNZ5RS1GWAXCIG3S0GYP3W3W279N","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x720","1280x603",NA,NA,0,"Life Happiness",2,"In","JKIAHBGCFDE",NA,"75","SUPAMT39501"
"1",1694121720886,"07/09/2023 21:22:00",1694107320886,-4,"07/09/2023 13:22:00",142246,8,"questionnaire-txxf",NA,31560334,9335361,NA,"complete","oycgnz","3X31TUMD73LRNS4N39MX2O3E1OUL1H","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","KAJBICHDGEF",NA,"49","SUPAMT58446"
"1",1694119243084,"07/09/2023 20:40:43",1694104843084,-4,"07/09/2023 12:40:43",142246,8,"questionnaire-txxf",NA,31568139,9337068,NA,"complete","mevyjh","3ZGVPD4G6ZGC11X0KTXGG9X76JLZTJ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","ABKCJDIEHFG",NA,"50","SUPAMT28732"
"1",1694163778316,"08/09/2023 09:02:58",1694149378316,-4,"08/09/2023 01:02:58",142246,8,"questionnaire-txxf",NA,31578802,9339308,NA,"complete","yyjdxn","34BBWHLWHGAIYSCKFUE53Y1GER9WIZ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x720","1280x571",NA,NA,0,"Life Happiness",2,"In","BCADKEJFIGH",NA,"15","SUPAMT93300"
