"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1694117930375,"07/09/2023 20:18:50",1694092730375,-7,"07/09/2023 06:18:50",142342,3,"questionnaire-tzdp",NA,31560251,9335366,NA,"complete","xjntzu","3R9WASFE25F2IWFZP9SRZ5I6H7LZFF","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","ABKCJDIEHFG",NA,"1","2","SUPAMT03527"
"1",1694125166985,"07/09/2023 22:19:26",1694107166985,-5,"07/09/2023 12:19:26",142342,3,"questionnaire-tzdp",NA,31569532,9337329,NA,"complete","ownfuv","378XPAWRUICLRF9HEPIDL94PMQ8IAC","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1234x731",NA,NA,0,"Attention Check 1",2,"In","CDBEAFKGJHI",NA,"1","2","SUPAMT50322"
"1",1694122941602,"07/09/2023 21:42:21",1694108541602,-4,"07/09/2023 13:42:21",142342,3,"questionnaire-tzdp",NA,31570561,9337506,NA,"complete","wvfrhs","3VNL7UK1XLI6WK60JH39DHHPWNMFTQ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1225x726",NA,NA,0,"Attention Check 1",2,"In","DECFBGAHKIJ",NA,"1","2","SUPAMT34462"
"1",1694124231008,"07/09/2023 22:03:51",1694109831008,-4,"07/09/2023 14:03:51",142342,3,"questionnaire-tzdp",NA,31571851,9337754,NA,"complete","xkyeqk","3TVRFO09GQEZDTPGA274XX7F4ZSXLU","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","EFDGCHBIAJK",NA,"1","2","SUPAMT65847"
"1",1694137912193,"08/09/2023 01:51:52",1694112712193,-7,"07/09/2023 11:51:52",142342,3,"questionnaire-tzdp",NA,31573468,9338143,NA,"complete","zvfati","","computer","Desktop or Laptop","Windows 10","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"Attention Check 1",2,"In","FGEHDICJBKA",NA,"1","2","SUPAMT67941"
"1",1694128726399,"07/09/2023 23:18:46",1694114326399,-4,"07/09/2023 15:18:46",142342,3,"questionnaire-tzdp",NA,31574146,9338259,NA,"complete","gnzhav","3X1FV8S5J3QRNC6KZW96WK5MS3KGVI","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","GHFIEJDKCAB",NA,"1","2","SUPAMT16716"
"1",1694153595259,"08/09/2023 06:13:15",1694128395259,-7,"07/09/2023 16:13:15",142342,3,"questionnaire-tzdp",NA,31577535,9339002,NA,"complete","eddpzh","3HMVI3QICPRBNRBMMOBNWW5AA5A1Y5","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x651",NA,NA,0,"Attention Check 1",2,"In","HIGJFKEADBC",NA,"1","2","SUPAMT43003"
"1",1694194689488,"08/09/2023 17:38:09",1694180289488,-4,"08/09/2023 09:38:09",142342,3,"questionnaire-tzdp",NA,31590010,9340875,NA,"complete","gmniep","3LQ8PUHQFRR012HVKVS52VRTZ5NHIF","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","IJHKGAFBECD",NA,"1","2","SUPAMT23519"
"1",1694194750584,"08/09/2023 17:39:10",1694180350584,-4,"08/09/2023 09:39:10",142342,3,"questionnaire-tzdp",NA,31590042,9340882,NA,"complete","kjtsxz","3DBQWDE4YCXGZA8RG94OI6KKIZ6N5A","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","JKIAHBGCFDE",NA,"1","2","SUPAMT12467"
"1",1694194848591,"08/09/2023 17:40:48",1694180448591,-4,"08/09/2023 09:40:48",142342,3,"questionnaire-tzdp",NA,31590078,9340884,NA,"complete","jpkeep","36NEMU28XLC4UB2B09CXVR8XX7LWMN","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","KAJBICHDGEF",NA,"1","2","SUPAMT43905"
