"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
"1",1694118725819,"07/09/2023 20:32:05",1694093525819,-7,"07/09/2023 06:32:05",142342,3,"questionnaire-qxhw",NA,31560567,9335366,NA,"complete","xjntzu","3R9WASFE25F2IWFZP9SRZ5I6H7LZFF","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","ABKCJDIEHFG",NA,"1-0","1","SUPAMT03527"
"1",1694125516691,"07/09/2023 22:25:16",1694107516691,-5,"07/09/2023 12:25:16",142342,3,"questionnaire-qxhw",NA,31569760,9337329,NA,"complete","ownfuv","378XPAWRUICLRF9HEPIDL94PMQ8IAC","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1234x731",NA,NA,0,"Attention Check 2",2,"In","CDBEAFKGJHI",NA,"1-0","1","SUPAMT50322"
"1",1694124064065,"07/09/2023 22:01:04",1694109664065,-4,"07/09/2023 14:01:04",142342,3,"questionnaire-qxhw",NA,31571718,9337506,NA,"complete","wvfrhs","3VNL7UK1XLI6WK60JH39DHHPWNMFTQ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1225x726",NA,NA,0,"Attention Check 2",2,"In","DECFBGAHKIJ",NA,"1-0","1","SUPAMT34462"
"1",1694126579006,"07/09/2023 22:42:59",1694112179006,-4,"07/09/2023 14:42:59",142342,3,"questionnaire-qxhw",NA,31573220,9337754,NA,"complete","xkyeqk","3TVRFO09GQEZDTPGA274XX7F4ZSXLU","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","EFDGCHBIAJK",NA,"1-0","1","SUPAMT65847"
"1",1694140018751,"08/09/2023 02:26:58",1694114818751,-7,"07/09/2023 12:26:58",142342,3,"questionnaire-qxhw",NA,31574305,9338143,NA,"complete","zvfati","","computer","Desktop or Laptop","Windows 10","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"Attention Check 2",2,"In","FGEHDICJBKA",NA,"1-0","1","SUPAMT67941"
"1",1694130557507,"07/09/2023 23:49:17",1694116157507,-4,"07/09/2023 15:49:17",142342,3,"questionnaire-qxhw",NA,31574666,9338259,NA,"complete","gnzhav","3X1FV8S5J3QRNC6KZW96WK5MS3KGVI","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","GHFIEJDKCAB",NA,"1-0","1","SUPAMT16716"
"1",1694154340010,"08/09/2023 06:25:40",1694129140010,-7,"07/09/2023 16:25:40",142342,3,"questionnaire-qxhw",NA,31577597,9339002,NA,"complete","eddpzh","3HMVI3QICPRBNRBMMOBNWW5AA5A1Y5","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x651",NA,NA,0,"Attention Check 2",2,"In","HIGJFKEADBC",NA,"1-0","1","SUPAMT43003"
"1",1694195268273,"08/09/2023 17:47:48",1694180868273,-4,"08/09/2023 09:47:48",142342,3,"questionnaire-qxhw",NA,31590250,9340882,NA,"complete","kjtsxz","3DBQWDE4YCXGZA8RG94OI6KKIZ6N5A","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","JKIAHBGCFDE",NA,"0-2","3","SUPAMT12467"
"1",1694195865333,"08/09/2023 17:57:45",1694181465333,-4,"08/09/2023 09:57:45",142342,3,"questionnaire-qxhw",NA,31590510,9340875,NA,"complete","gmniep","3LQ8PUHQFRR012HVKVS52VRTZ5NHIF","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","IJHKGAFBECD",NA,"1-0","1","SUPAMT23519"
"1",1694196217494,"08/09/2023 18:03:37",1694181817494,-4,"08/09/2023 10:03:37",142342,3,"questionnaire-qxhw",NA,31590687,9340884,NA,"complete","jpkeep","36NEMU28XLC4UB2B09CXVR8XX7LWMN","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","KAJBICHDGEF",NA,"1-0","1","SUPAMT43905"
