"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","randomiser.a4zk","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
"1",1695735422472,"26/09/2023 13:37:02",1695721022472,-4,"26/09/2023 05:37:02",144339,3,"questionnaire-qxhw",NA,31871843,9423269,NA,"complete","xwepsk","3L4D84MIL5RWWD112DD5EW6TE7TJHM","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x800","1280x683",NA,NA,0,"Attention Check 2",2,"In","JKIAHBGCFDE",NA,"LH","1-0","1","SUPAMT97669"
"1",1695736250804,"26/09/2023 13:50:50",1695721850804,-4,"26/09/2023 05:50:50",144339,3,"questionnaire-qxhw",NA,31872100,9423329,NA,"complete","fcmvkc","336YQZE831DAHSNR48PO5RVKDSXM5C","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x800","1280x657",NA,NA,0,"Attention Check 2",2,"In","KAJBICHDGEF",NA,"LH","1-0","1","SUPAMT65935"
"1",1695736538106,"26/09/2023 13:55:38",1695722138106,-4,"26/09/2023 05:55:38",144339,3,"questionnaire-qxhw",NA,31872207,9423356,NA,"complete","ektyic","3NQL1CS15X7R93RKT2VC3KCQZQDYVL","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x625",NA,NA,0,"Attention Check 2",2,"In","ABKCJDIEHFG",NA,"HL","1-0","1","SUPAMT73133"
"1",1695737062880,"26/09/2023 14:04:22",1695722662880,-4,"26/09/2023 06:04:22",144339,3,"questionnaire-qxhw",NA,31872374,9423398,NA,"complete","efepow","3S96KQ6I9S39Y0S4SB8JPHE4KHRTDS","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x625",NA,NA,0,"Attention Check 2",2,"In","BCADKEJFIGH",NA,"HL","1-0","1","SUPAMT11912"
"1",1695749017165,"26/09/2023 17:23:37",1695723817165,-7,"26/09/2023 03:23:37",144339,3,"questionnaire-qxhw",NA,31873028,9423485,NA,"complete","mpskad","3LEIZ60CDPYTHMOMMNSZP9WVES69ZF","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1364x768","1364x651",NA,NA,0,"Attention Check 2",2,"In","CDBEAFKGJHI",NA,"LH","1-0","1","SUPAMT79593"
"1",1695738416215,"26/09/2023 14:26:56",1695724016215,-4,"26/09/2023 06:26:56",144339,3,"questionnaire-qxhw",NA,31873198,9423504,NA,"complete","pkqdmp","3WOKGM4L77FZMOM2KIYPG0OYRK9O0G","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x651",NA,NA,0,"Attention Check 2",2,"In","DECFBGAHKIJ",NA,"HL","1-0","1","SUPAMT63428"
"1",1695738421585,"26/09/2023 14:27:01",1695724021585,-4,"26/09/2023 06:27:01",144339,3,"questionnaire-qxhw",NA,31873298,9423559,NA,"complete","iuwqvk","374TNBHA8HUZ4VV37312XXDIIYYYQR","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1280x800","1280x657",NA,NA,0,"Attention Check 2",2,"In","GHFIEJDKCAB",NA,"LH","1-0","1","SUPAMT62293"
"1",1695738685338,"26/09/2023 14:31:25",1695724285338,-4,"26/09/2023 06:31:25",144339,3,"questionnaire-qxhw",NA,31873301,9423547,NA,"complete","eymrir","3FE2ERCCZ372A5QM13DFV1P6ZSDOPF","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","EFDGCHBIAJK",NA,"HL","1-0","1","SUPAMT54374"
"1",1695760368027,"26/09/2023 20:32:48",1695745968027,-4,"26/09/2023 12:32:48",144339,3,"questionnaire-qxhw",NA,31873414,9423554,NA,"complete","wofrqc","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 2",2,"In","FGEHDICJBKA",NA,"LH","1-0","1","SUPAMT62293"
"1",1695738995162,"26/09/2023 14:36:35",1695724595162,-4,"26/09/2023 06:36:35",144339,3,"questionnaire-qxhw",NA,31873551,9423600,NA,"complete","ldjdhr","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 2",2,"In","IJHKGAFBECD",NA,"HL","1-0","1","SUPAMT63488"
