"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","randomiser.a4zk","branch.4fv7","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1695932511304,"28/09/2023 20:21:51",1695918111304,-4,"28/09/2023 12:21:51",144339,5,"questionnaire-tzdp",NA,31928504,9442805,NA,"complete","nzogaj","3H8DHMCCWFAAVH2HY2UROQR82JDDKE","computer","Desktop or Laptop","Windows 10","Chrome 109.0.0.0","820x615","820x506",NA,NA,0,"Attention Check 1",2,"In","KLJAIBHCGDFE",NA,"LH","In","1","2","SUPAMT92039"
"1",1695943235452,"28/09/2023 23:20:35",1695918035452,-7,"28/09/2023 09:20:35",144339,5,"questionnaire-tzdp",NA,31928458,9442807,NA,"complete","itszap","3QEMNNSB23YM02VXF85IKLMMWZD7D2","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1920x1080","1920x941",NA,NA,0,"Attention Check 1",2,"In","ABLCKDJEIFHG",NA,"LH","In","1","2","SUPAMT70702"
"1",1695946780871,"29/09/2023 00:19:40",1695932380871,-4,"28/09/2023 16:19:40",144339,5,"questionnaire-tzdp",NA,31928471,9442809,NA,"complete","qsflpm","3I2PTA7R3ZT4KQ6M3O0BOPY7LY2KQQ","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 1",2,"In","FGEHDICJBKAL",NA,"HL","In","1","2","SUPAMT59946"
"1",1695932533577,"28/09/2023 20:22:13",1695918133577,-4,"28/09/2023 12:22:13",144339,5,"questionnaire-tzdp",NA,31928506,9442808,NA,"complete","hzvgmg","3AMW0RGHOJ1KSKQA0OD2GCP1AXLNP7","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"Attention Check 1",2,"In","EFDGCHBIAJLK",NA,"LH","In","1","2","SUPAMT36184"
"1",1695943722960,"28/09/2023 23:28:42",1695918522960,-7,"28/09/2023 09:28:42",144339,5,"questionnaire-tzdp",NA,31928680,9442810,NA,"complete","xaoupi","3EFVCAY5L9833208Z9JZ1JDUC3G8J4","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1366x768","914x563",NA,NA,0,"Attention Check 1",2,"In","DECFBGAHLIKJ",NA,"LH","In","1","2","SUPAMT86355"
"1",1695932477286,"28/09/2023 20:21:17",1695918077286,-4,"28/09/2023 12:21:17",144339,5,"questionnaire-tzdp",NA,31928476,9442813,NA,"complete","kkaoze","3O6CYIULEJ0N7J7K9B3JM1PRBQGUW0","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 1",2,"In","BCADLEKFJGIH",NA,"LH","In","1","2","SUPAMT40282"
"1",1695943305964,"28/09/2023 23:21:45",1695918105964,-7,"28/09/2023 09:21:45",144339,5,"questionnaire-tzdp",NA,31928492,9442821,NA,"complete","xfkcrc","37M28K1J0WCHMQTNW73DXAJP2RGAJA","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","2048x1152","1638x802",NA,NA,0,"Attention Check 1",2,"In","JKILHAGBFCED",NA,"HL","In","1","2","SUPAMT87014"
"1",1695932510569,"28/09/2023 20:21:50",1695918110569,-4,"28/09/2023 12:21:50",144339,5,"questionnaire-tzdp",NA,31928493,9442812,NA,"complete","fbdsgd","3LOTDFNYADYYO1AUEM8K01OO132FWN","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","CDBEAFLGKHJI",NA,"HL","In","1","2","SUPAMT41237"
"1",1695932580611,"28/09/2023 20:23:00",1695918180611,-4,"28/09/2023 12:23:00",144339,5,"questionnaire-tzdp",NA,31928525,9442823,NA,"complete","tqgdxz","33PPO7FEC1EJPMCTYZ9FBACVAFODI3","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x907",NA,NA,0,"Attention Check 1",2,"In","HIGJFKELDACB",NA,"HL","In","1","2","SUPAMT08258"
"1",1695943466762,"28/09/2023 23:24:26",1695918266762,-7,"28/09/2023 09:24:26",144339,5,"questionnaire-tzdp",NA,31928564,9442815,NA,"complete","uhjmax","3VE8AYVF8SWNY0ECGJSEMLL2JWZF88","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1920x1080","1920x931",NA,NA,0,"Attention Check 1",2,"In","BCADLEKFJGIH",NA,"HL","In","1","2","SUPAMT14988"
"1",1695932590165,"28/09/2023 20:23:10",1695918190165,-4,"28/09/2023 12:23:10",144339,5,"questionnaire-tzdp",NA,31928529,9442826,NA,"complete","ivnzmx","31N2WW6R9XP1X38642XIV4DR3A7F3G","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1364x768","1364x657",NA,NA,0,"Attention Check 1",2,"In","IJHKGLFAEBDC",NA,"HL","In","1","2","SUPAMT37474"
"1",1695936196650,"28/09/2023 21:23:16",1695918196650,-5,"28/09/2023 11:23:16",144339,5,"questionnaire-tzdp",NA,31928532,9442828,NA,"complete","jbgebt","3MAOD8E57W9P1TS1MFNJAPB4CWUNXV","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"Attention Check 1",2,"In","LAKBJCIDHEGF",NA,"LH","In","1","2","SUPAMT10933"
"1",1695947244601,"29/09/2023 00:27:24",1695932844601,-4,"28/09/2023 16:27:24",144339,5,"questionnaire-tzdp",NA,31928686,9442854,NA,"complete","exnbum","378XPAWRUICLRF9HEPIDL94PPCTAI0","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x1024","1280x907",NA,NA,0,"Attention Check 1",2,"In","CDBEAFLGKHJI",NA,"LH","In","1","2","SUPAMT61143"
"1",1695933188277,"28/09/2023 20:33:08",1695918788277,-4,"28/09/2023 12:33:08",144339,5,"questionnaire-tzdp",NA,31928815,9442902,NA,"complete","kexyno","3I7DHKZYGTZ4BIVAILLBA1BBH6ZF57","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1364x768","1364x651",NA,NA,0,"Attention Check 1",2,"In","EFDGCHBIAJLK",NA,"HL","In","1","2","SUPAMT45944"
"1",1695933577449,"28/09/2023 20:39:37",1695919177449,-4,"28/09/2023 12:39:37",144339,5,"questionnaire-tzdp",NA,31929028,9442974,NA,"complete","masueh","3WMOAN2SRHWXX4N6M0M1M4EJWLMNVS","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1364x768","1364x651",NA,NA,0,"Attention Check 1",2,"In","FGEHDICJBKAL",NA,"LH","In","1","2","SUPAMT92404"
"1",1695937490639,"28/09/2023 21:44:50",1695919490639,-5,"28/09/2023 11:44:50",144339,5,"questionnaire-tzdp",NA,31929161,9442898,NA,"complete","xjkrse","3Q5ZZ9ZEVUEVW3LNA7F509UPU2L58F","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1536x707",NA,NA,0,"Attention Check 1",2,"In","HIGJFKELDACB",NA,"HL","In","1","2","SUPAMT80310"
"1",1695933979302,"28/09/2023 20:46:19",1695919579302,-4,"28/09/2023 12:46:19",144339,5,"questionnaire-tzdp",NA,31929210,9442996,NA,"complete","ahiggi","3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","IJHKGLFAEBDC",NA,"LH","In","1","2","SUPAMT20506"
"1",1695934188290,"28/09/2023 20:49:48",1695919788290,-4,"28/09/2023 12:49:48",144339,5,"questionnaire-tzdp",NA,31929302,9443037,NA,"complete","uebzkd","3N2BF7Y2VWTMXL7M5AQXUOYAJG5HM0","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x651",NA,NA,0,"Attention Check 1",2,"In","KLJAIBHCGDFE",NA,"HL","In","1","2","SUPAMT49216"
"1",1695937981419,"28/09/2023 21:53:01",1695919981419,-5,"28/09/2023 11:53:01",144339,5,"questionnaire-tzdp",NA,31929370,9443065,NA,"complete","hzefyx","351SEKWQS6G5L52KJE7733JCRO8DMJ","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","2048x1152","1365x621",NA,NA,0,"Attention Check 1",2,"In","LAKBJCIDHEGF",NA,"LH","In","1","2","SUPAMT76549"
"1",1695957182859,"29/09/2023 03:13:02",1695942782859,-4,"28/09/2023 19:13:02",144339,5,"questionnaire-tzdp",NA,31929717,9443087,NA,"complete","qdeniu","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 1",2,"In","BCADLEKFJGIH",NA,"HL","In","1","2","SUPAMT03640"
"1",1695935716309,"28/09/2023 21:15:16",1695921316309,-4,"28/09/2023 13:15:16",144339,5,"questionnaire-tzdp",NA,31929774,9443138,NA,"complete","abqndg","3QFUFYSY94EMFZRA4G21595XHBCF4C","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1345x602",NA,NA,0,"Attention Check 1",2,"In","CDBEAFLGKHJI",NA,"HL","In","1","2","SUPAMT45287"
"1",1695935775357,"28/09/2023 21:16:15",1695921375357,-4,"28/09/2023 13:16:15",144339,5,"questionnaire-tzdp",NA,31929806,9443128,NA,"complete","zurjdg","3LKC68YZ3G2SUENNDPRANVX2T52OWT","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x651",NA,NA,0,"Attention Check 1",2,"In","EFDGCHBIAJLK",NA,"HL","In","1","2","SUPAMT04571"
"1",1695935780608,"28/09/2023 21:16:20",1695921380608,-4,"28/09/2023 13:16:20",144339,5,"questionnaire-tzdp",NA,31929809,9443125,NA,"complete","eduyrf","3SUWZRL0M4C8O8VSSTBAKP4B15E6EP","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","DECFBGAHLIKJ",NA,"LH","In","1","2","SUPAMT79304"
"1",1695950512575,"29/09/2023 01:21:52",1695936112575,-4,"28/09/2023 17:21:52",144339,5,"questionnaire-tzdp",NA,31929950,9443064,NA,"complete","bnhuhp","3F6HPJW4JJZEN7YIQRTDGIUZSZ3W2Q","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","911x413",NA,NA,0,"Attention Check 1",2,"In","GHFIEJDKCLBA",NA,"HL","In","1","2","SUPAMT50626"
