"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","randomiser.a4zk","branch.4fv7","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
"1",1695933861306,"28/09/2023 20:44:21",1695919461306,-4,"28/09/2023 12:44:21",144339,5,"questionnaire-qxhw",NA,31929155,9442805,NA,"complete","nzogaj","3H8DHMCCWFAAVH2HY2UROQR82JDDKE","computer","Desktop or Laptop","Windows 10","Chrome 109.0.0.0","820x615","820x506",NA,NA,0,"Attention Check 2",2,"In","KLJAIBHCGDFE",NA,"LH","In","1-0","1","SUPAMT92039"
"1",1695943987724,"28/09/2023 23:33:07",1695918787724,-7,"28/09/2023 09:33:07",144339,5,"questionnaire-qxhw",NA,31928821,9442807,NA,"complete","itszap","3QEMNNSB23YM02VXF85IKLMMWZD7D2","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1920x1080","1920x941",NA,NA,0,"Attention Check 2",2,"In","ABLCKDJEIFHG",NA,"LH","In","1-0","1","SUPAMT70702"
"1",1695948587551,"29/09/2023 00:49:47",1695934187551,-4,"28/09/2023 16:49:47",144339,5,"questionnaire-qxhw",NA,31929338,9442809,NA,"complete","qsflpm","3I2PTA7R3ZT4KQ6M3O0BOPY7LY2KQQ","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 2",2,"In","FGEHDICJBKAL",NA,"HL","In","1-0","1","SUPAMT59946"
"1",1695945110225,"28/09/2023 23:51:50",1695919910225,-7,"28/09/2023 09:51:50",144339,5,"questionnaire-qxhw",NA,31929348,9442810,NA,"complete","xaoupi","3EFVCAY5L9833208Z9JZ1JDUC3G8J4","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1366x768","914x563",NA,NA,0,"Attention Check 2",2,"In","DECFBGAHLIKJ",NA,"LH","In","1-0","1","SUPAMT86355"
"1",1695935165962,"28/09/2023 21:06:05",1695920765962,-4,"28/09/2023 13:06:05",144339,5,"questionnaire-qxhw",NA,31929584,9442808,NA,"complete","hzvgmg","3AMW0RGHOJ1KSKQA0OD2GCP1AXLNP7","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"Attention Check 2",2,"In","EFDGCHBIAJLK",NA,"LH","In","1-0","1","SUPAMT36184"
"1",1695933288858,"28/09/2023 20:34:48",1695918888858,-4,"28/09/2023 12:34:48",144339,5,"questionnaire-qxhw",NA,31928869,9442813,NA,"complete","kkaoze","3O6CYIULEJ0N7J7K9B3JM1PRBQGUW0","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 2",2,"In","BCADLEKFJGIH",NA,"LH","In","0","4","SUPAMT40282"
"1",1695933595390,"28/09/2023 20:39:55",1695919195390,-4,"28/09/2023 12:39:55",144339,5,"questionnaire-qxhw",NA,31929038,9442812,NA,"complete","fbdsgd","3LOTDFNYADYYO1AUEM8K01OO132FWN","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","CDBEAFLGKHJI",NA,"HL","In","1-0","1","SUPAMT41237"
"1",1695944628530,"28/09/2023 23:43:48",1695919428530,-7,"28/09/2023 09:43:48",144339,5,"questionnaire-qxhw",NA,31929138,9442821,NA,"complete","xfkcrc","37M28K1J0WCHMQTNW73DXAJP2RGAJA","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","2048x1152","1638x802",NA,NA,0,"Attention Check 2",2,"In","JKILHAGBFCED",NA,"HL","In","1-0","1","SUPAMT87014"
"1",1695944914989,"28/09/2023 23:48:34",1695919714989,-7,"28/09/2023 09:48:34",144339,5,"questionnaire-qxhw",NA,31929273,9442815,NA,"complete","uhjmax","3VE8AYVF8SWNY0ECGJSEMLL2JWZF88","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1920x1080","1920x931",NA,NA,0,"Attention Check 2",2,"In","BCADLEKFJGIH",NA,"HL","In","1-0","1","SUPAMT14988"
"1",1695932903908,"28/09/2023 20:28:23",1695918503908,-4,"28/09/2023 12:28:23",144339,5,"questionnaire-qxhw",NA,31928661,9442823,NA,"complete","tqgdxz","33PPO7FEC1EJPMCTYZ9FBACVAFODI3","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x907",NA,NA,0,"Attention Check 2",2,"In","HIGJFKELDACB",NA,"HL","In","1-0","1","SUPAMT08258"
"1",1695933212411,"28/09/2023 20:33:32",1695918812411,-4,"28/09/2023 12:33:32",144339,5,"questionnaire-qxhw",NA,31928825,9442826,NA,"complete","ivnzmx","31N2WW6R9XP1X38642XIV4DR3A7F3G","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1364x768","1364x657",NA,NA,0,"Attention Check 2",2,"In","IJHKGLFAEBDC",NA,"HL","In","1-0","1","SUPAMT37474"
"1",1695947974604,"29/09/2023 00:39:34",1695933574604,-4,"28/09/2023 16:39:34",144339,5,"questionnaire-qxhw",NA,31929069,9442854,NA,"complete","exnbum","378XPAWRUICLRF9HEPIDL94PPCTAI0","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x1024","1280x907",NA,NA,0,"Attention Check 2",2,"In","CDBEAFLGKHJI",NA,"LH","In","1-0","1","SUPAMT61143"
"1",1695934033185,"28/09/2023 20:47:13",1695919633185,-4,"28/09/2023 12:47:13",144339,5,"questionnaire-qxhw",NA,31929233,9442974,NA,"complete","masueh","3WMOAN2SRHWXX4N6M0M1M4EJWLMNVS","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1364x768","1364x651",NA,NA,0,"Attention Check 2",2,"In","FGEHDICJBKAL",NA,"LH","In","1-0","1","SUPAMT92404"
"1",1695937971927,"28/09/2023 21:52:51",1695919971927,-5,"28/09/2023 11:52:51",144339,5,"questionnaire-qxhw",NA,31929366,9442828,NA,"complete","jbgebt","3MAOD8E57W9P1TS1MFNJAPB4CWUNXV","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"Attention Check 2",2,"In","LAKBJCIDHEGF",NA,"LH","In","1-0","1","SUPAMT10933"
"1",1695934459002,"28/09/2023 20:54:19",1695920059002,-4,"28/09/2023 12:54:19",144339,5,"questionnaire-qxhw",NA,31929388,9442902,NA,"complete","kexyno","3I7DHKZYGTZ4BIVAILLBA1BBH6ZF57","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1364x768","1364x651",NA,NA,0,"Attention Check 2",2,"In","EFDGCHBIAJLK",NA,"HL","In","0-2","3","SUPAMT45944"
"1",1695934624155,"28/09/2023 20:57:04",1695920224155,-4,"28/09/2023 12:57:04",144339,5,"questionnaire-qxhw",NA,31929432,9442996,NA,"complete","ahiggi","3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","IJHKGLFAEBDC",NA,"LH","In","0","4","SUPAMT20506"
"1",1695934879599,"28/09/2023 21:01:19",1695920479599,-4,"28/09/2023 13:01:19",144339,5,"questionnaire-qxhw",NA,31929497,9443037,NA,"complete","uebzkd","3N2BF7Y2VWTMXL7M5AQXUOYAJG5HM0","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x651",NA,NA,0,"Attention Check 2",2,"In","KLJAIBHCGDFE",NA,"HL","In","1-0","1","SUPAMT49216"
"1",1695938990108,"28/09/2023 22:09:50",1695920990108,-5,"28/09/2023 12:09:50",144339,5,"questionnaire-qxhw",NA,31929661,9442898,NA,"complete","xjkrse","3Q5ZZ9ZEVUEVW3LNA7F509UPU2L58F","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1536x707",NA,NA,0,"Attention Check 2",2,"In","HIGJFKELDACB",NA,"HL","In","1-0","1","SUPAMT80310"
"1",1695958428742,"29/09/2023 03:33:48",1695944028742,-4,"28/09/2023 19:33:48",144339,5,"questionnaire-qxhw",NA,31930167,9443087,NA,"complete","qdeniu","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 2",2,"In","BCADLEKFJGIH",NA,"HL","In","1-0","1","SUPAMT76549"
"1",1695940952581,"28/09/2023 22:42:32",1695922952581,-5,"28/09/2023 12:42:32",144339,5,"questionnaire-qxhw",NA,31930311,9443065,NA,"complete","hzefyx","351SEKWQS6G5L52KJE7733JCRO8DMJ","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","2048x1152","1365x621",NA,NA,0,"Attention Check 2",2,"In","LAKBJCIDHEGF",NA,"LH","In","1-0","1","SUPAMT76549"
"1",1695952733539,"29/09/2023 01:58:53",1695938333539,-4,"28/09/2023 17:58:53",144339,5,"questionnaire-qxhw",NA,31930533,9443064,NA,"complete","bnhuhp","3F6HPJW4JJZEN7YIQRTDGIUZSZ3W2Q","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","911x413",NA,NA,0,"Attention Check 2",2,"In","GHFIEJDKCLBA",NA,"HL","In","1-0","1","SUPAMT50626"
