"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","randomiser.a4zk","branch.4fv7","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"1",1695933640136,"28/09/2023 20:40:40",1695919240136,-4,"28/09/2023 12:40:40",144339,5,"questionnaire-uu2n",NA,31929062,9442805,NA,"complete","nzogaj","3H8DHMCCWFAAVH2HY2UROQR82JDDKE","computer","Desktop or Laptop","Windows 10","Chrome 109.0.0.0","820x615","820x506",NA,NA,0,"BIQ (Charlotte)",2,"In","KLJAIBHCGDFE",NA,"LH","In","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPAMT92039"
"2",1695933668232,"28/09/2023 20:41:08",1695919268232,-4,"28/09/2023 12:41:08",144339,5,"questionnaire-uu2n",NA,31929062,9442805,NA,"complete","nzogaj","3H8DHMCCWFAAVH2HY2UROQR82JDDKE","computer","Desktop or Laptop","Windows 10","Chrome 109.0.0.0","820x615","820x506",NA,NA,0,"BIQ (Charlotte)",2,"In","KLJAIBHCGDFE",NA,"LH","In","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",28109.9969999046,28087.686,28109.9969999046,28109.9969999046,28087.686,28109.9969999046,1,28109.9969999046,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPAMT92039"
"3",1695933668235,"28/09/2023 20:41:08",1695919268235,-4,"28/09/2023 12:41:08",144339,5,"questionnaire-uu2n",NA,31929062,9442805,NA,"complete","nzogaj","3H8DHMCCWFAAVH2HY2UROQR82JDDKE","computer","Desktop or Laptop","Windows 10","Chrome 109.0.0.0","820x615","820x506",NA,NA,0,"BIQ (Charlotte)",2,"In","KLJAIBHCGDFE",NA,"LH","In","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","5",18973.146,28087.686,28118.683,18973.146,28087.686,28118.683,1,18973.146,9145.537,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPAMT92039"
"4",1695933668235,"28/09/2023 20:41:08",1695919268235,-4,"28/09/2023 12:41:08",144339,5,"questionnaire-uu2n",NA,31929062,9442805,NA,"complete","nzogaj","3H8DHMCCWFAAVH2HY2UROQR82JDDKE","computer","Desktop or Laptop","Windows 10","Chrome 109.0.0.0","820x615","820x506",NA,NA,0,"BIQ (Charlotte)",2,"In","KLJAIBHCGDFE",NA,"LH","In","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","6",24119.439,28087.686,28118.683,24119.439,28087.686,28118.683,1,24119.439,3999.244,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPAMT92039"
"5",1695933668236,"28/09/2023 20:41:08",1695919268236,-4,"28/09/2023 12:41:08",144339,5,"questionnaire-uu2n",NA,31929062,9442805,NA,"complete","nzogaj","3H8DHMCCWFAAVH2HY2UROQR82JDDKE","computer","Desktop or Laptop","Windows 10","Chrome 109.0.0.0","820x615","820x506",NA,NA,0,"BIQ (Charlotte)",2,"In","KLJAIBHCGDFE",NA,"LH","In","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","4",25204.478,28087.686,28118.683,25204.478,28087.686,28118.683,1,25204.478,2914.205,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPAMT92039"
"6",1695933679446,"28/09/2023 20:41:19",1695919279446,-4,"28/09/2023 12:41:19",144339,5,"questionnaire-uu2n",NA,31929062,9442805,NA,"complete","nzogaj","3H8DHMCCWFAAVH2HY2UROQR82JDDKE","computer","Desktop or Laptop","Windows 10","Chrome 109.0.0.0","820x615","820x506",NA,NA,0,"BIQ (Charlotte)",2,"In","KLJAIBHCGDFE",NA,"LH","In","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",11242.4109998093,11222.639,11242.4109998093,11242.4109998093,11222.639,11242.4109998093,1,11242.4109998093,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPAMT92039"
"7",1695933679451,"28/09/2023 20:41:19",1695919279451,-4,"28/09/2023 12:41:19",144339,5,"questionnaire-uu2n",NA,31929062,9442805,NA,"complete","nzogaj","3H8DHMCCWFAAVH2HY2UROQR82JDDKE","computer","Desktop or Laptop","Windows 10","Chrome 109.0.0.0","820x615","820x506",NA,NA,0,"BIQ (Charlotte)",2,"In","KLJAIBHCGDFE",NA,"LH","In","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","5",6572.334,11222.639,11246.9109998093,6572.334,11222.639,11246.9109998093,1,6572.334,4674.57699980927,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPAMT92039"
"8",1695933679452,"28/09/2023 20:41:19",1695919279452,-4,"28/09/2023 12:41:19",144339,5,"questionnaire-uu2n",NA,31929062,9442805,NA,"complete","nzogaj","3H8DHMCCWFAAVH2HY2UROQR82JDDKE","computer","Desktop or Laptop","Windows 10","Chrome 109.0.0.0","820x615","820x506",NA,NA,0,"BIQ (Charlotte)",2,"In","KLJAIBHCGDFE",NA,"LH","In","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","7",7750.316,11222.639,11247.9109998093,7750.316,11222.639,11247.9109998093,1,7750.316,3497.59499980926,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPAMT92039"
"9",1695933679453,"28/09/2023 20:41:19",1695919279453,-4,"28/09/2023 12:41:19",144339,5,"questionnaire-uu2n",NA,31929062,9442805,NA,"complete","nzogaj","3H8DHMCCWFAAVH2HY2UROQR82JDDKE","computer","Desktop or Laptop","Windows 10","Chrome 109.0.0.0","820x615","820x506",NA,NA,0,"BIQ (Charlotte)",2,"In","KLJAIBHCGDFE",NA,"LH","In","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","3",10199.578,11222.639,11248.9109998093,10199.578,11222.639,11248.9109998093,1,10199.578,1049.33299980927,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPAMT92039"
"10",1695933692037,"28/09/2023 20:41:32",1695919292037,-4,"28/09/2023 12:41:32",144339,5,"questionnaire-uu2n",NA,31929062,9442805,NA,"complete","nzogaj","3H8DHMCCWFAAVH2HY2UROQR82JDDKE","computer","Desktop or Laptop","Windows 10","Chrome 109.0.0.0","820x615","820x506",NA,NA,0,"BIQ (Charlotte)",2,"In","KLJAIBHCGDFE",NA,"LH","In","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",12611.2719998093,12586.646,12611.2719998093,12611.2719998093,12586.646,12611.2719998093,1,12611.2719998093,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPAMT92039"
"11",1695933692040,"28/09/2023 20:41:32",1695919292040,-4,"28/09/2023 12:41:32",144339,5,"questionnaire-uu2n",NA,31929062,9442805,NA,"complete","nzogaj","3H8DHMCCWFAAVH2HY2UROQR82JDDKE","computer","Desktop or Laptop","Windows 10","Chrome 109.0.0.0","820x615","820x506",NA,NA,0,"BIQ (Charlotte)",2,"In","KLJAIBHCGDFE",NA,"LH","In","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","5",4743.223,12586.646,12613.9719996185,4743.223,12586.646,12613.9719996185,1,4743.223,7870.74899961853,0,NA,"Rating Scale","Rating Scale",2,"object-53","BIQ",NA,"SUPAMT92039"
"12",1695933692041,"28/09/2023 20:41:32",1695919292041,-4,"28/09/2023 12:41:32",144339,5,"questionnaire-uu2n",NA,31929062,9442805,NA,"complete","nzogaj","3H8DHMCCWFAAVH2HY2UROQR82JDDKE","computer","Desktop or Laptop","Windows 10","Chrome 109.0.0.0","820x615","820x506",NA,NA,0,"BIQ (Charlotte)",2,"In","KLJAIBHCGDFE",NA,"LH","In","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","6",7130.385,12586.646,12614.4719996185,7130.385,12586.646,12614.4719996185,1,7130.385,5484.08699961853,0,NA,"Rating Scale","Rating Scale",9,"object-60","BIQ",NA,"SUPAMT92039"
"13",1695933692041,"28/09/2023 20:41:32",1695919292041,-4,"28/09/2023 12:41:32",144339,5,"questionnaire-uu2n",NA,31929062,9442805,NA,"complete","nzogaj","3H8DHMCCWFAAVH2HY2UROQR82JDDKE","computer","Desktop or Laptop","Windows 10","Chrome 109.0.0.0","820x615","820x506",NA,NA,0,"BIQ (Charlotte)",2,"In","KLJAIBHCGDFE",NA,"LH","In","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","5",9920.492,12586.646,12614.9719996185,9920.492,12586.646,12614.9719996185,1,9920.492,2694.47999961853,0,NA,"Rating Scale","Rating Scale",16,"object-67","BIQ",NA,"SUPAMT92039"
"14",1695933692046,"28/09/2023 20:41:32",1695919292046,-4,"28/09/2023 12:41:32",144339,5,"questionnaire-uu2n",NA,31929062,9442805,NA,"complete","nzogaj","3H8DHMCCWFAAVH2HY2UROQR82JDDKE","computer","Desktop or Laptop","Windows 10","Chrome 109.0.0.0","820x615","820x506",NA,NA,0,"BIQ (Charlotte)",2,"In","KLJAIBHCGDFE",NA,"LH","In","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPAMT92039"
"1",1695943811327,"28/09/2023 23:30:11",1695918611327,-7,"28/09/2023 09:30:11",144339,5,"questionnaire-uu2n",NA,31928727,9442807,NA,"complete","itszap","3QEMNNSB23YM02VXF85IKLMMWZD7D2","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1920x1080","1920x941",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"LH","In","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPAMT70702"
"2",1695943837969,"28/09/2023 23:30:37",1695918637969,-7,"28/09/2023 09:30:37",144339,5,"questionnaire-uu2n",NA,31928727,9442807,NA,"complete","itszap","3QEMNNSB23YM02VXF85IKLMMWZD7D2","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1920x1080","1920x941",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"LH","In","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",26656.992,26650.929,26656.992,26656.992,26650.929,26656.992,1,26656.992,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPAMT70702"
